省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
河北,电信,1330016,1530310,1621879,1730310,1770009,1800030,1810030,1890310,1900310,1910310,1930310,1990310
河北,电信,1330300,1530311,1622480,1730311,1770310,1800031,1810031,1890311,1900311,1910311,1930311,1990311
河北,电信,1330301,1530312,1622481,1730312,1770311,1800032,1810310,1890312,1900312,1910312,1930312,1990312
河北,电信,1330302,1530313,1622482,1730313,1770312,1800033,1810311,1890313,1900313,1910313,1930313,1990313
河北,电信,1330303,1530314,1622483,1730314,1770313,1800034,1810312,1890314,1900314,1910314,1930314,1990314
河北,电信,1330304,1530315,1622484,1730315,1770314,1800035,1810313,1890315,1900315,1910315,1930315,1990315
河北,电信,1330305,1530316,1622485,1730316,1770315,1800036,1810314,1890316,1900316,1910316,1930316,1990316
河北,电信,1330306,1530317,1622486,1730317,1770316,1800037,1810315,1890317,1900317,1910317,1930317,1990317
河北,电信,1330307,1530318,1622487,1730318,1770317,1800038,1810316,1890318,1900318,1910318,1930318,1990318
河北,电信,1330308,1530319,1622488,1730319,1770318,1800039,1810317,1890319,1900319,1910319,1930319,1990319
河北,电信,1330309,1530320,1622489,1730320,1770319,1800040,1810318,1890320,1900320,1910320,1930320,1990320
河北,电信,1330310,1530321,1622490,1730321,1770320,1800041,1810319,1890321,1900321,1910321,1930321,1990321
河北,电信,1330311,1530322,1622491,1730322,1770321,1800042,1810320,1890322,1900322,1910322,1930322,1990322
河北,电信,1330312,1530323,1622492,1730323,1770322,1800043,1810321,1890323,1900323,1910323,1930323,1990323
河北,电信,1330313,1530324,1622493,1730324,1770323,1800044,1810322,1890324,1900324,1910324,1930324,1990324
河北,电信,1330314,1530325,1622494,1730325,1770324,1800045,1810323,1890325,1900325,1910325,1930325,1990325
河北,电信,1330315,1530326,1622495,1730326,1770325,1800046,1810324,1890326,1900326,1910326,1930326,1990326
河北,电信,1330316,1530327,1622496,1730327,1770326,1800047,1810325,1890327,1900327,1910327,1930327,1990327
河北,电信,1330317,1530328,1622497,1730328,1770327,1800048,1810326,1890328,1900328,1910328,1930328,1990328
河北,电信,1330318,1530329,1622498,1730329,1770328,1800049,1810327,1890329,1900329,1910329,1930329,1990329
河北,电信,1330319,1530330,1622499,1730330,1770329,1800060,1810328,1890330,1900330,1910330,1930330,1990330
河北,电信,1330320,1530331,1622880,1730331,1770330,1800061,1810329,1890331,1900331,1910331,1930331,1990331
河北,电信,1330321,1530332,1622881,1730332,1770331,1800062,1810330,1890332,1900332,1910332,1930332,1990332
河北,电信,1330322,1530333,1622882,1730333,1770332,1800063,1810331,1890333,1900333,1910333,1930333,1990333
河北,电信,1330323,1530334,1622883,1730334,1770333,1800064,1810332,1890334,1900334,1910334,1930334,1990334
河北,电信,1330324,1530335,1622884,1730335,1770334,1800065,1810333,1890335,1900335,1910335,1930335,1990335
河北,电信,1330325,1530336,1622885,1730336,1770335,1800066,1810334,1890336,1900336,1910336,1930336,1990336
河北,电信,1330326,1530337,1622886,1730337,1770336,1800067,1810335,1890337,1900337,1910337,1930337,1990337
河北,电信,1330327,1530338,1622887,1730338,1770337,1800068,1810336,1890338,1900338,1910338,1930338,1990338
河北,电信,1330328,1530339,1622889,1730339,1770338,1800069,1810337,1890339,1900339,1910339,1930339,1990339
河北,电信,1330329,1532400,1623001,1731700,1770339,1800310,1810338,1893100,1903010,1913100,1930670,1991200
河北,电信,1330330,1532401,1623002,1731701,1771300,1800311,1810339,1893101,1903011,1913101,1930671,1991201
河北,电信,1330331,1532402,1623003,1731702,1771301,1800312,1813100,1893102,1903012,1913102,1930672,1991202
河北,电信,1330332,1532403,1623004,1731703,1771302,1800313,1813101,1893103,1903013,1913103,1930673,1991203
河北,电信,1330333,1532404,1623005,1731704,1771303,1800314,1813102,1893104,1903014,1913104,1930674,1991204
河北,电信,1330334,1532405,1623006,1731705,1771304,1800315,1813103,1893105,1903015,1913105,1930675,1991205
河北,电信,1330335,1532406,1623007,1731706,1771305,1800316,1813104,1893106,1903016,1913106,1930676,1991206
河北,电信,1330336,1532407,1623008,1731707,1771306,1800317,1813105,1893107,1903017,1913107,1930677,1991207
河北,电信,1330337,1532408,1623009,1731708,1771307,1800318,1813106,1893108,1903018,1913108,1930678,1991208
河北,电信,1330338,1532409,1623010,1731709,1771308,1800319,1813107,1893109,1903019,1913109,1930679,1991209
河北,电信,1330339,1532410,1623011,1732060,1771309,1800320,1813108,1893110,1903020,1913110,1931250,1991210
河北,电信,1331300,1532411,1623012,1732061,1771310,1800321,1813109,1893111,1903021,1913111,1931251,1991211
河北,电信,1331301,1532412,1623013,1732062,1771311,1800322,1813110,1893112,1903022,1913112,1931252,1991212
河北,电信,1331302,1532413,1623014,1732063,1771312,1800323,1813111,1893113,1903023,1913113,1931253,1991213
河北,电信,1331303,1532415,1623015,1732064,1771313,1800324,1813112,1893114,1903024,1913114,1931254,1991214
河北,电信,1331304,1532416,1623016,1732065,1771314,1800325,1813113,1893115,1903025,1913115,1931255,1991215
河北,电信,1331305,1532417,1623017,1732066,1771315,1800326,1813114,1893116,1903026,1913116,1931256,1991216
河北,电信,1331306,1532418,1623018,1732067,1771316,1800327,1813115,1893117,1903027,1913117,1931257,1991217
河北,电信,1331307,1532419,1623019,1732068,1771317,1800328,1813116,1893118,1903028,1913118,1931258,1991218
河北,电信,1331308,1532420,1623020,1732069,1771318,1800329,1813117,1893119,1903029,1913119,1931259,1991219
河北,电信,1331309,1532421,1623021,1732070,1771319,1800330,1813118,1893120,1903030,1913120,1931480,1991230
