省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
河北,移动,1340010,1350310,1360310,1370030,1380031,1390031,1470300,1480500,1500310,1510000,1520000,1570310,1580310,1590310,1650110,1700310,1720120,1780030,1820310,1830300,1840001,1870310,1880300,1950300,1970310,1980140
河北,移动,1340011,1350311,1360311,1370031,1380033,1390032,1470301,1480501,1500311,1510001,1520001,1570311,1580311,1590311,1650112,1700311,1720121,1780031,1820311,1830301,1840300,1870311,1880301,1950301,1970311,1980141
河北,移动,1340012,1350312,1360312,1370032,1380310,1390033,1470302,1480502,1500312,1510002,1520002,1570312,1580312,1590312,1650113,1700312,1720310,1780032,1820312,1830302,1840301,1870312,1880302,1950302,1970312,1980142
河北,移动,1340013,1350313,1360313,1370033,1380311,1390310,1470303,1480503,1500313,1510003,1520003,1570313,1580313,1590313,1650115,1700313,1720311,1780033,1820313,1830303,1840302,1870313,1880303,1950303,1970313,1980143
河北,移动,1340014,1350314,1360314,1370034,1380312,1390311,1470304,1480504,1500314,1510004,1520004,1570314,1580314,1590314,1650116,1700314,1720312,1780034,1820314,1830304,1840303,1870314,1880304,1950304,1970314,1980144
河北,移动,1340015,1350315,1360315,1370035,1380313,1390312,1470305,1480505,1500315,1510005,1520005,1570315,1580315,1590315,1650117,1700315,1720313,1780035,1820315,1830305,1840304,1870315,1880305,1950305,1970315,1980145
河北,移动,1340016,1350316,1360316,1370036,1380314,1390313,1470306,1480506,1500316,1510006,1520006,1570316,1580316,1590316,1650118,1700316,1720314,1780036,1820316,1830306,1840305,1870316,1880306,1950306,1970316,1980146
河北,移动,1340017,1350317,1360317,1370037,1380315,1390314,1470307,1480507,1500317,1510007,1520007,1570317,1580317,1590317,1650119,1700317,1720315,1780037,1820317,1830307,1840306,1870317,1880307,1950307,1970317,1980147
河北,移动,1340018,1350318,1360318,1370038,1380316,1390315,1470308,1480508,1500318,1510008,1520008,1570318,1580318,1590318,1650143,1700318,1720316,1780038,1820318,1830308,1840307,1870318,1880308,1950308,1970318,1980148
河北,移动,1340019,1350319,1360319,1370039,1380317,1390316,1470309,1480509,1500319,1510009,1520009,1570319,1580319,1590319,1650209,1700319,1720317,1780039,1820319,1830309,1840308,1870319,1880309,1950309,1970319,1980149
河北,移动,1340020,1350320,1360320,1370310,1380318,1390317,1470310,1480510,1500320,1510010,1520010,1570320,1580320,1590320,1650279,1700320,1720318,1780300,1820320,1830310,1840309,1870320,1880310,1950310,1971031,1980150
河北,移动,1340021,1350321,1360321,1370311,1380319,1390318,1470311,1480511,1500321,1510011,1520011,1570321,1580321,1590321,1650310,1700321,1720319,1780301,1820321,1830311,1840310,1870321,1880311,1950311,1971033,1980151
河北,移动,1340022,1350322,1360322,1370312,1380320,1390319,1470312,1480512,1500322,1510012,1520012,1570322,1580322,1590322,1650311,1700322,1720320,1780302,1820322,1830312,1840311,1870322,1880312,1950312,1971187,1980152
河北,移动,1340023,1350323,1360323,1370313,1380321,1390320,1470313,1480513,1500323,1510013,1520013,1570323,1580323,1590323,1650312,1700323,1720321,1780303,1820323,1830313,1840312,1870323,1880313,1950313,1971188,1980153
河北,移动,1340024,1350324,1360324,1370314,1380322,1390321,1470314,1480514,1500324,1510014,1520014,1570324,1580324,1590324,1650313,1700324,1720322,1780304,1820324,1830314,1840313,1870324,1880314,1950314,1971189,1980154
河北,移动,1340025,1350325,1360325,1370315,1380323,1390322,1470315,1480515,1500325,1510015,1520015,1570325,1580325,1590325,1650314,1700325,1720323,1780305,1820325,1830315,1840314,1870325,1880315,1950315,1971190,1980155
河北,移动,1340026,1350326,1360326,1370316,1380324,1390323,1470316,1480516,1500326,1510016,1520016,1570326,1580326,1590326,1650315,1700326,1720324,1780306,1820326,1830316,1840315,1870326,1880316,1950316,1971191,1980156
河北,移动,1340027,1350327,1360327,1370317,1380325,1390324,1470317,1480517,1500327,1510017,1520017,1570327,1580327,1590327,1650316,1700327,1720325,1780307,1820327,1830317,1840316,1870327,1880317,1950317,1971192,1980157
