省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
河北,联通,1300140,1310240,1321107,1450200,1550300,1560310,1660310,1670035,1710250,1750310,1760310,1850310,1860310,1960300
河北,联通,1300141,1310241,1321108,1450201,1550301,1560311,1660311,1670064,1710251,1750311,1760311,1850311,1860311,1960301
河北,联通,1300142,1310242,1321109,1450202,1550302,1560312,1660312,1670138,1710252,1750312,1760312,1850312,1860312,1960302
河北,联通,1300143,1310243,1321540,1450203,1550303,1560313,1660313,1670310,1710253,1750313,1760313,1850313,1860313,1960303
河北,联通,1300144,1310244,1321541,1450204,1550304,1560314,1660314,1670311,1710254,1750314,1760314,1850314,1860314,1960304
河北,联通,1300145,1310245,1321543,1450205,1550305,1560315,1660315,1670312,1710255,1750315,1760315,1850315,1860315,1960305
河北,联通,1300146,1310246,1321544,1450206,1550306,1560316,1660316,1670313,1710256,1750316,1760316,1850316,1860316,1960306
河北,联通,1300147,1310247,1321545,1450207,1550307,1560317,1660317,1670314,1710257,1750317,1760317,1850317,1860317,1960307
河北,联通,1300148,1310248,1321547,1450208,1550308,1560318,1660318,1670315,1710258,1750318,1760318,1850318,1860318,1960308
河北,联通,1300149,1310249,1321548,1450209,1550309,1560319,1660319,1670316,1710259,1750319,1760319,1850319,1860319,1960309
河北,联通,1300180,1310250,1321549,1450210,1550310,1560320,1660320,1670317,1710260,1750320,1760320,1850320,1860320,1960310
河北,联通,1300181,1310251,1322310,1450211,1550311,1560321,1660321,1670318,1710261,1750321,1760321,1850321,1860321,1960311
河北,联通,1300182,1310252,1322311,1450212,1550312,1560322,1660322,1670319,1710262,1750322,1760322,1850322,1860322,1960312
河北,联通,1300183,1310253,1322312,1450213,1550313,1560323,1660323,1670324,1710263,1750323,1760323,1850323,1860323,1960313
河北,联通,1300184,1310254,1322313,1450214,1550314,1560324,1660324,1670334,1710264,1750324,1760324,1850324,1860324,1960314
河北,联通,1300185,1310255,1322314,1450215,1550315,1560325,1660325,1670335,1710265,1750325,1760325,1850325,1860325,1960315
河北,联通,1300186,1310256,1322315,1450216,1550316,1560326,1660326,1670341,1710266,1750326,1760326,1850326,1860326,1960316
河北,联通,1300187,1310257,1322316,1450217,1550317,1560327,1660327,1670342,1710267,1750327,1760327,1850327,1860327,1960317
河北,联通,1300188,1310258,1322317,1450218,1550318,1560328,1660328,1670496,1710268,1750328,1760328,1850328,1860328,1960318
河北,联通,1300189,1310259,1322318,1450219,1550319,1560329,1660329,1671160,1710269,1750329,1760329,1850329,1860329,1960319
河北,联通,1301014,1310260,1322319,1450220,1550320,1560330,1660330,1671161,1710270,1750330,1760330,1850330,1860330,1960320
河北,联通,1301018,1310261,1322320,1450221,1550321,1560331,1660331,1671162,1710271,1750331,1760331,1850331,1860331,1960321
河北,联通,1301040,1310262,1322321,1450222,1550322,1560332,1660332,1671163,1710272,1750332,1760332,1850332,1860332,1960322
河北,联通,1301140,1310263,1322322,1450223,1550323,1560333,1660333,1671164,1710273,1750333,1760333,1850333,1860333,1960323
河北,联通,1301141,1310264,1322323,1450224,1550324,1560334,1660334,1671165,1710274,1750334,1760334,1850334,1860334,1960324
