省份,运营商,192 号段
河南,广电,1920360
河南,广电,1920361
河南,广电,1920362
河南,广电,1920363
河南,广电,1920364
河南,广电,1920365
河南,广电,1920366
河南,广电,1920367
河南,广电,1920368
河南,广电,1920369
河南,广电,1920370
河南,广电,1920371
河南,广电,1920372
河南,广电,1920373
河南,广电,1920374
河南,广电,1920375
河南,广电,1920376
河南,广电,1920377
河南,广电,1920378
河南,广电,1920379
河南,广电,1920380
河南,广电,1920381
河南,广电,1920382
河南,广电,1920383
河南,广电,1920384
河南,广电,1920385
河南,广电,1920386
河南,广电,1920387
河南,广电,1920388
河南,广电,1920389
河南,广电,1920390
河南,广电,1920391
河南,广电,1920392
河南,广电,1920393
河南,广电,1920394
河南,广电,1920395
河南,广电,1920396
河南,广电,1920397
河南,广电,1920398
河南,广电,1920399
河南,广电,1921170
河南,广电,1921171
河南,广电,1921172
河南,广电,1921173
河南,广电,1921174
河南,广电,1921175
河南,广电,1921176
河南,广电,1921177
河南,广电,1921178
河南,广电,1921179
河南,广电,1921260
河南,广电,1921261
河南,广电,1921262
河南,广电,1921263
河南,广电,1921264
河南,广电,1921265
河南,广电,1921266
河南,广电,1921267
河南,广电,1921268
河南,广电,1921269
河南,广电,1921360
河南,广电,1921361
河南,广电,1921362
河南,广电,1921363
河南,广电,1921364
河南,广电,1921365
河南,广电,1921366
河南,广电,1921367
河南,广电,1921368
河南,广电,1921369
河南,广电,1921370
河南,广电,1921371
河南,广电,1921372
河南,广电,1921373
河南,广电,1921374
河南,广电,1921375
河南,广电,1921376
河南,广电,1921377
河南,广电,1921378
河南,广电,1921379
河南,广电,1921380
河南,广电,1921381
河南,广电,1921382
河南,广电,1921383
河南,广电,1921384
河南,广电,1921385
河南,广电,1921386
河南,广电,1921387
河南,广电,1921388
河南,广电,1921389
河南,广电,1921390
河南,广电,1921391
河南,广电,1921392
河南,广电,1921393
河南,广电,1921394
河南,广电,1921395
河南,广电,1921396
河南,广电,1921397
河南,广电,1921398
河南,广电,1921399
河南,广电,1922303
河南,广电,1922333
河南,广电,1922385
河南,广电,1922391
河南,广电,1922394
河南,广电,1922437
河南,广电,1922438
河南,广电,1922453
河南,广电,1922460
河南,广电,1922461
河南,广电,1922467
河南,广电,1922880
河南,广电,1922881
河南,广电,1922882
河南,广电,1922883
河南,广电,1922884
河南,广电,1922885
河南,广电,1922886
河南,广电,1922887
河南,广电,1922888
河南,广电,1922889
河南,广电,1923360
河南,广电,1923361
河南,广电,1923362
河南,广电,1923363
河南,广电,1923364
河南,广电,1923365
河南,广电,1923366
河南,广电,1923367
河南,广电,1923368
河南,广电,1923369
河南,广电,1923370
河南,广电,1923371
河南,广电,1923372
河南,广电,1923373
河南,广电,1923374
河南,广电,1923375
河南,广电,1923376
河南,广电,1923377
