省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
河南,电信,1330096,1530370,1623480,1730370,1770060,1800370,1810032,1890370,1900003,1910370,1930370,1990090
河南,电信,1330370,1530371,1623481,1730371,1770061,1800371,1810033,1890371,1900370,1910371,1930371,1990091
河南,电信,1330371,1530372,1623482,1730372,1770062,1800372,1810370,1890372,1900371,1910372,1930372,1990092
河南,电信,1330372,1530373,1623483,1730373,1770063,1800373,1810371,1890373,1900372,1910373,1930373,1990093
河南,电信,1330373,1530374,1623484,1730374,1770064,1800374,1810372,1890374,1900373,1910374,1930374,1990094
河南,电信,1330374,1530375,1623485,1730375,1770065,1800375,1810373,1890375,1900374,1910375,1930375,1990096
河南,电信,1330375,1530376,1623486,1730376,1770066,1800376,1810374,1890376,1900375,1910376,1930376,1990097
河南,电信,1330376,1530377,1623487,1730377,1770067,1800377,1810375,1890377,1900376,1910377,1930377,1990099
河南,电信,1330377,1530378,1623488,1730378,1770068,1800378,1810376,1890378,1900377,1910378,1930378,1990370
河南,电信,1330378,1530379,1623489,1730379,1770069,1800379,1810377,1890379,1900378,1910379,1930379,1990371
河南,电信,1330379,1530380,1623490,1730380,1770370,1800380,1810378,1890380,1900379,1910380,1930380,1990372
河南,电信,1330380,1530381,1623491,1730381,1770371,1800381,1810379,1890381,1900380,1910381,1930381,1990373
河南,电信,1330381,1530382,1623492,1730382,1770372,1800382,1810380,1890382,1900381,1910382,1930382,1990374
河南,电信,1330382,1530383,1623493,1730383,1770373,1800383,1810381,1890383,1900382,1910383,1930383,1990375
河南,电信,1330383,1530384,1623494,1730384,1770374,1800384,1810382,1890384,1900383,1910384,1930384,1990376
河南,电信,1330384,1530385,1623495,1730385,1770375,1800385,1810383,1890385,1900384,1910385,1930385,1990377
河南,电信,1330385,1530386,1623496,1730386,1770376,1800386,1810384,1890386,1900385,1910386,1930386,1990378
