省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
河南,移动,1340370,1350340,1360340,1370070,1380037,1390370,1473700,1484898,1500370,1510370,1520370,1570370,1580370,1590300,1650012,1700370,1720146,1780370,1820360,1830060,1840370,1870360,1880070,1950360,1970370,1980360
河南,移动,1340371,1350341,1360341,1370071,1380039,1390371,1473701,1487304,1500371,1510371,1520371,1570371,1580371,1590301,1650013,1700371,1720147,1780371,1820361,1830061,1840371,1870361,1880071,1950361,1970371,1980361
河南,移动,1340372,1350342,1360342,1370072,1380370,1390372,1473702,1488068,1500372,1510372,1520372,1570372,1580372,1590302,1650016,1700372,1720370,1780372,1820362,1830062,1840372,1870362,1880072,1950362,1970372,1980362
河南,移动,1340373,1350343,1360343,1370073,1380371,1390373,1473704,,1500373,1510373,1520373,1570373,1580373,1590303,1650017,1700373,1720371,1780373,1820363,1830063,1840373,1870363,1880073,1950363,1970373,1980363
河南,移动,1340374,1350344,1360344,1370074,1380372,1390374,1473706,,1500374,1510374,1520374,1570374,1580374,1590304,1650018,1700374,1720372,1780374,1820364,1830064,1840374,1870364,1880074,1950364,1970374,1980364
河南,移动,1340375,1350345,1360345,1370075,1380373,1390375,1473707,,1500375,1510375,1520375,1570375,1580375,1590305,1650019,1700375,1720373,1780375,1820365,1830065,1840375,1870365,1880075,1950365,1970375,1980365
河南,移动,1340376,1350346,1360346,1370076,1380374,1390376,1473710,,1500376,1510376,1520376,1570376,1580376,1590306,1650026,1700376,1720374,1780376,1820366,1830066,1840376,1870366,1880076,1950366,1970376,1980366
河南,移动,1340377,1350347,1360347,1370077,1380375,1390377,1473711,,1500377,1510377,1520377,1570377,1580377,1590307,1650033,1700377,1720375,1780377,1820367,1830067,1840377,1870367,1880077,1950367,1970377,1980367
河南,移动,1340378,1350348,1360348,1370078,1380376,1390378,1473712,,1500378,1510378,1520378,1570378,1580378,1590308,1650062,1700378,1720376,1780378,1820368,1830068,1840378,1870368,1880078,1950368,1970378,1980368
河南,移动,1340379,1350349,1360349,1370079,1380377,1390379,1473713,,1500379,1510379,1520379,1570379,1580379,1590309,1650121,1700379,1720377,1780379,1820369,1830069,1840379,1870369,1880079,1950369,1970379,1980369
河南,移动,1340380,1350370,1360370,1370080,1380378,1390380,1473714,,1500380,1510380,1520380,1570380,1580380,1590360,1650122,1700380,1720378,1780380,1820370,1830070,1840390,1870370,1880360,1950370,1970391,1980370
河南,移动,1340381,1350371,1360371,1370081,1380379,1390381,1473715,,1500381,1510381,1520381,1570381,1580381,1590361,1650125,1700381,1720379,1780381,1820371,1830071,1840391,1870371,1880361,1950371,1970392,1980371
河南,移动,1340382,1350372,1360372,1370082,1380380,1390382,1473716,,1500382,1510382,1520382,1570382,1580382,1590362,1650126,1700382,1720380,1780382,1820372,1830072,1840392,1870372,1880362,1950372,1970393,1980372
河南,移动,1340383,1350373,1360373,1370083,1380381,1390383,1473717,,1500383,1510383,1520383,1570383,1580383,1590363,1650127,1700383,1720381,1780383,1820373,1830073,1840393,1870373,1880363,1950373,1970394,1980373
河南,移动,1340384,1350374,1360374,1370084,1380382,1390384,1473718,,1500384,1510384,1520384,1570384,1580384,1590364,1650128,1700384,1720382,1780384,1820374,1830074,1840394,1870374,1880364,1950374,1970395,1980374
河南,移动,1340385,1350375,1360375,1370085,1380383,1390385,1473719,,1500385,1510385,1520385,1570385,1580385,1590365,1650129,1700385,1720383,1780385,1820375,1830075,1840395,1870375,1880365,1950375,1970396,1980375
