省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
河南,联通,1300076,1310170,1320370,1452300,1550370,1560370,1660370,1670017,1710160,1750370,1760370,1850370,1860370,1960370
河南,联通,1300750,1310171,1320371,1452301,1550371,1560371,1660371,1670089,1710161,1750371,1760371,1850371,1860371,1960371
河南,联通,1300751,1310172,1320372,1452302,1550372,1560372,1660372,1670090,1710162,1750372,1760372,1850372,1860372,1960372
河南,联通,1300752,1310173,1320373,1452303,1550373,1560373,1660373,1670139,1710163,1750373,1760373,1850373,1860373,1960373
河南,联通,1300753,1310174,1320374,1452304,1550374,1560374,1660374,1670163,1710164,1750374,1760374,1850374,1860374,1960374
河南,联通,1300754,1310175,1320375,1452305,1550375,1560375,1660375,1670208,1710165,1750375,1760375,1850375,1860375,1960375
河南,联通,1300755,1310176,1320376,1452306,1550376,1560376,1660376,1670251,1710166,1750376,1760376,1850376,1860376,1960376
河南,联通,1300756,1310177,1320377,1452307,1550377,1560377,1660377,1670252,1710167,1750377,1760377,1850377,1860377,1960377
河南,联通,1300757,1310178,1320378,1452308,1550378,1560378,1660378,1670255,1710168,1750378,1760378,1850378,1860378,1960378
河南,联通,1300758,1310179,1320379,1452309,1550379,1560379,1660379,1670304,1710169,1750379,1760379,1850379,1860379,1960379
河南,联通,1300759,1310360,1320380,1452310,1550380,1560380,1660380,1670359,1710430,1750380,1760380,1850380,1860380,1960380
河南,联通,1300760,1310361,1320381,1452311,1550381,1560381,1660381,1670370,1710431,1750381,1760381,1850381,1860381,1960381
河南,联通,1300761,1310362,1320382,1452312,1550382,1560382,1660382,1670371,1710432,1750382,1760382,1850382,1860382,1960382
河南,联通,1300762,1310363,1320383,1452313,1550383,1560383,1660383,1670372,1710433,1750383,1760383,1850383,1860383,1960383
河南,联通,1300763,1310364,1320384,1452314,1550384,1560384,1660384,1670373,1710434,1750384,1760384,1850384,1860384,1960384
河南,联通,1300764,1310365,1320385,1452315,1550385,1560385,1660385,1670374,1710435,1750385,1760385,1850385,1860385,1960385
河南,联通,1300765,1310366,1320386,1452316,1550386,1560386,1660386,1670375,1710436,1750386,1760386,1850386,1860386,1960386
河南,联通,1300766,1310367,1320387,1452317,1550387,1560387,1660387,1670376,1710437,1750387,1760387,1850387,1860387,1960387
河南,联通,1300767,1310368,1320388,1452318,1550388,1560388,1660388,1670377,1710438,1750388,1760388,1850388,1860388,1960388
河南,联通,1300768,1310369,1320389,1452319,1550389,1560389,1660389,1670379,1710439,1750389,1760389,1850389,1860389,1960389
河南,联通,1300769,1310370,1320390,1452320,1550390,1560390,1660390,1670384,1710440,1750390,1760390,1850390,1860390,1960390
河南,联通,1301076,1310371,1320391,1452321,1550391,1560391,1660391,1670391,1710441,1750391,1760391,1850391,1860391,1960391
河南,联通,1301450,1310372,1320392,1452322,1550392,1560392,1660392,1670392,1710442,1750392,1760392,1850392,1860392,1960392
河南,联通,1301451,1310373,1320393,1452323,1550393,1560393,1660393,1670393,1710443,1750393,1760393,1850393,1860393,1960393
河南,联通,1301452,1310374,1320394,1452324,1550394,1560394,1660394,1670394,1710444,1750394,1760394,1850394,1860394,1960394
河南,联通,1301453,1310375,1320395,1452325,1550395,1560395,1660395,1670395,1710445,1750395,1760395,1850395,1860395,1960395
河南,联通,1301454,1310376,1320396,1452326,1550396,1560396,1660396,1670396,1710446,1750396,1760396,1850396,1860396,1960396
河南,联通,1301455,1310377,1320397,1452327,1550397,1560397,1660397,1670398,1710447,1750397,1760397,1850397,1860397,1960397
河南,联通,1301456,1310378,1320398,1452328,1550398,1560398,1660398,1670465,1710448,1750398,1760398,1850398,1860398,1960398
河南,联通,1301457,1310379,1320399,1452329,1550399,1560399,1660399,1670541,1710449,1750399,1760399,1850399,1860399,1960399
河南,联通,1301458,1310380,1321300,1452330,1551400,1561700,1661370,1670548,1710450,1751300,1761300,1853000,1861370,1963705
河南,联通,1301459,1310381,1321301,1452331,1551401,1561701,1661371,1670645,1710451,1751301,1761301,1853001,1861371,1963722
河南,联通,1301460,1310382,1321302,1452332,1551402,1561702,1661372,1670747,1710452,1751302,1761302,1853002,1861372,1963729
河南,联通,1301461,1310383,1321303,1452333,1551403,1561703,1661373,1670749,1710453,1751303,1761303,1853003,1861373,1963740
河南,联通,1301462,1310384,1321304,1452334,1551404,1561704,1661374,1671130,1710454,1751304,1761304,1853004,1861374,1963764
河南,联通,1301463,1310385,1321305,1452335,1551405,1561705,1661375,1671131,1710455,1751305,1761305,1853005,1861375,1963783
河南,联通,1301464,1310386,1321306,1452336,1551406,1561706,1661376,1671132,1710456,1751306,1761306,1853006,1861376,1963830
河南,联通,1301465,1310387,1321307,1452337,1551407,1561707,1661377,1671133,1710457,1751307,1761307,1853007,1861377,1963831
河南,联通,1301466,1310388,1321308,1452338,1551408,1561708,1661378,1671134,1710458,1751308,1761308,1853008,1861378,1963832
河南,联通,1301467,1310389,1321309,1452339,1551409,1561709,1661379,1671135,1710459,1751309,1761309,1853009,1861379,1963833
河南,联通,1301468,1310390,1321310,1452340,1551410,1561710,1661380,1671136,1710460,1751310,1761310,1853010,1861490,1963834
河南,联通,1301469,1310391,1321311,1452341,1551411,1561711,1661381,1671137,1710461,1751311,1761311,1853011,1861491,1963835
河南,联通,1301470,1310392,1321312,1452342,1551412,1561712,1661382,1671138,1710462,1751312,1761312,1853012,1861492,1963836
河南,联通,1301471,1310393,1321313,1452343,1551413,1561713,1661383,1671139,1710463,1751313,1761313,1853013,1861493,1963837
河南,联通,1301472,1310394,1321314,1452344,1551414,1561714,1661384,1671280,1710464,1751314,1761314,1853014,1861494,1963838
河南,联通,1301473,1310395,1321315,1452345,1551415,1561715,1661385,1671281,1710465,1751315,1761315,1853015,1861495,1963839
河南,联通,1301474,1310396,1321316,1452346,1551416,1561716,1661386,1671282,1710466,1751316,1761316,1853016,1861496,1963840
河南,联通,1301475,1310397,1321317,1452347,1551417,1561717,1661387,1671283,1710467,1751317,1761317,1853017,1861497,1963841
河南,联通,1301476,1310398,1321318,1452348,1551418,1561718,1661388,1671284,1710468,1751318,1761318,1853018,1861498,1963842
河南,联通,1301477,1310399,1321319,1452349,1551419,1561719,1661389,1671285,1710469,1751319,1761319,1853019,1861499,1963843
河南,联通,1301478,1312324,1321320,1452350,1551420,1561720,1661390,1671286,1710470,1751320,1761320,1853020,1862370,1963844
河南,联通,1301479,1312370,1321321,1452351,1551421,1561721,1661391,1671287,1710471,1751321,1761321,1853021,1862371,1963845
河南,联通,1301550,1312371,1321322,1452352,1551422,1561722,1661392,1671288,1710472,1751322,1761322,1853022,1862372,1963846
河南,联通,1301551,1312372,1321323,1452353,1551423,1561723,1661393,1671289,1710473,1751323,1761323,1853023,1862373,1963847
河南,联通,1301552,1312373,1321324,1452354,1551424,1561724,1661394,1671290,1710474,1751324,1761324,1853024,1862374,1963848
河南,联通,1301553,1312374,1321325,1452355,1551425,1561725,1661395,1671291,1710475,1751325,1761325,1853025,1862375,1963849
河南,联通,1301554,1312375,1321326,1452356,1551426,1561726,1661396,1671292,1710476,1751326,1761326,1853026,1862376,1963850
河南,联通,1301555,1312376,1321327,1452357,1551427,1561727,1661397,1671293,1710477,1751327,1761327,1853027,1862377,1963851
河南,联通,1301556,1312377,1321328,1452358,1551428,1561728,1661398,1671294,1710478,1751328,1761328,1853028,1862378,1963852
河南,联通,1301557,1312378,1321329,1452359,1551429,1561729,1661399,1671295,1710479,1751329,1761329,1853029,1862379,1963853
河南,联通,1301558,1312379,1321330,1454200,1551430,1561730,1662700,1671296,1710480,1751330,1761330,1853030,1862380,1963854
河南,联通,1301559,1312403,1321331,1454201,1551431,1561731,1662701,1671297,1710481,1751331,1761331,1853031,1862381,1963855
河南,联通,1301750,1312405,1321332,1454202,1551432,1561732,1662702,1671298,1710482,1751332,1761332,1853032,1862382,1963856
河南,联通,1301751,1312440,1321333,1454203,1551433,1561733,1662703,1671299,1710483,1751333,1761333,1853033,1862383,1963857
河南,联通,1301752,1312441,1321334,1454204,1551434,1561734,1662704,1671370,1710484,1751334,1761334,1853034,1862384,1963858
河南,联通,1301753,1312442,1321335,1454205,1551435,1561735,1662705,1671371,1710485,1751335,1761335,1853035,1862385,1963859
河南,联通,1301754,1312443,1321336,1454206,1551436,1561736,1662706,1671372,1710486,1751336,1761336,1853036,1862386,1963860
河南,联通,1301755,1312444,1321337,1454207,1551437,1561737,1662707,1671373,1710487,1751337,1761337,1853037,1862387,1963861
河南,联通,1301756,1313700,1321338,1454208,1551438,1561738,1662708,1671374,1710488,1751338,1761338,1853038,1862388,1963862
河南,联通,1301757,1313701,1321339,1454209,1551439,1561739,1662709,1671375,1710489,1751339,1761339,1853039,1862389,1963863
河南,联通,1301758,1313702,1321340,1454210,1551440,1561740,1662710,1671376,1710490,1751340,1761340,1853040,1862390,1963864
河南,联通,1301759,1313703,1321341,1454211,1551441,1561741,1662711,1671377,1710491,1751341,1761341,1853041,1862391,1963865
河南,联通,1301760,1313704,1321342,1454212,1551442,1561742,1662712,1671378,1710492,1751342,1761342,1853042,1862392,1963866
河南,联通,1301761,1313705,1321343,1454213,1551443,1561743,1662713,1671379,1710493,1751343,1761343,1853043,1862393,1963867
河南,联通,1301762,1313706,1321344,1454214,1551444,1561744,1662714,1671390,1710494,1751344,1761344,1853044,1862394,1963868
河南,联通,1301763,1313707,1321345,1454215,1551445,1561745,1662715,1671391,1710495,1751345,1761345,1853045,1862395,1963869
河南,联通,1301764,1313708,1321346,1454216,1551446,1561746,1662716,1671392,1710496,1751346,1761346,1853046,1862396,1963870
