省份,运营商,192 号段
浙江,广电,1920570
浙江,广电,1920571
浙江,广电,1920572
浙江,广电,1920573
浙江,广电,1920574
浙江,广电,1920575
浙江,广电,1920576
浙江,广电,1920577
浙江,广电,1920578
浙江,广电,1920579
浙江,广电,1920580
浙江,广电,1920581
浙江,广电,1920582
浙江,广电,1920583
浙江,广电,1920584
浙江,广电,1920585
浙江,广电,1920586
浙江,广电,1920587
浙江,广电,1920588
浙江,广电,1920589
浙江,广电,1920950
浙江,广电,1920951
浙江,广电,1920952
浙江,广电,1920953
浙江,广电,1920954
浙江,广电,1920955
浙江,广电,1920956
浙江,广电,1920957
浙江,广电,1920958
浙江,广电,1920959
浙江,广电,1920980
浙江,广电,1920981
浙江,广电,1920982
浙江,广电,1920983
浙江,广电,1920984
浙江,广电,1920985
浙江,广电,1920986
浙江,广电,1920987
浙江,广电,1920988
浙江,广电,1920989
浙江,广电,1921050
浙江,广电,1921051
浙江,广电,1921052
浙江,广电,1921053
浙江,广电,1921054
浙江,广电,1921055
浙江,广电,1921056
浙江,广电,1921057
浙江,广电,1921058
浙江,广电,1921059
浙江,广电,1921060
浙江,广电,1921061
浙江,广电,1921062
浙江,广电,1921063
浙江,广电,1921064
浙江,广电,1921065
浙江,广电,1921066
浙江,广电,1921067
浙江,广电,1921068
浙江,广电,1921069
浙江,广电,1921080
浙江,广电,1921081
浙江,广电,1921082
浙江,广电,1921083
浙江,广电,1921084
浙江,广电,1921085
浙江,广电,1921086
浙江,广电,1921087
浙江,广电,1921088
浙江,广电,1921089
浙江,广电,1921090
浙江,广电,1921091
浙江,广电,1921092
浙江,广电,1921093
浙江,广电,1921094
浙江,广电,1921095
浙江,广电,1921096
浙江,广电,1921097
浙江,广电,1921098
浙江,广电,1921099
浙江,广电,1921160
浙江,广电,1921161
浙江,广电,1921162
浙江,广电,1921163
浙江,广电,1921164
浙江,广电,1921165
浙江,广电,1921166
浙江,广电,1921167
浙江,广电,1921168
浙江,广电,1921169
浙江,广电,1921180
浙江,广电,1921181
浙江,广电,1921182
浙江,广电,1921183
浙江,广电,1921184
浙江,广电,1921185
浙江,广电,1921186
浙江,广电,1921187
浙江,广电,1921188
浙江,广电,1921189
浙江,广电,1921570
浙江,广电,1921571
浙江,广电,1921572
浙江,广电,1921573
浙江,广电,1921574
浙江,广电,1921575
浙江,广电,1921576
浙江,广电,1921577
浙江,广电,1921578
浙江,广电,1921579
浙江,广电,1921580
浙江,广电,1921581
浙江,广电,1921582
浙江,广电,1921583
浙江,广电,1921584
浙江,广电,1921585
浙江,广电,1921586
浙江,广电,1921587
浙江,广电,1921588
浙江,广电,1921589
浙江,广电,1921680
浙江,广电,1921681
浙江,广电,1921682
浙江,广电,1921683
浙江,广电,1921684
浙江,广电,1921685
浙江,广电,1921686
浙江,广电,1921687
浙江,广电,1921688
浙江,广电,1921689
浙江,广电,1921900
浙江,广电,1921901
浙江,广电,1921902
浙江,广电,1921903
浙江,广电,1921904
浙江,广电,1921905
浙江,广电,1921906
浙江,广电,1921907
浙江,广电,1921908
浙江,广电,1921909
浙江,广电,1921920
浙江,广电,1921921
浙江,广电,1921922
浙江,广电,1921923
浙江,广电,1921924
浙江,广电,1921925
浙江,广电,1921926
浙江,广电,1921927
浙江,广电,1921928
浙江,广电,1921929
浙江,广电,1922180
浙江,广电,1922181
浙江,广电,1922182
浙江,广电,1922183
浙江,广电,1922184
浙江,广电,1922185
浙江,广电,1922186
浙江,广电,1922187
浙江,广电,1922188
浙江,广电,1922189
浙江,广电,1922280
浙江,广电,1922281
浙江,广电,1922282
浙江,广电,1922283
浙江,广电,1922284
浙江,广电,1922285
浙江,广电,1922286
浙江,广电,1922287
浙江,广电,1922288
浙江,广电,1922289
浙江,广电,1922357
浙江,广电,1922371
浙江,广电,1922373
浙江,广电,1922374
浙江,广电,1922376
浙江,广电,1922377
浙江,广电,1922379
浙江,广电,1922396
浙江,广电,1922398
浙江,广电,1922424
浙江,广电,1922432
浙江,广电,1922447
浙江,广电,1922457
浙江,广电,1922471
浙江,广电,1922473
浙江,广电,1922474
浙江,广电,1922476
浙江,广电,1922477
浙江,广电,1922479
浙江,广电,1922570
浙江,广电,1922571
浙江,广电,1922572
浙江,广电,1922573
浙江,广电,1922574
浙江,广电,1922575
浙江,广电,1922576
浙江,广电,1922577
浙江,广电,1922578
浙江,广电,1922579
浙江,广电,1922580
浙江,广电,1922581
浙江,广电,1922582
浙江,广电,1922583
浙江,广电,1922584
浙江,广电,1922585
浙江,广电,1922586
浙江,广电,1922587
浙江,广电,1922588
浙江,广电,1922589
浙江,广电,1922920
浙江,广电,1922921
浙江,广电,1922922
浙江,广电,1922923
浙江,广电,1922924
浙江,广电,1922925
浙江,广电,1922926
浙江,广电,1922927
浙江,广电,1922928
浙江,广电,1922929
浙江,广电,1922970
浙江,广电,1922971
浙江,广电,1922972
