省份,运营商,133 号段,153 号段,162 号段,173 号段,174 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
浙江,电信,1330570,1530570,1621570,1730090,1742554,1770570,1800570,1810012,1890570,1900570,1910570,1930570,1990570
浙江,电信,1330571,1530571,1621571,1730091,,1770571,1800571,1810013,1890571,1900571,1910571,1930571,1990571
浙江,电信,1330572,1530572,1621572,1730092,,1770572,1800572,1810014,1890572,1900572,1910572,1930572,1990572
浙江,电信,1330573,1530573,1621573,1730093,,1770573,1800573,1810015,1890573,1900573,1910573,1930573,1990573
浙江,电信,1330574,1530574,1621574,1730094,,1770574,1800574,1810016,1890574,1900574,1910574,1930574,1990574
浙江,电信,1330575,1530575,1621575,1730095,,1770575,1800575,1810017,1890575,1900575,1910575,1930575,1990575
浙江,电信,1330576,1530576,1621576,1730096,,1770576,1800576,1810018,1890576,1900576,1910576,1930576,1990576
浙江,电信,1330577,1530577,1621577,1730097,,1770577,1800577,1810019,1890577,1900577,1910577,1930577,1990577
浙江,电信,1330578,1530578,1621578,1730098,,1770578,1800578,1810570,1890578,1900578,1910578,1930578,1990578
浙江,电信,1330579,1530579,1621579,1730099,,1770579,1800579,1810571,1890579,1900579,1910579,1930579,1990579
浙江,电信,1330580,1530580,1622440,1730570,,1770580,1800580,1810572,1890580,1900580,1910580,1930580,1990580
浙江,电信,1330581,1530581,1622441,1730571,,1770581,1800581,1810573,1890581,1900581,1910581,1930581,1990581
浙江,电信,1330582,1530582,1622442,1730572,,1770582,1800582,1810574,1890582,1900582,1910582,1930582,1990582
浙江,电信,1330583,1530583,1622443,1730573,,1770583,1800583,1810575,1890583,1900583,1910583,1930583,1990583
浙江,电信,1330584,1530584,1622445,1730574,,1770584,1800584,1810576,1890584,1900584,1910584,1930584,1990584
浙江,电信,1330585,1530585,1622446,1730575,,1770585,1800585,1810577,1890585,1900585,1910585,1930585,1990585
浙江,电信,1330586,1530586,1622447,1730576,,1770586,1800586,1810578,1890586,1900586,1910586,1930586,1990586
浙江,电信,1330587,1530587,1622448,1730577,,1770587,1800587,1810579,1890587,1900587,1910587,1930587,1990587
浙江,电信,1330588,1530588,1622449,1730578,,1770588,1800588,1810580,1890588,1900588,1910588,1930588,1990588
浙江,电信,1330589,1530589,1622570,1730579,,1770589,1800589,1810581,1890589,1900589,1910589,1930589,1990589
浙江,电信,1330650,1530650,1622571,1730580,,1770640,1800650,1810582,1890650,1901120,1910650,1932370,1990650
浙江,电信,1330651,1530651,1622572,1730581,,1770641,1800651,1810583,1890651,1901121,1910651,1932371,1990651
浙江,电信,1330652,1530652,1622573,1730582,,1770642,1800652,1810584,1890652,1901122,1910652,1932372,1990652
浙江,电信,1330653,1530653,1622574,1730583,,1770643,1800653,1810585,1890653,1901123,1910653,1932373,1990653
浙江,电信,1330654,1530654,1622575,1730584,,1770644,1800654,1810586,1890654,1901124,1910654,1932374,1990654
浙江,电信,1330655,1530655,1622576,1730585,,1770645,1800655,1810587,1890655,1901125,1910655,1932375,1990655
浙江,电信,1330656,1530656,1622577,1730586,,1770646,1800656,1810588,1890656,1901126,1910656,1932376,1990656
浙江,电信,1330657,1530657,1622578,1730587,,1770647,1800657,1810589,1890657,1901127,1910657,1932377,1990657
