省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
浙江,移动,1342900,1350570,1360050,1370570,1380057,1390057,1470570,1480800,1500570,1510570,1520570,1570000,1580570,1590570,1650570,1700560,1720110,1780570,1820570,1830500,1840010,1870570,1880570,1950570,1970069,1980570
浙江,移动,1342901,1350571,1360051,1370571,1380058,1390058,1470571,1480801,1500571,1510571,1520571,1570001,1580571,1590571,1650571,1700561,1720111,1780571,1820571,1830501,1840013,1870571,1880571,1950571,1970070,1980571
浙江,移动,1342902,1350572,1360052,1370572,1380068,1390065,1470572,1480802,1500572,1510572,1520572,1570002,1580572,1590572,1650572,1700562,1720570,1780572,1820572,1830502,1840015,1870572,1880572,1950572,1970071,1980572
浙江,移动,1342903,1350573,1360053,1370573,1380069,1390066,1470573,1480803,1500573,1510573,1520573,1570003,1580573,1590573,1650573,1700563,1720571,1780573,1820573,1830503,1840016,1870573,1880573,1950573,1970072,1980573
浙江,移动,1342904,1350574,1360054,1370574,1380570,1390067,1470574,1480804,1500574,1510574,1520574,1570004,1580574,1590574,1650574,1700564,1720572,1780574,1820574,1830504,1840017,1870574,1880574,1950574,1970073,1980574
浙江,移动,1342905,1350575,1360055,1370575,1380571,1390068,1470575,1480805,1500575,1510575,1520575,1570005,1580575,1590575,1650575,1700565,1720573,1780575,1820575,1830505,1840018,1870575,1880575,1950575,1970074,1980575
浙江,移动,1342906,1350576,1360056,1370576,1380572,1390570,1470576,1480806,1500576,1510576,1520576,1570006,1580576,1590576,1650576,1700566,1720574,1780576,1820576,1830506,1840019,1870576,1880576,1950576,1970075,1980576
浙江,移动,1342907,1350577,1360057,1370577,1380573,1390571,1470577,1480807,1500577,1510577,1520577,1570007,1580577,1590577,1650577,1700567,1720575,1780577,1820577,1830507,1840570,1870577,1880577,1950577,1970076,1980577
浙江,移动,1342908,1350578,1360058,1370578,1380574,1390572,1470578,1480808,1500578,1510578,1520578,1570008,1580578,1590578,1650578,1700568,1720576,1780578,1820578,1830508,1840571,1870578,1880578,1950578,1970077,1980578
浙江,移动,1342909,1350579,1360059,1370579,1380575,1390573,1470579,1480809,1500579,1510579,1520579,1570009,1580579,1590579,1650579,1700570,1720577,1780579,1820579,1830509,1840572,1870579,1880579,1950579,1970078,1980579
浙江,移动,1342910,1350580,1360060,1370580,1380576,1390574,1470580,1480810,1500580,1510580,1520580,1570010,1580580,1590580,1650580,1700571,1720578,1780580,1820580,1830570,1840573,1870580,1880580,1950580,1970079,1980580
浙江,移动,1342911,1350581,1360061,1370581,1380577,1390575,1470581,1480811,1500581,1510581,1520581,1570011,1580581,1590581,1650856,1700572,1720579,1780581,1820581,1830571,1840574,1870581,1880581,1950581,1970090,1980581
浙江,移动,1342912,1350582,1360062,1370582,1380578,1390576,1470582,1480812,1500582,1510582,1520582,1570012,1580582,1590582,1651231,1700573,1720580,1780582,1820582,1830572,1840575,1870582,1880582,1950582,1970091,1980582
浙江,移动,1342913,1350583,1360063,1370583,1380579,1390577,1470583,1480813,1500583,1510583,1520583,1570013,1580583,1590583,1651257,1700574,1720581,1780583,1820583,1830573,1840576,1870583,1880583,1950583,1970092,1980583
