省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
浙江,联通,1300067,1310550,1320570,1452200,1550570,1560570,1660570,1670004,1710770,1750570,1760570,1850570,1860570,1960570
浙江,联通,1300260,1310551,1320571,1452201,1550571,1560571,1660571,1670036,1710771,1750571,1760571,1850571,1860571,1960571
浙江,联通,1300261,1310552,1320572,1452202,1550572,1560572,1660572,1670042,1710772,1750572,1760572,1850572,1860572,1960572
浙江,联通,1300262,1310553,1320573,1452203,1550573,1560573,1660573,1670043,1710773,1750573,1760573,1850573,1860573,1960573
浙江,联通,1300263,1310554,1320574,1452204,1550574,1560574,1660574,1670052,1710774,1750574,1760574,1850574,1860574,1960574
浙江,联通,1300264,1310555,1320575,1452205,1550575,1560575,1660575,1670054,1710775,1750575,1760575,1850575,1860575,1960575
浙江,联通,1300265,1310556,1320576,1452206,1550576,1560576,1660576,1670061,1710776,1750576,1760576,1850576,1860576,1960576
浙江,联通,1300266,1310557,1320577,1452207,1550577,1560577,1660577,1670069,1710777,1750577,1760577,1850577,1860577,1960577
浙江,联通,1300267,1310558,1320578,1452208,1550578,1560578,1660578,1670117,1710778,1750578,1760578,1850578,1860578,1960578
浙江,联通,1300268,1310559,1320579,1452209,1550579,1560579,1660579,1670135,1710779,1750579,1760579,1850579,1860579,1960579
浙江,联通,1300269,1310560,1320580,1452210,1550580,1560580,1660580,1670154,1711770,1750580,1760580,1850580,1860580,1960580
浙江,联通,1300360,1310561,1320581,1452211,1550581,1560581,1660581,1670181,1711771,1750581,1760581,1850581,1860581,1960581
浙江,联通,1300361,1310562,1320582,1452212,1550582,1560582,1660582,1670184,1711772,1750582,1760582,1850582,1860582,1960582
浙江,联通,1300362,1310563,1320583,1452213,1550583,1560583,1660583,1670186,1711773,1750583,1760583,1850583,1860583,1960583
浙江,联通,1300363,1310564,1320584,1452214,1550584,1560584,1660584,1670191,1711774,1750584,1760584,1850584,1860584,1960584
浙江,联通,1300364,1310565,1320585,1452215,1550585,1560585,1660585,1670197,1711775,1750585,1760585,1850585,1860585,1960585
浙江,联通,1300365,1310566,1320586,1452216,1550586,1560586,1660586,1670232,1711776,1750586,1760586,1850586,1860586,1960586
浙江,联通,1300366,1310567,1320587,1452217,1550587,1560587,1660587,1670234,1711777,1750587,1760587,1850587,1860587,1960587
浙江,联通,1300367,1310568,1320588,1452218,1550588,1560588,1660588,1670260,1711778,1750588,1760588,1850588,1860588,1960588
浙江,联通,1300368,1310569,1320589,1452219,1550589,1560589,1660589,1670447,1711779,1750589,1760589,1850589,1860589,1960589
浙江,联通,1300369,1310570,1320800,1452220,1555700,1560650,1665700,1670460,1711930,1750650,1760650,1850650,1860650,1965700
浙江,联通,1300370,1310571,1320801,1452221,1555701,1560651,1665701,1670497,1711931,1750651,1760651,1850651,1860651,1965701
浙江,联通,1300371,1310572,1320802,1452222,1555702,1560652,1665702,1670570,1711932,1750652,1760652,1850652,1860652,1965702
浙江,联通,1300372,1310573,1320803,1452223,1555703,1560653,1665703,1670571,1711933,1750653,1760653,1850653,1860653,1965703
浙江,联通,1300373,1310574,1320804,1452224,1555704,1560654,1665704,1670572,1711934,1750654,1760654,1850654,1860654,1965704
浙江,联通,1300374,1310575,1320805,1452225,1555705,1560655,1665705,1670573,1711935,1750655,1760655,1850655,1860655,1965705
