省份,运营商,192 号段
海南,广电,1920840
海南,广电,1920841
海南,广电,1920842
海南,广电,1920843
海南,广电,1920844
海南,广电,1920845
海南,广电,1920846
海南,广电,1920847
海南,广电,1920848
海南,广电,1920849
海南,广电,1921890
海南,广电,1921891
海南,广电,1921892
海南,广电,1921893
海南,广电,1921894
海南,广电,1921895
海南,广电,1921896
海南,广电,1921897
海南,广电,1921898
海南,广电,1921899
海南,广电,1922308
海南,广电,1922489
海南,广电,1924890
海南,广电,1924891
海南,广电,1924892
海南,广电,1924893
海南,广电,1924894
海南,广电,1924895
海南,广电,1924896
海南,广电,1924897
海南,广电,1924898
海南,广电,1924899
海南,广电,1924990
海南,广电,1924991
海南,广电,1924992
海南,广电,1924993
海南,广电,1924994
海南,广电,1924995
海南,广电,1924996
海南,广电,1924997
海南,广电,1924998
海南,广电,1924999
海南,广电,1927890
海南,广电,1927891
海南,广电,1927892
海南,广电,1927893
海南,广电,1927894
海南,广电,1927895
海南,广电,1927896
海南,广电,1927897
海南,广电,1927898
海南,广电,1927899
海南,广电,1929890
海南,广电,1929891
海南,广电,1929892
海南,广电,1929893
海南,广电,1929894
海南,广电,1929895
海南,广电,1929896
海南,广电,1929897
海南,广电,1929898
海南,广电,1929899
