省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
海南,电信,1330750,1530890,1621890,1733080,1770090,1807890,1810096,1890750,1903090,1918980,1936165,1990750
海南,电信,1330751,1530891,1621891,1733081,1770091,1807891,1811760,1890751,1903091,1918981,1936166,1990751
海南,电信,1330752,1530892,1621892,1733082,1770092,1807892,1811761,1890752,1903092,1918982,1936167,1990752
海南,电信,1330753,1530893,1621893,1733083,1770093,1807893,1811762,1890753,1903093,1918983,1936168,1990753
海南,电信,1330754,1530894,1621894,1733084,1770094,1807894,1811763,1890754,1903094,1918984,1936169,1990754
海南,电信,1330755,1530895,1621895,1733085,1770095,1807895,1811764,1890755,1903095,1918985,1938980,1990755
海南,电信,1330756,1530896,1621896,1733086,1770096,1807896,1811765,1890756,1903096,1918986,1938981,1990756
海南,电信,1330757,1530897,1621897,1733087,1770097,1807897,1811766,1890757,1903097,1918987,1938982,1990757
海南,电信,1330758,1530898,1621898,1733088,1770098,1807898,1811767,1890758,1903098,1918988,1938983,1990758
海南,电信,1330759,1530899,1621899,1733089,1770099,1807899,1811768,1890759,1903099,1918989,1938984,1990759
海南,电信,1330760,1533786,1621980,1733090,1773310,1808460,1811769,1890760,1908980,,1938985,1990760
海南,电信,1330761,1533890,1621981,1733091,1773311,1808461,1811770,1890761,1908981,,1938986,1990761
海南,电信,1330762,1533891,1621982,1733092,1773312,1808462,1811771,1890762,1908982,,1938987,1990762
海南,电信,1330763,1533892,1621983,1733093,1773313,1808463,1811772,1890763,1908983,,1938988,1990763
海南,电信,1330764,1533893,1621984,1733094,1773314,1808464,1811773,1890764,1908984,,1938989,1990764
海南,电信,1330765,1533894,1621985,1733095,1773315,1808465,1811774,1890765,1908985,,1938990,1990765
海南,电信,1330766,1533895,1621986,1733096,1773316,1808466,1811775,1890766,1908986,,1938991,1990766
海南,电信,1330767,1533896,1621987,1733097,1773317,1808467,1811776,1890767,1908987,,1938992,1990767
海南,电信,1330768,1533897,1621988,1733098,1773318,1808468,1811777,1890768,1908988,,1938993,1990768
海南,电信,1330769,1533898,1621989,1733099,1773319,1808469,1811778,1890769,1908989,,1938994,1994320
海南,电信,1332200,1533899,1622890,1733690,1774480,1808970,1811779,1897600,,,1938995,1994321
海南,电信,1332201,1534470,1622891,1733691,1774481,1808971,1818460,1897601,,,1938996,1994322
海南,电信,1332202,1534880,1622892,1733692,1774482,1808972,1818461,1897602,,,1938997,1994323
海南,电信,1332203,1534881,1622893,1733693,1774483,1808973,1818462,1897603,,,1938998,1994324
