省份,运营商,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
海南,移动,1351800,1361750,1370040,1380089,1390075,1470890,1482510,1500800,1510300,1520300,1570650,1580890,1650610,1700136,1720890,1780360,1820890,1830890,1841700,1870890,1880890,1952491,1970898,1980890
海南,移动,1351801,1361751,1370041,1380750,1390076,1470891,1482511,1500801,1510301,1520301,1570651,1580891,1650854,1700342,1720891,1780361,1820891,1830891,1841701,1870891,1880891,1952492,1971898,1980891
海南,移动,1351802,1361752,1370042,1380751,1390750,1470892,1483395,1500802,1510302,1520302,1570652,1580892,1650898,1700898,1720892,1780362,1820892,1830892,1841702,1870892,1880892,1952974,1972771,1980892
海南,移动,1351803,1361753,1370043,1380752,1390751,1470893,1483396,1500803,1510303,1520303,1570653,1580893,1650899,1700899,1720893,1780363,1820893,1830893,1841703,1870893,1880893,1953169,1972772,1980893
海南,移动,1351804,1361754,1370044,1380753,1390752,1470894,,1500804,1510304,1520304,1570654,1580894,1651175,1701894,1720894,1780364,1820894,1830894,1841704,1870894,1880894,1953231,1972864,1980894
海南,移动,1351805,1361755,1370045,1380754,1390753,1470895,,1500805,1510305,1520305,1570655,1580895,1651905,1701895,1720895,1780365,1820895,1830895,1841705,1870895,1880895,1953293,1972894,1980895
海南,移动,1351806,1361756,1370046,1380755,1390754,1470896,,1500806,1510306,1520306,1570656,1580896,1652228,1701896,1720896,1780366,1820896,1830896,1841706,1870896,1880896,1953365,1972898,1980896
海南,移动,1351807,1361757,1370047,1380756,1390755,1470897,,1500807,1510307,1520307,1570657,1580897,1652597,1701897,1720897,1780367,1820897,1830897,1841707,1870897,1880897,1953429,1972904,1980897
海南,移动,1351808,1361758,1370048,1380757,1390756,1470898,,1500808,1510308,1520308,1570658,1580898,1652660,1701898,1720898,1780368,1820898,1830898,1841708,1870898,1880898,1953430,1972924,1980898
海南,移动,1351809,1361759,1370049,1380758,1390757,1470899,,1500809,1510309,1520309,1570659,1580899,1653425,1701899,1720899,1780369,1820899,1830899,1841709,1870899,1880899,1953744,1972985,1980899
海南,移动,1351880,1362750,1370750,1380759,1390758,1471870,,1500890,1510360,1520360,1570710,,1655939,1702880,1724493,1784810,1821780,1838920,1841710,1878900,1887600,1953745,1972986,1980920
海南,移动,1351881,1362751,1370751,1380760,1390759,1471871,,1500891,1510361,1520361,1570711,,1655968,1702881,1724494,1784811,1821781,1838921,1841711,1878901,1887601,1953821,1972987,1980921
海南,移动,1351882,1362752,1370752,1380761,1390760,1471872,,1500892,1510362,1520362,1570712,,1655998,1702882,1724495,1784812,1821782,1838922,1841712,1878902,1887602,1953823,1972988,1980922
海南,移动,1351883,1362753,1370753,1380762,1390761,1471873,,1500893,1510363,1520363,1570713,,1656128,1702883,1726365,1784813,1821783,1838923,1841713,1878903,1887603,1953825,1972989,1980923
海南,移动,1351884,1362754,1370754,1380763,1390762,1471874,,1500894,1510364,1520364,1570714,,1656986,1702884,1726366,1784814,1821784,1838924,1841714,1878904,1887604,1953826,1972998,1980924
海南,移动,1351885,1362755,1370755,1380764,1390763,1471875,,1500895,1510365,1520365,1570715,,1656989,1702885,1726367,1784815,1821785,1838925,1841715,1878905,1887605,1953955,1974960,1980925
海南,移动,1351886,1362756,1370756,1380765,1390764,1471876,,1500896,1510366,1520366,1570716,,1657168,1702886,1727657,1784816,1821786,1838926,1841716,1878906,1887606,1953966,1974961,1980926
海南,移动,1351887,1362757,1370757,1380766,1390765,1471877,,1500897,1510367,1520367,1570717,,1657258,1702887,1727885,1784817,1821787,1838927,1841717,1878907,1887607,1958500,1974962,1980927
海南,移动,1351888,1362758,1370758,1380767,1390766,1471878,,1500898,1510368,1520368,1570718,,1659297,1702888,1728980,1784818,1821788,1838928,1841718,1878908,1887608,1958501,1974963,1980928
海南,移动,1351889,1362759,1370759,1380768,1390767,1471879,,1500899,1510369,1520369,1570719,,1659308,1702889,1728981,1784819,1821789,1838929,1841719,1878909,1887609,1958502,1974964,1980929
海南,移动,1351980,1363750,,1380769,1390768,1471880,,1509190,1510890,1520890,1570780,,,1702890,1728982,1788670,1821790,1838930,1841720,1878910,1887610,1958503,1974965,1981415
海南,移动,1351981,1363751,,1387600,1390769,1471881,,1509191,1510891,1520891,1570781,,,1702891,1728983,1788671,1821791,1838931,1841721,1878911,1887611,1958504,1974966,1981416
海南,移动,1351982,1363752,,1387601,1397600,1471882,,1509192,1510892,1520892,1570782,,,1702892,1728984,1788672,1821792,1838932,1841722,1878912,1887612,1958505,1974967,1981417
海南,移动,1351983,1363753,,1387602,1397601,1471883,,1509193,1510893,1520893,1570783,,,1702893,1728985,1788673,1821793,1838933,1841723,1878913,1887613,1958506,1974968,1984070
海南,移动,1351984,1363754,,1387603,1397602,1471884,,1509194,1510894,1520894,1570784,,,1702894,1728986,1788674,1821794,1838934,1841724,1878914,1887614,1958507,1974969,1984071
海南,移动,1351985,1363755,,1387604,1397603,1471885,,1509195,1510895,1520895,1570785,,,1702895,1728987,1788675,1821795,1838935,1841725,1878915,1887615,1958508,,1984072
海南,移动,1351986,1363756,,1387605,1397604,1471886,,1509196,1510896,1520896,1570786,,,1702896,1728988,1788676,1821796,1838936,1841726,1878916,1887616,1958509,,1984073
海南,移动,1351987,1363757,,1387606,1397605,1471887,,1509197,1510897,1520897,1570787,,,1702897,1728989,1788677,1821797,1838937,1841727,1878917,1887617,1958650,,1984074
海南,移动,1351988,1363758,,1387607,1397606,1471888,,1509198,1510898,1520898,1570788,,,1702898,1728990,1788678,1821798,1838938,1841728,1878918,1887618,1958651,,1984075
海南,移动,1351989,1363759,,1387608,1397607,1471889,,1509199,1510899,1520899,1570789,,,1702899,1728991,1788679,1821799,1838939,1841729,1878919,1887619,1958652,,1984076
海南,移动,,1363760,,1387609,1397608,1476565,,,1510980,1524890,1570890,,,1705021,1728992,1788970,1828920,1838940,1841730,1878920,1887660,1958653,,1984077
海南,移动,,1363761,,1387610,1397609,1476666,,,1510981,1524891,1570891,,,1705181,1728993,1788971,1828921,1838941,1841731,1878921,1887661,1958654,,1984078
海南,移动,,1363762,,1387611,1397610,1476667,,,1510982,1524892,1570892,,,1705309,1728994,1788972,1828922,1838942,1841732,1878922,1887662,1958655,,1984079
海南,移动,,1363763,,1387612,1397611,1476668,,,1510983,1524893,1570893,,,1705372,1728995,1788973,1828923,1838943,1841733,1878923,1887663,1958656,,1988900
海南,移动,,1363764,,1387613,1397612,1476669,,,1510984,1524894,1570894,,,1705503,1728996,1788974,1828924,1838944,1841734,1878924,1887664,1958657,,1988901
海南,移动,,1363765,,1387614,1397613,1479880,,,1510985,1524895,1570895,,,1705754,1728997,1788975,1828925,1838945,1841735,1878925,1887665,1958658,,1988902
海南,移动,,1363766,,1387615,1397614,1479881,,,1510986,1524896,1570896,,,1706504,1728998,1788976,1828926,1838946,1841736,1878926,1887666,1958659,,1988903
海南,移动,,1363767,,1387616,1397615,1479882,,,1510987,1524897,1570897,,,1706505,1728999,1788977,1828927,1838947,1841737,1878927,1887667,1958670,,1988904
海南,移动,,1363768,,1387617,1397616,1479883,,,1510988,1524898,1570898,,,1706506,1729498,1788978,1828928,1838948,1841738,1878928,1887668,1958671,,1988905
海南,移动,,1363769,,1387618,1397617,1479884,,,1510989,1524899,1570899,,,1706507,1729499,1788979,1828929,1838949,1841739,1878929,1887669,1958672,,1988906
海南,移动,,1364750,,1387619,1397618,1479885,,,1512060,1528970,1571890,,,1706508,1729625,1788980,1828930,1838950,1841740,1878930,1887670,1958673,,1988907
海南,移动,,1364751,,1387620,1397619,1479886,,,1512061,1528971,1571891,,,1706509,1729992,1788981,1828931,1838951,1841741,1878931,1887671,1958674,,1988908
海南,移动,,1364752,,1387621,1397620,1479887,,,1512062,1528972,1571892,,,1706510,1729993,1788982,1828932,1838952,1841742,1878932,1887672,1958675,,1988909
海南,移动,,1364753,,1387622,1397621,1479888,,,1512063,1528973,1571893,,,1706511,1729994,1788983,1828933,1838953,1841743,1878933,1887673,1958676,,1989980
海南,移动,,1364754,,1387623,1397622,1479889,,,1512064,1528974,1571894,,,1706512,1729995,1788984,1828934,1838954,1841744,1878934,1887674,1958677,,1989981
海南,移动,,1364755,,1387624,1397623,1479890,,,1512065,1528975,1571895,,,1706513,1729996,1788985,1828935,1838955,1841745,1878935,1887675,1958678,,1989982
海南,移动,,1364756,,1387625,1397624,1479891,,,1512066,1528976,1571896,,,1706514,,1788986,1828936,1838956,1841746,1878936,1887676,1958679,,1989983
海南,移动,,1364757,,1387626,1397625,1479892,,,1512067,1528977,1571897,,,1706515,,1788987,1828937,1838957,1841747,1878937,1887677,1958840,,1989984
海南,移动,,1364758,,1387627,1397626,1479893,,,1512068,1528978,1571898,,,1706516,,1788988,1828938,1838958,1841748,1878938,1887678,1958841,,1989985
海南,移动,,1364759,,1387628,1397627,1479894,,,1512069,1528979,1571899,,,1706517,,1788989,1828939,1838959,1841749,1878939,1887679,1958842,,1989986
