省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
海南,联通,1300500,1311190,1320890,1452380,1550090,1560750,1660890,1670067,1710240,1750890,1760890,1850890,1860890,1960890
海南,联通,1300501,1311191,1320891,1452381,1550091,1560751,1660891,1670499,1710241,1750891,1760891,1850891,1860891,1960891
海南,联通,1300502,1311192,1320892,1452382,1550092,1560752,1660892,1670614,1710242,1750892,1760892,1850892,1860892,1960892
海南,联通,1300503,1311193,1320893,1452383,1550093,1560753,1660893,1670898,1710243,1750893,1760893,1850893,1860893,1960893
海南,联通,1300504,1311194,1320894,1452384,1550094,1560754,1660894,1671890,1710244,1750894,1760894,1850894,1860894,1960894
海南,联通,1300505,1311195,1320895,1452385,1550095,1560755,1660895,1671891,1710245,1750895,1760895,1850895,1860895,1960895
海南,联通,1300506,1311196,1320896,1452386,1550096,1560756,1660896,1671892,1710246,1750896,1760896,1850896,1860896,1960896
海南,联通,1300507,1311197,1320897,1452387,1550097,1560757,1660897,1671893,1710247,1750897,1760897,1850897,1860897,1960897
海南,联通,1300508,1311198,1320898,1452388,1550098,1560758,1660898,1671894,1710248,1750898,1760898,1850898,1860898,1960898
海南,联通,1300509,1311199,1320899,1452389,1550099,1560759,1660899,1671895,1710249,1750899,1760899,1850899,1860899,1960899
海南,联通,1300600,1311890,1321570,1454240,1550170,1560760,1668910,1671896,1714688,1758910,1768970,1858950,1868950,
海南,联通,1300601,1311891,1321571,1454241,1550171,1560761,1668911,1671897,1714689,1758911,1768971,1858951,1868951,
海南,联通,1300602,1311892,1321572,1454242,1550172,1560762,1668912,1671898,1714690,1758912,1768972,1858952,1868952,
海南,联通,1300603,1311893,1321573,1454243,1550173,1560763,1668913,1671899,1714691,1758913,1768973,1858953,1868953,
海南,联通,1300604,1311894,1321574,1454244,1550174,1560764,1668914,1674987,1714693,1758914,1768974,1858954,1868954,
海南,联通,1300605,1311895,1321575,1454245,1550175,1560765,1668915,1674989,1714898,1758915,1768975,1858955,1868955,
海南,联通,1300606,1311896,1321576,1454246,1550176,1560766,1668916,1674990,1715890,1758916,1768976,1858956,1868956,
海南,联通,1300607,1311897,1321577,1454247,1550177,1560767,1668917,1674991,1715891,1758917,1768977,1858957,1868957,
海南,联通,1300608,1311898,1321578,1454248,1550178,1560768,1668918,1674992,1715892,1758918,1768978,1858958,1868958,
海南,联通,1300609,1311899,1321579,1454249,1550179,1560769,1668919,1675378,1715893,1758919,1768979,1858959,1868959,
海南,联通,1301050,1313600,1321580,1454250,1550180,1565400,1668920,1675380,1715894,1758920,1768980,1858960,1868960,
海南,联通,1301620,1313601,1321581,1454251,1550181,1569250,1668921,1675381,1715895,1758921,1768981,1858961,1868961,
海南,联通,1301621,1313602,1321582,1454252,1550182,1569251,1668922,1675382,1715896,1758922,1768982,1858962,1868962,
海南,联通,1301622,1313603,1321583,1454253,1550183,1569252,1668923,1675383,1715897,1758923,1768983,1858963,1868963,
海南,联通,1301623,1313604,1321584,1454254,1550184,1569253,1668924,1676255,1715898,1758924,1768984,1858964,1868964,
海南,联通,1301624,1313605,1321585,1454255,1550185,1569254,1668925,1676256,1715899,1758925,1768985,1858965,1868965,
海南,联通,1301625,1313606,1321586,1454256,1550186,1569255,1668926,1676257,1716890,1758926,1768986,1858966,1868966,
海南,联通,1301626,1313607,1321587,1454257,1550187,1569256,1668927,1676258,1716891,1758927,1768987,1858967,1868967,
海南,联通,1301627,1313608,1321588,1454258,1550188,1569257,1668928,1676259,1716892,1758928,1768988,1858968,1868968,
海南,联通,1301628,1313609,1321589,1454259,1550189,1569258,1668929,1676260,1716893,1758929,1768989,1858969,1868969,
海南,联通,1301629,1313890,1327890,1459180,1550190,1569259,1668950,1676261,1716894,1758970,,,1868970,
海南,联通,1303490,1313891,1327891,1459181,1550191,,1668951,1676262,1716895,1758971,,,1868971,
海南,联通,1303491,1313892,1327892,1459182,1550192,,1668952,1676263,1716896,1758972,,,1868972,
海南,联通,1303492,1313893,1327893,1459183,1550193,,1668953,1676264,1716897,1758973,,,1868973,
海南,联通,1303493,1313894,1327894,1459184,1550194,,1668954,1676265,1716898,1758974,,,1868974,
海南,联通,1303494,1313895,1327895,1459185,1550195,,1668955,1676266,1716899,1758975,,,1868975,
海南,联通,1303495,1313896,1327896,1459186,1550196,,1668956,1676267,1717890,1758976,,,1868976,
海南,联通,1303496,1313897,1327897,1459187,1550197,,1668957,1676268,1717891,1758977,,,1868977,
海南,联通,1303497,1313898,1327898,1459188,1550198,,1668958,1676269,1717892,1758978,,,1868978,
海南,联通,1303498,1313899,1327899,1459189,1550199,,1668959,1676270,1717893,1758979,,,1868979,
海南,联通,1303499,1315890,,,1550890,,1668960,1677898,1717894,1758980,,,1868980,
海南,联通,1303600,1315891,,,1550891,,1668961,1678183,1717895,1758981,,,1868981,
海南,联通,1303601,1315892,,,1550892,,1668962,1678189,1717896,1758982,,,1868982,
海南,联通,1303602,1315893,,,1550893,,1668963,1678223,1717897,1758983,,,1868983,
海南,联通,1303603,1315894,,,1550894,,1668964,1678260,1717898,1758984,,,1868984,
海南,联通,1303604,1315895,,,1550895,,1668965,1678583,1717899,1758985,,,1868985,
海南,联通,1303605,1315896,,,1550896,,1668966,1678640,1718890,1758986,,,1868986,
海南,联通,1303606,1315897,,,1550897,,1668967,1678694,1718891,1758987,,,1868987,
海南,联通,1303607,1315898,,,1550898,,1668968,1679898,1718892,1758988,,,1868988,
海南,联通,1303608,1315899,,,1550899,,1668969,,1718893,1758989,,,1868989,
海南,联通,1303609,1317890,,,1559560,,1668970,,1718894,1758990,,,1868990,
海南,联通,1307890,1317891,,,1559561,,1668971,,1718895,1758991,,,1868991,
