省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
湖北,电信,1330710,1530710,1621270,1730270,1770270,1800710,1810070,1890710,1900270,1910270,1930040,1990710
湖北,电信,1330711,1530711,1621271,1730271,1770271,1800711,1810071,1890711,1900271,1910271,1930041,1990711
湖北,电信,1330712,1530712,1621272,1730272,1770272,1800712,1810072,1890712,1900272,1910272,1930042,1990712
湖北,电信,1330713,1530713,1621273,1730273,1770273,1800713,1810710,1890713,1900273,1910273,1930043,1990713
湖北,电信,1330714,1530714,1621274,1730274,1770274,1800714,1810711,1890714,1900274,1910274,1930044,1990714
湖北,电信,1330715,1530715,1621275,1730275,1770275,1800715,1810712,1890715,1900275,1910275,1930045,1990715
湖北,电信,1330716,1530716,1621276,1730276,1770276,1800716,1810713,1890716,1900276,1910276,1930046,1990716
湖北,电信,1330717,1530717,1621277,1730277,1770277,1800717,1810714,1890717,1900277,1910277,1930047,1990717
湖北,电信,1330718,1530718,1621278,1730278,1770278,1800718,1810715,1890718,1900278,1910278,1930048,1990718
湖北,电信,1330719,1530719,1621279,1730279,1770279,1800719,1810716,1890719,1900279,1910279,1930049,1990719
湖北,电信,1330720,1530720,1621400,1730710,1770710,1800720,1810717,1890720,1900710,1910710,1930270,1990720
湖北,电信,1330721,1530721,1621401,1730711,1770711,1800721,1810718,1890721,1900711,1910711,1930271,1990721
湖北,电信,1330722,1530722,1621402,1730712,1770712,1800722,1810719,1890722,1900712,1910712,1930272,1990722
湖北,电信,1330723,1530723,1621403,1730713,1770713,1800723,1810720,1890723,1900713,1910713,1930273,1990723
湖北,电信,1330724,1530724,1621404,1730714,1770714,1800724,1810721,1890724,1900714,1910714,1930274,1990724
湖北,电信,1330725,1530725,1621405,1730715,1770715,1800725,1810722,1890725,1900715,1910715,1930275,1990725
湖北,电信,1330726,1530726,1621406,1730716,1770716,1800726,1810723,1890726,1900716,1910716,1930276,1990726
湖北,电信,1330727,1530727,1621407,1730717,1770717,1800727,1810724,1890727,1900717,1910717,1930277,1990727
湖北,电信,1330728,1530728,1621408,1730718,1770718,1800728,1810725,1890728,1900718,1910718,1930278,1990728
湖北,电信,1330729,1530729,1621409,1730719,1770719,1800729,1810726,1890729,1900719,1910719,1930279,1990729
湖北,电信,1330860,1530860,1621710,1730720,1770720,1800860,1810727,1890860,1900720,1910720,1930710,1990860
湖北,电信,1330861,1530861,1621711,1730721,1770721,1800861,1810728,1890861,1900721,1910721,1930711,1990861
湖北,电信,1330862,1530862,1621712,1730722,1770722,1800862,1810729,1890862,1900722,1910722,1930712,1990862
