省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
湖北,移动,1340270,1350710,1360710,1370710,1380026,1390071,1470270,1482583,1500270,1510270,1520270,1570720,1580270,1590270,1650005,1700132,1720116,1780270,1820270,1830270,1840003,1870270,1880270,1950270,1970710,1980710
湖北,移动,1340271,1350711,1360711,1370711,1380027,1390086,1470271,1487640,1500271,1510271,1520271,1570721,1580271,1590271,1650006,1700270,1720117,1780271,1820271,1830271,1840270,1870271,1880271,1950271,1970711,1980711
湖北,移动,1340272,1350712,1360712,1370712,1380071,1390710,1470272,1488065,1500272,1510272,1520272,1570722,1580272,1590272,1650007,1700271,1721332,1780272,1820272,1830272,1840271,1870272,1880272,1950272,1970712,1980712
湖北,移动,1340273,1350713,1360713,1370713,1380072,1390711,1470273,1488305,1500273,1510273,1520273,1570723,1580273,1590273,1650015,1700272,1721333,1780273,1820273,1830273,1840272,1870273,1880273,1950273,1970713,1980713
湖北,移动,1340274,1350714,1360714,1370714,1380074,1390712,1470274,1488306,1500274,1510274,1520274,1570724,1580274,1590274,1650560,1700273,1721334,1780274,1820274,1830274,1840273,1870274,1880274,1950274,1970714,1980714
湖北,移动,1340275,1350715,1360715,1370715,1380710,1390713,1470275,1488307,1500275,1510275,1520275,1570725,1580275,1590275,1650708,1700274,1721335,1780275,1820275,1830275,1840274,1870275,1880275,1950275,1970715,1980715
湖北,移动,1340276,1350716,1360716,1370716,1380711,1390714,1470276,1488308,1500276,1510276,1520276,1570726,1580276,1590276,1650709,1700275,1721336,1780276,1820276,1830276,1840275,1870276,1880276,1950276,1970716,1980716
湖北,移动,1340277,1350717,1360717,1370717,1380712,1390715,1470277,1488309,1500277,1510277,1520277,1570727,1580277,1590277,1650710,1700276,1724500,1780277,1820277,1830277,1840276,1870277,1880277,1950277,1970717,1980717
湖北,移动,1340278,1350718,1360718,1370718,1380713,1390716,1470278,,1500278,1510278,1520278,1570728,1580278,1590278,1650712,1700277,1724501,1780278,1820278,1830278,1840277,1870278,1880278,1950278,1970718,1980718
湖北,移动,1340279,1350719,1360719,1370719,1380714,1390717,1470279,,1500279,1510279,1520279,1570729,1580279,1590279,1650713,1700278,1724502,1780279,1820279,1830279,1840278,1870279,1880279,1950279,1970719,1980719
湖北,移动,1340300,1350720,1360720,1370720,1380715,1390718,1470710,,1500710,1510710,1520710,1571710,1580710,1590710,1650714,1700279,1724503,1780710,1820710,1830710,1840279,1870710,1880710,1950710,1970722,1980720
湖北,移动,1340301,1350721,1360721,1370721,1380716,1390719,1470711,,1500711,1510711,1520711,1571711,1580711,1590711,1650715,1700341,1724504,1780711,1820711,1830711,1840710,1870711,1880711,1950711,1970724,1980721
湖北,移动,1340302,1350722,1360722,1370722,1380717,1390720,1470712,,1500712,1510712,1520712,1571712,1580712,1590712,1650716,1700710,1724505,1780712,1820712,1830712,1840711,1870712,1880712,1950712,1971027,1980722
湖北,移动,1340303,1350723,1360723,1370723,1380718,1390721,1470713,,1500713,1510713,1520713,1571713,1580713,1590713,1650717,1700711,1724506,1780713,1820713,1830713,1840712,1870713,1880713,1950713,1971071,1980723
湖北,移动,1340304,1350724,1360724,1370724,1380719,1390722,1470714,,1500714,1510714,1520714,1571714,1580714,1590714,1650718,1700712,1724507,1780714,1820714,1830714,1840713,1870714,1880714,1950714,1971072,1980724
湖北,移动,1340305,1350725,1360725,1370725,1380720,1390723,1470715,,1500715,1510715,1520715,1571715,1580715,1590715,1650719,1700713,1726172,1780715,1820715,1830715,1840714,1870715,1880715,1950715,1971722,1980725
湖北,移动,1340306,1350726,1360726,1370726,1380721,1390724,1470716,,1500716,1510716,1520716,1571716,1580716,1590716,1650724,1700714,1726173,1780716,1820716,1830716,1840715,1870716,1880716,1950716,1971724,1980726
湖北,移动,1340307,1350727,1360727,1370727,1380722,1390725,1470717,,1500717,1510717,1520717,1571717,1580717,1590717,1650728,1700715,1726174,1780717,1820717,1830717,1840716,1870717,1880717,1950717,1971777,1980727
湖北,移动,1340308,1350728,1360728,1370728,1380723,1390726,1470718,,1500718,1510718,1520718,1571718,1580718,1590718,1650848,1700716,1726175,1780718,1820718,1830718,1840717,1870718,1880718,1950718,1971778,1980728
湖北,移动,1340309,1350729,1360729,1370729,1380724,1390727,1470719,,1500719,1510719,1520719,1571719,1580719,1590719,1650880,1700717,1726176,1780719,1820719,1830719,1840718,1870719,1880719,1950719,1971779,1980729
湖北,移动,1340710,1350860,1361710,1372010,1380725,1390728,1470720,,1500720,1510720,1520720,1571720,1580720,1590720,1650885,1700718,1726177,1780720,1820720,1830720,1840719,1870720,1880720,1950720,1971999,1981372
湖北,移动,1340711,1350861,1361711,1372011,1380726,1390729,1470721,,1500721,1510721,1520721,1571721,1580721,1590721,1650889,1700719,1726178,1780721,1820721,1830721,1840720,1870721,1880721,1950721,1972000,1981373
湖北,移动,1340712,1350862,1361712,1372012,1380727,1390860,1470722,,1500722,1510722,1520722,1571722,1580722,1590722,1651027,1700746,1726179,1780722,1820722,1830722,1840721,1870722,1880722,1950722,1972001,1981374
湖北,移动,1340713,1350863,1361713,1372013,1380728,1390861,1470723,,1500723,1510723,1520723,1571723,1580723,1590723,1651140,1700747,1726180,1780723,1820723,1830723,1840722,1870723,1880723,1950723,1972002,1981375
湖北,移动,1340714,1350864,1361714,1372014,1380729,1390862,1470724,,1500724,1510724,1520724,1571724,1580724,1590724,1651153,1700748,1726181,1780724,1820724,1830724,1840723,1870724,1880724,1950724,1972003,1981376
湖北,移动,1340715,1350865,1361715,1372015,1380860,1390863,1470725,,1500725,1510725,1520725,1571725,1580725,1590725,1651165,1700749,1726182,1780725,1820725,1830725,1840724,1870725,1880725,1950725,1972004,1981377
湖北,移动,1340716,1350866,1361716,1372016,1380861,1390864,1470726,,1500726,1510726,1520726,1571726,1580726,1590726,1651352,1701040,1726183,1780726,1820726,1830726,1840725,1870726,1880726,1950726,1972005,1981378
湖北,移动,1340717,1350867,1361717,1372017,1380862,1390865,1470727,,1500727,1510727,1520727,1571727,1580727,1590727,1651710,1701041,1726184,1780727,1820727,1830727,1840726,1870727,1880727,1950727,1972006,1981379
湖北,移动,1340718,1350868,1361718,1372018,1380863,1390866,1470728,,1500728,1510728,1520728,1571728,1580728,1590728,1651711,1701042,1728200,1780728,1820728,1830728,1840727,1870728,1880728,1950728,1972007,1981380
湖北,移动,1340719,1350869,1361719,1372019,1380864,1390867,1470729,,1500729,1510729,1520729,1571729,1580729,1590729,1651714,1701043,1728201,1780729,1820729,1830729,1840728,1870729,1880729,1950729,1972008,1981381
湖北,移动,1340720,1351710,1361720,1372020,1380865,1390868,1476558,,1502700,1517100,1527100,1571780,1582650,1590860,1651715,1701044,1728202,1784780,1827100,1831470,1840729,1871710,1880860,1952111,1972009,1981382
湖北,移动,1340721,1351711,1361721,1372021,1380866,1390869,1476559,,1502701,1517101,1527101,1571781,1582651,1590861,1651716,1701045,1728203,1784781,1827101,1831471,1842700,1871711,1880861,1952291,1972027,1981383
湖北,移动,1340722,1351712,1361722,1372022,1380867,1397100,1476560,,1502702,1517102,1527102,1571782,1582652,1590862,1651719,1701510,1728204,1784782,1827102,1831472,1842701,1871712,1880862,1952292,1972071,1981384
湖北,移动,1340723,1351713,1361723,1372023,1380868,1397101,1476561,,1502703,1517103,1527103,1571783,1582653,1590863,1651724,1701511,1728205,1784783,1827103,1831473,1842702,1871713,1880863,1952293,1972072,1984160
湖北,移动,1340724,1351714,1361724,1372024,1380869,1397102,1476563,,1502704,1517104,1527104,1571784,1582654,1590864,1651725,1701512,1728206,1784784,1827104,1831474,1842703,1871714,1880864,1952294,1972080,1984161
