省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
湖北,联通,1300008,1310060,1320710,1452700,1550270,1560710,1660270,1670027,1710150,1750270,1760270,1850270,1860270,1960270
湖北,联通,1300061,1310061,1320711,1452701,1550271,1560711,1660271,1670132,1710151,1750271,1760271,1850271,1860271,1960271
湖北,联通,1300071,1310062,1320712,1452702,1550272,1560712,1660272,1670137,1710152,1750272,1760272,1850272,1860272,1960272
湖北,联通,1300610,1310063,1320713,1452703,1550273,1560713,1660273,1670140,1710153,1750273,1760273,1850273,1860273,1960273
湖北,联通,1300611,1310064,1320714,1452704,1550274,1560714,1660274,1670142,1710154,1750274,1760274,1850274,1860274,1960274
湖北,联通,1300612,1310065,1320715,1452705,1550275,1560715,1660275,1670143,1710155,1750275,1760275,1850275,1860275,1960275
湖北,联通,1300613,1310066,1320716,1452706,1550276,1560716,1660276,1670198,1710156,1750276,1760276,1850276,1860276,1960276
湖北,联通,1300614,1310067,1320717,1452707,1550277,1560717,1660277,1670272,1710157,1750277,1760277,1850277,1860277,1960277
湖北,联通,1300615,1310068,1320718,1452708,1550278,1560718,1660278,1670275,1710158,1750278,1760278,1850278,1860278,1960278
湖北,联通,1300616,1310069,1320719,1452709,1550279,1560719,1660279,1670276,1710159,1750279,1760279,1850279,1860279,1960279
湖北,联通,1300617,1310070,1320720,1452710,1550710,1560720,1660710,1670277,1710780,1750710,1760710,1850710,1860710,1960710
湖北,联通,1300618,1310071,1320721,1452711,1550711,1560721,1660711,1670486,1710781,1750711,1760711,1850711,1860711,1960711
湖北,联通,1300619,1310072,1320722,1452712,1550712,1560722,1660712,1670710,1710782,1750712,1760712,1850712,1860712,1960712
湖北,联通,1300630,1310073,1320723,1452713,1550713,1560723,1660713,1670711,1710783,1750713,1760713,1850713,1860713,1960713
湖北,联通,1300631,1310074,1320724,1452714,1550714,1560724,1660714,1670712,1710784,1750714,1760714,1850714,1860714,1960714
湖北,联通,1300632,1310075,1320725,1452715,1550715,1560725,1660715,1670713,1710785,1750715,1760715,1850715,1860715,1960715
湖北,联通,1300633,1310076,1320726,1452716,1550716,1560726,1660716,1670714,1710786,1750716,1760716,1850716,1860716,1960716
湖北,联通,1300634,1310077,1320727,1452717,1550717,1560727,1660717,1670715,1710787,1750717,1760717,1850717,1860717,1960717
湖北,联通,1300635,1310078,1320728,1452718,1550718,1560728,1660718,1670716,1710788,1750718,1760718,1850718,1860718,1960718
湖北,联通,1300636,1310079,1320729,1452719,1550719,1560729,1660719,1670717,1710789,1750719,1760719,1850719,1860719,1960719
湖北,联通,1300637,1311430,1321270,1452720,1550720,1560860,1660720,1670718,1710790,1750720,1760720,1850720,1860720,1960720
湖北,联通,1300638,1311431,1321271,1452721,1550721,1560861,1660721,1670719,1710791,1750721,1760721,1850721,1860721,1960721
湖北,联通,1300639,1311432,1321272,1452722,1550722,1560862,1660722,1670722,1710792,1750722,1760722,1850722,1860722,1960722
湖北,联通,1300710,1311433,1321273,1452723,1550723,1560863,1660723,1670724,1710793,1750723,1760723,1850723,1860723,1960723
湖北,联通,1300711,1311434,1321274,1452724,1550724,1560864,1660724,1670728,1710794,1750724,1760724,1850724,1860724,1960724
湖北,联通,1300712,1311435,1321275,1452725,1550725,1560865,1660725,1671710,1710795,1750725,1760725,1850725,1860725,1960725
湖北,联通,1300713,1311436,1321276,1452726,1550726,1560866,1660726,1671711,1710796,1750726,1760726,1850726,1860726,1960726
湖北,联通,1300714,1311437,1321277,1452727,1550727,1560867,1660727,1671712,1710797,1750727,1760727,1850727,1860727,1960727
湖北,联通,1300715,1311438,1321278,1452728,1550728,1560868,1660728,1671713,1710798,1750728,1760728,1850728,1860728,1960728
湖北,联通,1300716,1311439,1321279,1452729,1550729,1560869,1660729,1671714,1710799,1750729,1760729,1850729,1860729,1960729
湖北,联通,1300717,1311440,1321710,1453700,1552700,1562300,1660860,1671715,1710800,1750860,1760860,1850860,1860860,1961270
湖北,联通,1300718,1311441,1321711,1453701,1552701,1562301,1660861,1671716,1710801,1750861,1760861,1850861,1860861,1961271
湖北,联通,1300719,1311442,1321712,1453702,1552702,1562302,1660862,1671717,1710802,1750862,1760862,1850862,1860862,1961272
湖北,联通,1301071,1311443,1321713,1453703,1552703,1562303,1660863,1671718,1710803,1750863,1760863,1850863,1860863,1961273
湖北,联通,1301077,1311444,1321714,1453704,1552704,1562304,1660864,1671719,1710804,1750864,1760864,1850864,1860864,1961274
湖北,联通,1301640,1311445,1321715,1453705,1552705,1562305,1660865,1671720,1710805,1750865,1760865,1850865,1860865,1961275
湖北,联通,1301641,1311446,1321716,1453706,1552706,1562306,1660866,1671721,1710806,1750866,1760866,1850866,1860866,1961276
