省份,运营商,192 号段
湖南,广电,1920730
湖南,广电,1920731
湖南,广电,1920732
湖南,广电,1920733
湖南,广电,1920734
湖南,广电,1920735
湖南,广电,1920736
湖南,广电,1920737
湖南,广电,1920738
湖南,广电,1920739
湖南,广电,1920740
湖南,广电,1920741
湖南,广电,1920742
湖南,广电,1920743
湖南,广电,1920744
湖南,广电,1920745
湖南,广电,1920746
湖南,广电,1920747
湖南,广电,1920748
湖南,广电,1920749
湖南,广电,1920920
湖南,广电,1920921
湖南,广电,1920922
湖南,广电,1920923
湖南,广电,1920924
湖南,广电,1920925
湖南,广电,1920926
湖南,广电,1920927
湖南,广电,1920928
湖南,广电,1920929
湖南,广电,1920960
湖南,广电,1920961
湖南,广电,1920962
湖南,广电,1920963
湖南,广电,1920964
湖南,广电,1920965
湖南,广电,1920966
湖南,广电,1920967
湖南,广电,1920968
湖南,广电,1920969
湖南,广电,1921650
湖南,广电,1921651
湖南,广电,1921652
湖南,广电,1921653
湖南,广电,1921654
湖南,广电,1921655
湖南,广电,1921656
湖南,广电,1921657
湖南,广电,1921658
湖南,广电,1921659
湖南,广电,1921730
湖南,广电,1921731
湖南,广电,1921732
湖南,广电,1921733
湖南,广电,1921734
湖南,广电,1921735
湖南,广电,1921736
湖南,广电,1921737
湖南,广电,1921738
湖南,广电,1921739
湖南,广电,1921740
湖南,广电,1921741
湖南,广电,1921742
湖南,广电,1921743
湖南,广电,1921744
湖南,广电,1921745
湖南,广电,1921746
湖南,广电,1921747
湖南,广电,1921748
湖南,广电,1921749
湖南,广电,1921960
湖南,广电,1921961
湖南,广电,1921962
湖南,广电,1921963
湖南,广电,1921964
湖南,广电,1921965
湖南,广电,1921966
湖南,广电,1921967
湖南,广电,1921968
湖南,广电,1921969
湖南,广电,1922307
湖南,广电,1922337
湖南,广电,1922426
湖南,广电,1922458
湖南,广电,1922470
湖南,广电,1922482
湖南,广电,1922550
湖南,广电,1922551
湖南,广电,1922552
湖南,广电,1923730
湖南,广电,1923731
湖南,广电,1923732
湖南,广电,1923733
湖南,广电,1923734
湖南,广电,1923735
湖南,广电,1923736
湖南,广电,1923737
湖南,广电,1923738
湖南,广电,1923739
湖南,广电,1923740
湖南,广电,1923741
