省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
湖南,电信,1330730,1530730,1621730,1730070,1770020,1800730,1810073,1890070,1900260,1910070,1930730,1990730
湖南,电信,1330731,1530731,1621731,1730071,1770021,1800731,1810074,1890071,1900261,1910071,1930731,1990731
湖南,电信,1330732,1530732,1621732,1730072,1770022,1800732,1810075,1890072,1900262,1910072,1930732,1990732
湖南,电信,1330733,1530733,1621733,1730073,1770023,1800733,1810730,1890073,1900263,1910073,1930733,1990733
湖南,电信,1330734,1530734,1621734,1730074,1770024,1800734,1810731,1890074,1900264,1910074,1930734,1990734
湖南,电信,1330735,1530735,1621735,1730075,1770025,1800735,1810732,1890075,1900265,1910075,1930735,1990735
湖南,电信,1330736,1530736,1621736,1730076,1770026,1800736,1810733,1890076,1900266,1910076,1930736,1990736
湖南,电信,1330737,1530737,1621737,1730077,1770027,1800737,1810734,1890077,1900267,1910077,1930737,1990737
湖南,电信,1330738,1530738,1621738,1730078,1770028,1800738,1810735,1890078,1900268,1910078,1930738,1990738
湖南,电信,1330739,1530739,1621739,1730079,1770029,1800739,1810736,1890079,1900269,1910079,1930739,1990739
湖南,电信,1330740,1530740,1622730,1730730,1770050,1800740,1810737,1890730,1900730,1910600,1930740,1990740
湖南,电信,1330741,1530741,1622731,1730731,1770051,1800741,1810738,1890731,1900731,1910601,1930741,1990741
湖南,电信,1330742,1530742,1622732,1730732,1770052,1800742,1810739,1890732,1900732,1910602,1930742,1990742
湖南,电信,1330743,1530743,1622733,1730733,1770053,1800743,1810740,1890733,1900733,1910603,1930743,1990743
湖南,电信,1330744,1530744,1622734,1730734,1770054,1800744,1810741,1890734,1900734,1910604,1930744,1990744
湖南,电信,1330745,1530745,1622735,1730735,1770055,1800745,1810742,1890735,1900735,1910605,1930745,1990745
湖南,电信,1330746,1530746,1622736,1730736,1770056,1800746,1810743,1890736,1900736,1910606,1930746,1990746
湖南,电信,1330747,1530747,1622737,1730737,1770057,1800747,1810744,1890737,1900737,1910607,1930747,1990747
湖南,电信,1330748,1530748,1622738,1730738,1770058,1800748,1810745,1890738,1900738,1910608,1930748,1990748
湖南,电信,1330749,1530749,1622739,1730739,1770059,1800749,1810746,1890739,1900739,1910609,1930749,1990749
湖南,电信,1330840,1530840,1627300,1730740,1770070,1800840,1810747,1890740,1900740,1910730,1930840,1990840
湖南,电信,1330841,1530841,1627301,1730741,1770071,1800841,1810748,1890741,1900741,1910731,1930841,1990841
湖南,电信,1330842,1530842,1627302,1730742,1770072,1800842,1810749,1890742,1900742,1910732,1930842,1990842
湖南,电信,1330843,1530843,1627303,1730743,1770073,1800843,1810840,1890743,1900743,1910733,1930843,1990843
湖南,电信,1330844,1530844,1627304,1730744,1770074,1800844,1810841,1890744,1900744,1910734,1930844,1990844
湖南,电信,1330845,1530845,1627305,1730745,1770075,1800845,1810842,1890745,1900745,1910735,1930845,1990845
湖南,电信,1330846,1530846,1627306,1730746,1770076,1800846,1810843,1890746,1900746,1910736,1930846,1990846
湖南,电信,1330847,1530847,1627307,1730747,1770077,1800847,1810844,1890747,1900747,1910737,1930847,1990847
湖南,电信,1330848,1530848,1627308,1730748,1770078,1800848,1810845,1890748,1900748,1910738,1930848,1990848
湖南,电信,1330849,1530849,1627309,1730749,1770079,1800849,1810846,1890749,1900749,1910739,1930849,1990849
湖南,电信,1331730,1533783,1627310,1730840,1770730,1807300,1810847,1890840,1901500,1910740,1931000,1991130
湖南,电信,1331731,1533787,1627311,1730841,1770731,1807301,1810848,1890841,1901501,1910741,1931001,1991131
湖南,电信,1331732,1534166,1627312,1730842,1770732,1807302,1810849,1890842,1901502,1910742,1931002,1991132
湖南,电信,1331733,1534300,1627313,1730843,1770733,1807303,1814260,1890843,1901503,1910743,1931003,1991133
湖南,电信,1331734,1534301,1627314,1730844,1770734,1807304,1814261,1890844,1901504,1910744,1931004,1991134
湖南,电信,1331735,1534302,1627315,1730845,1770735,1807305,1814262,1890845,1901505,1910745,1931005,1991135
湖南,电信,1331736,1534303,1627316,1730846,1770736,1807306,1814263,1890846,1901506,1910746,1931006,1991136
湖南,电信,1331737,1534304,1627317,1730847,1770737,1807307,1814264,1890847,1901507,1910747,1931007,1991137
湖南,电信,1331738,1534305,1627318,1730848,1770738,1807308,1814265,1890848,1901508,1910748,1931008,1991138
湖南,电信,1331739,1534306,1627319,1730849,1770739,1807309,1814266,1890849,1901509,1910749,1931009,1991139
