省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
湖南,移动,1340730,1350730,1360730,1370730,1380073,1390073,1470730,1480555,1500730,1510730,1520020,1570070,1580250,1590730,1650066,1700720,1720730,1780730,1820730,1830730,1840005,1870730,1880730,1950730,1970730,1980730
湖南,移动,1340731,1350731,1360731,1370731,1380730,1390074,1470731,1480556,1500731,1510731,1520021,1570071,1580251,1590731,1650145,1700721,1720731,1780731,1820731,1830731,1840730,1870731,1880731,1950731,1970731,1980731
湖南,移动,1340732,1350732,1360732,1370732,1380731,1390084,1470732,1480557,1500732,1510732,1520022,1570072,1580252,1590732,1650583,1700722,1720732,1780732,1820732,1830732,1840731,1870732,1880732,1950732,1970734,1980732
湖南,移动,1340733,1350733,1360733,1370733,1380732,1390730,1470733,1480558,1500733,1510733,1520023,1570073,1580253,1590733,1650585,1700723,1720733,1780733,1820733,1830733,1840732,1870733,1880733,1950733,1970735,1980733
湖南,移动,1340734,1350734,1360734,1370734,1380733,1390731,1470734,1480559,1500734,1510734,1520024,1570074,1580254,1590734,1650586,1700730,1720734,1780734,1820734,1830734,1840733,1870734,1880734,1950734,1970736,1980734
湖南,移动,1340735,1350735,1360735,1370735,1380734,1390732,1470735,1480560,1500735,1510735,1520025,1570075,1580255,1590735,1650587,1700731,1720735,1780735,1820735,1830735,1840734,1870735,1880735,1950735,1970737,1980735
湖南,移动,1340736,1350736,1360736,1370736,1380735,1390733,1470736,1480561,1500736,1510736,1520026,1570076,1580256,1590736,1650589,1700732,1720736,1780736,1820736,1830736,1840735,1870736,1880736,1950736,1970738,1980736
湖南,移动,1340737,1350737,1360737,1370737,1380736,1390734,1470737,1480562,1500737,1510737,1520027,1570077,1580257,1590737,1650611,1700733,1720737,1780737,1820737,1830737,1840736,1870737,1880737,1950737,1970739,1980737
湖南,移动,1340738,1350738,1360738,1370738,1380737,1390735,1470738,1480563,1500738,1510738,1520028,1570078,1580258,1590738,1650645,1700734,1720738,1780738,1820738,1830738,1840737,1870738,1880738,1950738,1970743,1980738
湖南,移动,1340739,1350739,1360739,1370739,1380738,1390736,1470739,1480564,1500739,1510739,1520029,1570079,1580259,1590739,1650730,1700735,1720739,1780739,1820739,1830739,1840738,1870739,1880739,1950739,1970744,1980739
