省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
湖南,联通,1300730,1310020,1320300,1452730,1550250,1560730,1660730,1670041,1710830,1750730,1760730,1850730,1860730,1960730
湖南,联通,1300731,1310021,1320301,1452731,1550251,1560731,1660731,1670120,1710831,1750731,1760731,1850731,1860731,1960731
湖南,联通,1300732,1310022,1320302,1452732,1550252,1560732,1660732,1670146,1710832,1750732,1760732,1850732,1860732,1960732
湖南,联通,1300733,1310023,1320303,1452733,1550253,1560733,1660733,1670147,1710833,1750733,1760733,1850733,1860733,1960733
湖南,联通,1300734,1310024,1320304,1452734,1550254,1560734,1660734,1670268,1710834,1750734,1760734,1850734,1860734,1960734
湖南,联通,1300735,1310025,1320305,1452735,1550255,1560735,1660735,1670340,1710835,1750735,1760735,1850735,1860735,1960735
湖南,联通,1300736,1310026,1320306,1452736,1550256,1560736,1660736,1670730,1710836,1750736,1760736,1850736,1860736,1960736
湖南,联通,1300737,1310027,1320307,1452737,1550257,1560737,1660737,1670731,1710837,1750737,1760737,1850737,1860737,1960737
湖南,联通,1300738,1310028,1320308,1452738,1550258,1560738,1660738,1670734,1710838,1750738,1760738,1850738,1860738,1960738
湖南,联通,1300739,1310029,1320309,1452739,1550259,1560739,1660739,1670735,1710839,1750739,1760739,1850739,1860739,1960739
湖南,联通,1300740,1310030,1320310,1452740,1550730,1560740,1660740,1670736,1710840,1750740,1760740,1850740,1860740,1960740
湖南,联通,1300741,1310031,1320311,1452741,1550731,1560741,1660741,1670737,1710841,1750741,1760741,1850741,1860741,1960741
湖南,联通,1300742,1310032,1320312,1452742,1550732,1560742,1660742,1670738,1710842,1750742,1760742,1850742,1860742,1960742
湖南,联通,1300743,1310033,1320313,1452743,1550733,1560743,1660743,1670739,1710843,1750743,1760743,1850743,1860743,1960743
湖南,联通,1300744,1310034,1320314,1452744,1550734,1560744,1660744,1670743,1710844,1750744,1760744,1850744,1860744,1960744
