省份,运营商,192 号段
甘肃,广电,1920940
甘肃,广电,1920941
甘肃,广电,1920942
甘肃,广电,1920943
甘肃,广电,1920944
甘肃,广电,1920945
甘肃,广电,1920946
甘肃,广电,1920947
甘肃,广电,1920948
甘肃,广电,1920949
甘肃,广电,1921930
甘肃,广电,1921931
甘肃,广电,1921932
甘肃,广电,1921933
甘肃,广电,1921934
甘肃,广电,1921935
甘肃,广电,1921936
甘肃,广电,1921937
甘肃,广电,1921938
甘肃,广电,1921939
甘肃,广电,1922309
甘肃,广电,1922409
甘肃,广电,1922930
甘肃,广电,1922931
甘肃,广电,1922932
甘肃,广电,1922933
甘肃,广电,1922934
甘肃,广电,1922935
甘肃,广电,1922936
甘肃,广电,1922937
甘肃,广电,1922938
甘肃,广电,1922939
甘肃,广电,1923940
甘肃,广电,1923941
甘肃,广电,1923942
甘肃,广电,1923943
甘肃,广电,1923944
甘肃,广电,1923945
甘肃,广电,1923946
甘肃,广电,1923947
甘肃,广电,1923948
甘肃,广电,1923949
甘肃,广电,1924840
甘肃,广电,1924841
甘肃,广电,1924842
甘肃,广电,1924843
甘肃,广电,1924844
甘肃,广电,1924845
甘肃,广电,1924846
甘肃,广电,1924847
甘肃,广电,1924848
甘肃,广电,1924849
甘肃,广电,1924930
甘肃,广电,1924931
甘肃,广电,1924932
甘肃,广电,1924933
甘肃,广电,1924934
甘肃,广电,1924935
甘肃,广电,1924936
甘肃,广电,1924937
甘肃,广电,1924938
甘肃,广电,1924939
甘肃,广电,1924940
甘肃,广电,1924941
甘肃,广电,1924942
甘肃,广电,1924943
甘肃,广电,1924944
甘肃,广电,1924945
甘肃,广电,1924946
甘肃,广电,1924947
甘肃,广电,1924948
甘肃,广电,1924949
甘肃,广电,1925940
甘肃,广电,1925941
甘肃,广电,1925942
甘肃,广电,1925943
甘肃,广电,1925944
甘肃,广电,1925945
甘肃,广电,1925946
甘肃,广电,1925947
甘肃,广电,1925948
甘肃,广电,1925949
甘肃,广电,1926930
甘肃,广电,1926931
甘肃,广电,1926932
甘肃,广电,1926933
甘肃,广电,1926934
甘肃,广电,1926935
甘肃,广电,1926936
甘肃,广电,1926937
甘肃,广电,1926938
甘肃,广电,1926939
甘肃,广电,1926940
甘肃,广电,1926941
甘肃,广电,1926942
甘肃,广电,1926943
甘肃,广电,1926944
甘肃,广电,1926945
甘肃,广电,1926946
甘肃,广电,1926947
甘肃,广电,1926948
甘肃,广电,1926949
甘肃,广电,1927930
甘肃,广电,1927931
甘肃,广电,1927932
甘肃,广电,1927933
甘肃,广电,1927934
甘肃,广电,1927935
甘肃,广电,1927936
甘肃,广电,1927937
甘肃,广电,1927938
甘肃,广电,1927939
甘肃,广电,1928920
甘肃,广电,1928921
甘肃,广电,1928922
甘肃,广电,1928923
甘肃,广电,1928924
甘肃,广电,1928925
甘肃,广电,1928926
甘肃,广电,1928927
甘肃,广电,1928928
甘肃,广电,1928929
甘肃,广电,1928960
甘肃,广电,1928961
甘肃,广电,1928962
甘肃,广电,1928963
甘肃,广电,1928964
甘肃,广电,1928965
甘肃,广电,1928966
甘肃,广电,1928967
甘肃,广电,1928968
甘肃,广电,1928969
甘肃,广电,1929940
甘肃,广电,1929941
甘肃,广电,1929942
甘肃,广电,1929943
甘肃,广电,1929944
甘肃,广电,1929945
甘肃,广电,1929946
甘肃,广电,1929947
甘肃,广电,1929948
甘肃,广电,1929949
