省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
甘肃,电信,1330930,1530930,1621930,1730930,1770440,1800930,1810093,1890930,1900930,1910081,1930080,1990930
甘肃,电信,1330931,1530931,1621931,1730931,1770441,1800931,1810094,1890931,1900931,1910082,1930081,1990931
甘肃,电信,1330932,1530932,1621932,1730932,1770442,1800932,1810930,1890932,1900932,1910083,1930082,1990932
甘肃,电信,1330933,1530933,1621933,1730933,1770443,1800933,1810931,1890933,1900933,1910086,1930083,1990933
甘肃,电信,1330934,1530934,1621934,1730934,1770444,1800934,1810932,1890934,1900934,1910087,1930084,1990934
甘肃,电信,1330935,1530935,1621935,1730935,1770445,1800935,1810933,1890935,1900935,1910088,1930085,1990935
甘肃,电信,1330936,1530936,1621936,1730936,1770446,1800936,1810934,1890936,1900936,1910930,1930086,1990936
甘肃,电信,1330937,1530937,1621937,1730937,1770447,1800937,1810935,1890937,1900937,1910931,1930087,1990937
甘肃,电信,1330938,1530938,1621938,1730938,1770448,1800938,1810936,1890938,1900938,1910932,1930088,1990938
甘肃,电信,1330939,1530939,1621939,1730939,1770449,1800939,1810937,1890939,1900939,1910933,1930089,1990939
甘肃,电信,1330940,1530940,1622930,1730940,1770930,1800940,1810938,1890940,1900940,1910934,1930930,1990940
甘肃,电信,1330941,1530941,1622931,1730941,1770931,1800941,1810939,1890941,1900941,1910935,1930931,1990941
甘肃,电信,1330942,1530942,1622932,1730942,1770932,1800942,1810940,1890942,1900942,1910936,1930932,1990942
甘肃,电信,1330943,1530943,1622933,1730943,1770933,1800943,1810941,1890943,1900943,1910937,1930933,1990943
甘肃,电信,1330944,1530944,1622934,1730944,1770934,1800944,1810942,1890944,1900944,1910938,1930934,1990944
甘肃,电信,1330945,1530945,1622935,1730945,1770935,1800945,1810943,1890945,1900945,1910939,1930935,1990945
甘肃,电信,1330946,1530946,1622936,1730946,1770936,1800946,1810944,1890946,1900946,1910940,1930936,1990946
甘肃,电信,1330947,1530947,1622937,1730947,1770937,1800947,1810945,1890947,1900947,1910941,1930937,1990947
甘肃,电信,1330948,1530948,1622938,1730948,1770938,1800948,1810946,1890948,1900948,1910942,1930938,1990948
甘肃,电信,1330949,1530949,1622939,1730949,1770939,1800949,1810947,1890949,1900949,1910943,1930939,1990949
甘肃,电信,1332120,1533600,1622960,1731870,1770940,1803460,1810948,1891900,1902920,1910944,1930940,1991390
甘肃,电信,1332121,1533601,1622961,1731871,1770941,1803461,1810949,1891901,1902921,1910945,1930941,1991391
甘肃,电信,1332122,1533602,1622962,1731872,1770942,1803462,1811930,1891902,1902922,1910946,1930942,1991392
甘肃,电信,1332123,1533603,1622963,1731873,1770943,1803463,1811931,1891903,1902923,1910947,1930943,1991393
甘肃,电信,1332124,1533604,1622964,1731874,1770944,1803464,1811932,1891904,1902924,1910948,1930944,1991394
甘肃,电信,1332125,1533605,1622965,1731875,1770945,1803465,1811933,1891905,1902925,1910949,1930945,1991395
甘肃,电信,1332126,1533606,1622966,1731876,1770946,1803466,1811934,1891906,1902926,1911930,1930946,1991396
甘肃,电信,1332127,1533607,1622967,1731877,1770947,1803467,1811935,1891907,1902927,1911931,1930947,1991397
甘肃,电信,1332128,1533608,1622968,1731878,1770948,1803468,1811936,1891908,1902928,1911932,1930948,1991398
甘肃,电信,1332129,1533609,1622969,1731879,1770949,1803469,1811937,1891909,1902929,1911933,1930949,1991399
甘肃,电信,1332130,1533700,1626721,1732500,1771860,1805410,1811938,1891910,1902930,1911934,1931260,1994410
甘肃,电信,1332131,1533701,1626722,1732501,1771861,1805411,1811939,1891911,1902931,1911935,1931261,1994411
甘肃,电信,1332132,1533702,1626723,1732502,1771862,1805412,1811940,1891912,1902932,1911936,1931262,1994412
甘肃,电信,1332133,1533703,1626724,1732503,1771863,1805413,1811941,1891913,1902933,1911937,1931263,1994413
甘肃,电信,1332134,1533704,1626725,1732504,1771864,1805414,1811942,1891914,1902934,1911938,1931264,1994414
甘肃,电信,1332135,1533705,1626726,1732505,1771865,1805415,1811943,1891915,1902935,1911939,1931265,1994415
甘肃,电信,1332136,1533706,1626727,1732506,1771866,1805416,1811944,1891916,1902936,1911940,1931266,1994416
甘肃,电信,1332137,1533707,1626728,1732507,1771867,1805417,1811945,1891917,1902937,1911941,1931267,1994417
甘肃,电信,1332138,1533708,1626729,1732508,1771868,1805418,1811946,1891918,1902938,1911942,1931268,1994418
甘肃,电信,1332139,1533709,1626730,1732509,1771869,1805419,1811947,1891919,1902939,1911943,1931269,1994419
甘肃,电信,1335930,1533794,1626731,1732510,1771870,1808240,1811948,1891920,1902940,1911944,1931270,1994420
甘肃,电信,1335931,1533799,1626732,1732511,1771871,1808241,1811949,1891921,1902941,1911945,1931271,1994421
甘肃,电信,1335932,1533930,1626733,1732512,1771872,1808242,1813970,1891922,1902942,1911946,1931272,1994422
甘肃,电信,1335933,1533931,1626734,1732513,1771873,1808243,1813971,1891923,1902943,1911947,1931273,1994423
甘肃,电信,1335934,1533932,1626735,1732514,1771874,1808244,1813972,1891924,1902944,1911948,1931274,1994424
甘肃,电信,1335935,1533933,1626736,1732515,1771875,1808245,1813973,1891925,1902945,1911949,1931275,1994425
甘肃,电信,1335936,1533934,1626737,1732516,1771876,1808246,1813974,1891926,1902946,1911950,1931276,1994426
甘肃,电信,1335937,1533935,1626738,1732517,1771877,1808247,1813975,1891927,1902947,1911951,1931277,1994427
甘肃,电信,1335938,1533936,1626739,1732518,1771878,1808248,1813976,1891928,1902948,1911952,1931278,1994428
甘肃,电信,1335939,1533937,1628920,1732519,1771879,1808249,1813977,1891929,1902949,1911953,1931279,1994429
甘肃,电信,1335940,1533938,1628921,1732630,1772690,1808930,1813978,1891930,1903930,1911954,1931280,1995840
甘肃,电信,1335941,1533939,1628923,1732631,1772691,1808931,1813979,1891931,1903931,1911955,1931281,1995841
甘肃,电信,1335942,1533940,1628924,1732632,1772692,1808932,1813980,1891932,1903932,1911956,1931282,1995842
甘肃,电信,1335943,1533941,1628925,1732633,1772693,1808933,1813981,1891933,1903933,1911957,1931283,1995843
甘肃,电信,1335944,1533942,1628926,1732634,1772694,1808934,1813982,1891934,1903934,1911958,1931284,1995844
甘肃,电信,1335945,1533943,1628927,1732635,1772695,1808935,1813983,1891935,1903935,1911959,1931285,1995845
甘肃,电信,1335946,1533944,1628928,1732636,1772696,1808936,1813984,1891936,1903936,1911960,1931286,1995846
甘肃,电信,1335947,1533945,1628929,1732637,1772697,1808937,1813985,1891937,1903937,1911961,1931287,1995847
甘肃,电信,1335948,1533946,1628930,1732638,1772698,1808938,1813986,1891938,1903938,1911962,1931288,1995848
甘肃,电信,1335949,1533947,1628931,1732639,1772699,1808939,1813987,1891939,1903939,1911963,1931289,1995849
甘肃,电信,1336930,1533948,1628932,1732640,1773980,1808940,1813988,1891940,1903950,1911964,1931290,1995850
甘肃,电信,1336931,1533949,1628933,1732641,1773981,1808941,1813989,1891941,1903951,1911965,1931291,1995851
甘肃,电信,1336932,1533970,1628934,1732642,1773982,1808942,1813990,1891942,1903952,1911966,1931292,1995852
甘肃,电信,1336933,1533971,1628935,1732643,1773983,1808943,1813991,1891943,1903953,1911967,1931293,1995853
甘肃,电信,1336934,1533972,1628936,1732644,1773984,1808944,1813992,1891944,1903954,1911968,1931294,1995854
甘肃,电信,1336935,1533973,1628937,1732645,1773985,1808945,1813993,1891945,1903955,1911969,1931295,1995855
甘肃,电信,1336936,1533974,1628938,1732646,1773986,1808946,1813994,1891946,1903956,1911970,1931296,1995856
甘肃,电信,1336937,1533975,1628939,1732647,1773987,1808947,1813995,1891947,1903957,1911971,1931297,1995857
甘肃,电信,1336938,1533976,1629310,1732648,1773988,1808948,1813996,1891948,1903958,1911972,1931298,1995858
甘肃,电信,1336939,1533977,1629311,1732649,1773989,1808949,1813997,1891949,1903959,1911973,1931299,1995859
甘肃,电信,1336940,1533978,1629312,1732900,1773990,1809300,1813998,1891980,1903960,1911974,1931470,1995860
甘肃,电信,1336941,1533979,1629313,1732901,1773991,1809301,1813999,1891981,1903961,1911975,1931471,1995861
甘肃,电信,1336942,1533980,1629314,1732902,1773992,1809302,1814150,1891982,1903962,1911976,1931472,1995862
甘肃,电信,1336943,1533981,1629315,1732903,1773993,1809303,1814151,1891983,1903963,1911977,1931473,1995863
甘肃,电信,1336944,1533982,1629316,1732904,1773994,1809304,1814152,1891984,1903964,1911978,1931474,1995864
甘肃,电信,1336945,1533983,1629317,1732905,1773995,1809305,1814153,1891985,1903965,1911979,1931475,1995865
甘肃,电信,1336946,1533984,1629318,1732906,1773996,1809306,1814154,1891986,1903966,1911980,1931476,1995866
甘肃,电信,1336947,1533985,1629319,1732907,1773997,1809307,1814155,1891987,1903967,1911981,1931477,1995867
甘肃,电信,1336948,1533986,1629380,1732908,1773998,1809308,1814156,1891988,1903968,1911982,1931478,1995868
甘肃,电信,1336949,1533987,1629381,1732909,1773999,1809309,1814157,1891989,1903969,1911983,1931479,1995869
甘肃,电信,1338930,1533988,1629382,1733970,1774580,1809310,1814158,1891990,1904930,1911984,1932730,1995900
甘肃,电信,1338931,1533989,1629383,1733971,1774581,1809311,1814159,1891991,1904931,1911985,1932731,1995901
甘肃,电信,1338932,1534360,1629384,1733972,1774582,1809312,1814370,1891992,1904932,1911986,1932732,1995902
