省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,150 号段,151 号段,152 号段,157 号段,158 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
甘肃,移动,1344194,1351900,1360930,1373930,1380093,1390093,1470930,1500250,1510120,1520930,1570170,1580930,1650930,1700930,1720148,1780900,1820930,1830930,1840930,1870690,1880930,1950930,1970930,1980930
甘肃,移动,1344794,1351901,1360931,1373931,1380094,1390094,1470931,1500251,1510121,1520931,1570171,1580931,1650931,1700931,1720149,1780901,1820931,1830931,1840931,1870691,1880931,1950931,1970931,1980931
甘肃,移动,1344894,1351902,1360932,1373932,1380930,1390930,1470932,1500252,1510122,1520932,1570172,1580932,1650932,1700932,1720930,1780902,1820932,1830932,1840932,1870692,1880932,1950932,1970932,1980932
甘肃,移动,,1351903,1360933,1373933,1380931,1390931,1470933,1500253,1510123,1520933,1570173,1580933,1650933,1700933,1720931,1780903,1820933,1830933,1840933,1870693,1880933,1950933,1970933,1980933
甘肃,移动,,1351904,1360934,1373934,1380932,1390932,1470934,1500254,1510124,1520934,1570174,1580934,1650934,1700934,1720932,1780904,1820934,1830934,1840934,1870694,1880934,1950934,1970934,1980934
甘肃,移动,,1351905,1360935,1373935,1380933,1390933,1470935,1500255,1510125,1520935,1570175,1580935,1650935,1701930,1720933,1780905,1820935,1830935,1840935,1870695,1880935,1950935,1970935,1980935
甘肃,移动,,1351906,1360936,1373936,1380934,1390934,1470936,1500256,1510126,1520936,1570176,1580936,1650936,1701931,1720934,1780906,1820936,1830936,1840936,1870696,1880936,1950936,1970936,1980936
甘肃,移动,,1351907,1360937,1373937,1380935,1390935,1470937,1500257,1510127,1520937,1570177,1580937,1650937,1701932,1720935,1780907,1820937,1830937,1840937,1870697,1880937,1950937,1970937,1980937
甘肃,移动,,1351908,1360938,1373938,1380936,1390936,1470938,1500258,1510128,1520938,1570178,1580938,1650938,1701933,1720936,1780908,1820938,1830938,1840938,1870698,1880938,1950938,1970938,1980938
甘肃,移动,,1351909,1360939,1373939,1380937,1390937,1470939,1500259,1510129,1520939,1570179,1580939,1650939,1701934,1720937,1780909,1820939,1830939,1840939,1870699,1880939,1950939,1970939,1980939
甘肃,移动,,1351930,1361930,,1380938,1390938,1470940,1500260,1510130,1520940,1570930,1580940,1650941,1701935,1720938,1780930,1820940,1830940,1840940,1870930,1880940,1950940,1970941,1980940
甘肃,移动,,1351931,1361931,,1380939,1390939,1470941,1500261,1510131,1520941,1570931,1580941,1650943,1701936,1720939,1780931,1820941,1830941,1840941,1870931,1880941,1950941,1970943,1980941
甘肃,移动,,1351932,1361932,,1383000,1390940,1470942,1500262,1510132,1520942,1570932,1580942,1651931,1701937,1724175,1780932,1820942,1830942,1840942,1870932,1880942,1950942,1971093,1980942
甘肃,移动,,1351933,1361933,,1383001,1390941,1470943,1500263,1510133,1520943,1570933,1580943,1651936,1701938,1724176,1780933,1820943,1830943,1840943,1870933,1880943,1950943,1971094,1980943
甘肃,移动,,1351934,1361934,,1383002,1390942,1470944,1500264,1510134,1520944,1570934,1580944,1652585,1701939,1724177,1780934,1820944,1830944,1840944,1870934,1880944,1950944,1971930,1980944
甘肃,移动,,1351935,1361935,,1383003,1390943,1470945,1500265,1510135,1520945,1570935,1580945,1653304,1702930,1724178,1780935,1820945,1830945,1840945,1870935,1880945,1950945,1971931,1980945
甘肃,移动,,1351936,1361936,,1383004,1390944,1470946,1500266,1510136,1520946,1570936,1580946,1654257,1702931,1724179,1780936,1820946,1830946,1840946,1870936,1880946,1950946,1971932,1980946
甘肃,移动,,1351937,1361937,,1383005,1390945,1470947,1500267,1510137,1520947,1570937,1580947,1655943,1702932,1726286,1780937,1820947,1830947,1840947,1870937,1880947,1950947,1971933,1980947
甘肃,移动,,1351938,1361938,,1383006,1390946,1470948,1500268,1510138,1520948,1570938,1580948,1656141,1702933,1726287,1780938,1820948,1830948,1840948,1870938,1880948,1950948,1971934,1980948
甘肃,移动,,1351939,1361939,,1383007,1390947,1470949,1500269,1510139,1520949,1570939,1580949,1656143,1702934,1726288,1780939,1820949,1830949,1840949,1870939,1880949,1950949,1971935,1980949
甘肃,移动,,1351940,1362930,,1383008,1390948,1471700,1500930,1510140,1521380,1570940,1582580,1656704,1702935,1726289,1780940,1821500,1836890,1841800,1870940,1889300,1951420,1971936,1981586
甘肃,移动,,1351941,1362931,,1383009,1390949,1471701,1500931,1510141,1521381,1570941,1582581,1656932,1702936,1726290,1780941,1821501,1836891,1841801,1870941,1889301,1951421,1971937,1981587
甘肃,移动,,1351942,1362932,,1383010,1391900,1471702,1500932,1510142,1521382,1570942,1582582,1658207,1702937,1726291,1780942,1821502,1836892,1841802,1870942,1889302,1951422,1971938,1981588
甘肃,移动,,1351943,1362933,,1383011,1391901,1471703,1500933,1510143,1521383,1570943,1582583,1658479,1702938,1726292,1780943,1821503,1836893,1841803,1870943,1889303,1951423,1971939,1981589
甘肃,移动,,1351944,1362934,,1383012,1391902,1471704,1500934,1510144,1521384,1570944,1582584,,1702939,1726293,1780944,1821504,1836894,1841804,1870944,1889304,1951424,1971941,1981590
甘肃,移动,,1351945,1362935,,1383013,1391903,1471705,1500935,1510145,1521385,1570945,1582585,,1705795,1726294,1780945,1821505,1836895,1841805,1870945,1889305,1951425,1971943,1981591
甘肃,移动,,1351946,1362936,,1383014,1391904,1471706,1500936,1510146,1521386,1570946,1582586,,1706200,1726295,1780946,1821506,1836896,1841806,1870946,1889306,1951426,1972093,1981592
甘肃,移动,,1351947,1362937,,1383015,1391905,1471707,1500937,1510147,1521387,1570947,1582587,,1706201,1726296,1780947,1821507,1836897,1841807,1870947,1889307,1951427,1972094,1981593
甘肃,移动,,1351948,1362938,,1383016,1391906,1471708,1500938,1510148,1521388,1570948,1582588,,1706202,1726297,1780948,1821508,1836898,1841808,1870948,1889308,1951428,1972722,1981594
甘肃,移动,,1351949,1362939,,1383017,1391907,1471709,1500939,1510149,1521389,1570949,1582589,,1706203,1726298,1780949,1821509,1836899,1841809,1870949,1889309,1951429,1972723,1981595
甘肃,移动,,1351960,1363930,,1383018,1391908,1471710,1500940,1510170,1521390,1571930,,,1706204,1726299,1783400,1821510,1839300,1841810,1871950,1889310,1951430,1972724,1981596
甘肃,移动,,1351961,1363931,,1383019,1391909,1471711,1500941,1510171,1521391,1571931,,,1706205,1727898,1783401,1821511,1839301,1841811,1871951,1889311,1951431,1972725,1981597
甘肃,移动,,1351962,1363932,,1383020,1391910,1471712,1500942,1510172,1521392,1571932,,,1706206,1729626,1783402,1821512,1839302,1841812,1871952,1889312,1951432,1972726,1981598
甘肃,移动,,1351963,1363933,,1383021,1391911,1471713,1500943,1510173,1521393,1571933,,,1706207,1729710,1783403,1821513,1839303,1841813,1871953,1889313,1951433,1972930,1981599
甘肃,移动,,1351964,1363934,,1383022,1391912,1471714,1500944,1510174,1521394,1571934,,,1706208,1729711,1783404,1821514,1839304,1841814,1871954,1889314,1951434,1972931,1989060
