省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
甘肃,联通,1300087,1310930,1320048,1452840,1550930,1560930,1660930,1670170,1710140,1750930,1760930,1850930,1860930,1960930
甘肃,联通,1300870,1310931,1320930,1452841,1550931,1560931,1660931,1670930,1710141,1750931,1760931,1850931,1860931,1960931
甘肃,联通,1300871,1310932,1320931,1452842,1550932,1560932,1660932,1670931,1710142,1750932,1760932,1850932,1860932,1960932
甘肃,联通,1300872,1310933,1320932,1452843,1550933,1560933,1660933,1670932,1710143,1750933,1760933,1850933,1860933,1960933
甘肃,联通,1300873,1310934,1320933,1452844,1550934,1560934,1660934,1670933,1710144,1750934,1760934,1850934,1860934,1960934
甘肃,联通,1300874,1310935,1320934,1452845,1550935,1560935,1660935,1670934,1710145,1750935,1760935,1850935,1860935,1960935
甘肃,联通,1300875,1310936,1320935,1452846,1550936,1560936,1660936,1670935,1710146,1750936,1760936,1850936,1860936,1960936
甘肃,联通,1300876,1310937,1320936,1452847,1550937,1560937,1660937,1670936,1710147,1750937,1760937,1850937,1860937,1960937
甘肃,联通,1300877,1310938,1320937,1452848,1550938,1560938,1660938,1670937,1710148,1750938,1760938,1850938,1860938,1960938
甘肃,联通,1300878,1310939,1320938,1452849,1550939,1560939,1660939,1670938,1710149,1750939,1760939,1850939,1860939,1960939
甘肃,联通,1300879,1310940,1320939,1452850,1550940,1560940,1660940,1670939,1713930,1750940,1760940,1850940,1860940,1960940
甘肃,联通,1301087,1310941,1320940,1452851,1550941,1560941,1660941,1670941,1713931,1750941,1760941,1850941,1860941,1960941
甘肃,联通,1301410,1310942,1320941,1452852,1550942,1560942,1660942,1670943,1713932,1750942,1760942,1850942,1860942,1960942
甘肃,联通,1301411,1310943,1320942,1452853,1550943,1560943,1660943,1671930,1713933,1750943,1760943,1850943,1860943,1960943
甘肃,联通,1301412,1310944,1320943,1452854,1550944,1560944,1660944,1671931,1713934,1750944,1760944,1850944,1860944,1960944
甘肃,联通,1301413,1310945,1320944,1452855,1550945,1560945,1660945,1671932,1713935,1750945,1760945,1850945,1860945,1960945
甘肃,联通,1301414,1310946,1320945,1452856,1550946,1560946,1660946,1671933,1713936,1750946,1760946,1850946,1860946,1960946
甘肃,联通,1301415,1310947,1320946,1452857,1550947,1560947,1660947,1671934,1713937,1750947,1760947,1850947,1860947,1960947
甘肃,联通,1301416,1310948,1320947,1452858,1550948,1560948,1660948,1671935,1713938,1750948,1760948,1850948,1860948,1960948
甘肃,联通,1301417,1310949,1320948,1452859,1550949,1560949,1660949,1671936,1713939,1750949,1760949,1850949,1860949,1960949
甘肃,联通,1301418,1311930,1320949,1453850,1556960,1568260,1668930,1671937,1713940,1759300,1769300,1859060,1869300,
甘肃,联通,1301419,1311931,1322040,1453851,1556961,1568261,1668931,1671938,1713941,1759301,1769301,1859061,1869301,
甘肃,联通,1302870,1311932,1322041,1453852,1556962,1568262,1668932,1671939,1713942,1759302,1769302,1859062,1869302,
甘肃,联通,1302871,1311933,1322042,1453853,1556963,1568263,1668933,1672930,1713943,1759303,1769303,1859063,1869303,
甘肃,联通,1302872,1311934,1322043,1453854,1556964,1568264,1668934,1672931,1713944,1759304,1769304,1859064,1869304,
