省份,运营商,192 号段
福建,广电,1920490
福建,广电,1920491
福建,广电,1920492
福建,广电,1920493
福建,广电,1920494
福建,广电,1920495
福建,广电,1920496
福建,广电,1920497
福建,广电,1920498
福建,广电,1920499
福建,广电,1920590
福建,广电,1920591
福建,广电,1920592
福建,广电,1920593
福建,广电,1920594
福建,广电,1920595
福建,广电,1920596
福建,广电,1920597
福建,广电,1920598
福建,广电,1920599
福建,广电,1920680
福建,广电,1920681
福建,广电,1920682
福建,广电,1920683
福建,广电,1920684
福建,广电,1920685
福建,广电,1920686
福建,广电,1920687
福建,广电,1920688
福建,广电,1920689
福建,广电,1921480
福建,广电,1921481
福建,广电,1921482
福建,广电,1921483
福建,广电,1921484
福建,广电,1921485
福建,广电,1921486
福建,广电,1921487
福建,广电,1921488
福建,广电,1921489
福建,广电,1921490
福建,广电,1921491
福建,广电,1921492
福建,广电,1921493
福建,广电,1921494
福建,广电,1921495
福建,广电,1921496
福建,广电,1921497
福建,广电,1921498
福建,广电,1921499
福建,广电,1921590
福建,广电,1921591
福建,广电,1921592
福建,广电,1921593
福建,广电,1921594
福建,广电,1921595
福建,广电,1921596
福建,广电,1921597
福建,广电,1921598
福建,广电,1921599
福建,广电,1921690
福建,广电,1921691
福建,广电,1921692
福建,广电,1921693
福建,广电,1921694
福建,广电,1921695
福建,广电,1921696
福建,广电,1921697
福建,广电,1921698
福建,广电,1921699
福建,广电,1922040
福建,广电,1922041
福建,广电,1922042
福建,广电,1922043
福建,广电,1922044
福建,广电,1922045
福建,广电,1922046
福建,广电,1922047
福建,广电,1922048
福建,广电,1922049
福建,广电,1922120
福建,广电,1922121
福建,广电,1922122
福建,广电,1922123
福建,广电,1922124
福建,广电,1922125
福建,广电,1922126
福建,广电,1922127
福建,广电,1922128
福建,广电,1922129
福建,广电,1922326
福建,广电,1922336
福建,广电,1922356
福建,广电,1922358
福建,广电,1922390
福建,广电,1922406
福建,广电,1922407
福建,广电,1922410
福建,广电,1922413
福建,广电,1922456
福建,广电,1922590
福建,广电,1922591
福建,广电,1922592
福建,广电,1922593
福建,广电,1922594
福建,广电,1922595
福建,广电,1922596
福建,广电,1922597
福建,广电,1922598
福建,广电,1922599
福建,广电,1922910
福建,广电,1922911
福建,广电,1922912
福建,广电,1922913
福建,广电,1922914
福建,广电,1922915
福建,广电,1922916
福建,广电,1922917
福建,广电,1922918
福建,广电,1922919
福建,广电,1922950
福建,广电,1922951
福建,广电,1922952
福建,广电,1922953
福建,广电,1922954
福建,广电,1922955
福建,广电,1922956
福建,广电,1922957
福建,广电,1922958
福建,广电,1922959
福建,广电,1923490
福建,广电,1923491
福建,广电,1923492
福建,广电,1923493
福建,广电,1923494
福建,广电,1923495
福建,广电,1923496
福建,广电,1923497
福建,广电,1923498
福建,广电,1923499
福建,广电,1923590
福建,广电,1923591
福建,广电,1923592
福建,广电,1923593
福建,广电,1923594
福建,广电,1923595
福建,广电,1923596
福建,广电,1923597
福建,广电,1923598
福建,广电,1923599
福建,广电,1923680
福建,广电,1923681
福建,广电,1923682
福建,广电,1923683
