省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
福建,电信,1330500,1530500,1621590,1730460,1770008,1800500,1810052,1890020,1900500,1910500,1930500,1990500
福建,电信,1330501,1530501,1621591,1730461,1770460,1800501,1810053,1890021,1900501,1910501,1930501,1990501
福建,电信,1330502,1530502,1621592,1730462,1770461,1800502,1810054,1890022,1900502,1910502,1930502,1990502
福建,电信,1330503,1530503,1621593,1730463,1770462,1800503,1810055,1890023,1900503,1910503,1930503,1990503
福建,电信,1330504,1530504,1621594,1730464,1770463,1800504,1810056,1890024,1900504,1910504,1930504,1990504
福建,电信,1330505,1530505,1621595,1730465,1770464,1800505,1810057,1890025,1900505,1910505,1930505,1990505
福建,电信,1330506,1530506,1621596,1730466,1770465,1800506,1810058,1890026,1900506,1910506,1930506,1990506
福建,电信,1330507,1530507,1621597,1730467,1770466,1800507,1810059,1890027,1900507,1910507,1930507,1990507
福建,电信,1330508,1530508,1621598,1730468,1770467,1800508,1810500,1890028,1900508,1910508,1930508,1990508
福建,电信,1330509,1530509,1621599,1730469,1770468,1800509,1810501,1890029,1900509,1910509,1930509,1990509
福建,电信,1330590,1530590,1622590,1730500,1770469,1800590,1810502,1890030,1900590,1910590,1930590,1990590
福建,电信,1330591,1530591,1622591,1730501,1770500,1800591,1810503,1890031,1900591,1910591,1930591,1990591
福建,电信,1330592,1530592,1622592,1730502,1770501,1800592,1810504,1890032,1900592,1910592,1930592,1990592
福建,电信,1330593,1530593,1622593,1730503,1770502,1800593,1810505,1890033,1900593,1910593,1930593,1990593
福建,电信,1330594,1530594,1622594,1730504,1770503,1800594,1810506,1890034,1900594,1910594,1930594,1990594
福建,电信,1330595,1530595,1622595,1730505,1770504,1800595,1810507,1890035,1900595,1910595,1930595,1990595
福建,电信,1330596,1530596,1622596,1730506,1770505,1800596,1810508,1890036,1900596,1910596,1930596,1990596
福建,电信,1330597,1530597,1622597,1730507,1770506,1800597,1810509,1890037,1900597,1910597,1930597,1990597
福建,电信,1330598,1530598,1622598,1730508,1770507,1800598,1810590,1890038,1900598,1910598,1930598,1990598
