省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
福建,移动,1340050,1350500,1360070,1370500,1380059,1390043,1470000,1480545,1500500,1510500,1520500,1570590,1580500,1590500,1650142,1700480,1720130,1780590,1820590,1830590,1840500,1870500,1880500,1950010,1970591,1980590
福建,移动,1340051,1350501,1360071,1370501,1380062,1390044,1470001,1480546,1500501,1510501,1520501,1570591,1580501,1590501,1650299,1700481,1720131,1780591,1820591,1830591,1840501,1870501,1880501,1950011,1970592,1980591
福建,移动,1340052,1350502,1360072,1370502,1380500,1390045,1470002,1480547,1500502,1510502,1520502,1570592,1580502,1590502,1650301,1700500,1721387,1780592,1820592,1830592,1840502,1870502,1880502,1950012,1970593,1980592
福建,移动,1340053,1350503,1360073,1370503,1380501,1390046,1470003,1480548,1500503,1510503,1520503,1570593,1580503,1590503,1650304,1700501,1721388,1780593,1820593,1830593,1840503,1870503,1880503,1950013,1970594,1980593
福建,移动,1340054,1350504,1360074,1370504,1380502,1390050,1470004,1480549,1500504,1510504,1520504,1570594,1580504,1590504,1650320,1700502,1721389,1780594,1820594,1830594,1840504,1870504,1880504,1950014,1970595,1980594
福建,移动,1340055,1350505,1360075,1370505,1380503,1390059,1470005,1480700,1500505,1510505,1520505,1570595,1580505,1590505,1650334,1700503,1721390,1780595,1820595,1830595,1840505,1870505,1880505,1950015,1970596,1980595
福建,移动,1340056,1350506,1360076,1370506,1380504,1390060,1470006,1480701,1500506,1510506,1520506,1570596,1580506,1590506,1650336,1700504,1721391,1780596,1820596,1830596,1840506,1870506,1880506,1950016,1970597,1980596
福建,移动,1340057,1350507,1360077,1370507,1380505,1390069,1470007,1480702,1500507,1510507,1520507,1570597,1580507,1590507,1650339,1700505,1721392,1780597,1820597,1830597,1840507,1870507,1880507,1950017,1970598,1980597
福建,移动,1340058,1350508,1360078,1370508,1380506,1390500,1470008,1480703,1500508,1510508,1520508,1570598,1580508,1590508,1650404,1700506,1721393,1780598,1820598,1830598,1840508,1870508,1880508,1950018,1970599,1980598
福建,移动,1340059,1350509,1360079,1370509,1380507,1390501,1470009,1480704,1500509,1510509,1520509,1570599,1580509,1590509,1650405,1700507,1721394,1780599,1820599,1830599,1840509,1870509,1880509,1950019,1971059,1980599
福建,移动,1340060,1350590,1360080,1370590,1380508,1390502,1470500,1480705,1500590,1510590,1520590,1571060,1580590,1590590,1650584,1700508,1721395,1784250,1820600,1831460,1840590,1870590,1880590,1950590,1971591,1981399
福建,移动,1340061,1350591,1360081,1370591,1380509,1390503,1470501,1480706,1500591,1510591,1520591,1571061,1580591,1590591,1650590,1700509,1721396,1784251,1820601,1831461,1840591,1870591,1880591,1950591,1971592,1981500
福建,移动,1340062,1350592,1360082,1370592,1380590,1390504,1470502,1480707,1500592,1510592,1520592,1571062,1580592,1590592,1650591,1700590,1721397,1784252,1820602,1831462,1840592,1870592,1880592,1950592,1971593,1981501
福建,移动,1340063,1350593,1360083,1370593,1380591,1390505,1470503,1480708,1500593,1510593,1520593,1571063,1580593,1590593,1650592,1700591,1721398,1784253,1820603,1831463,1840593,1870593,1880593,1950593,1971594,1981502
