省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
福建,联通,1300099,1310140,1320500,1452570,1550590,1560500,1660500,1670013,1710060,1750500,1760500,1850500,1860500,1960590
福建,联通,1300380,1310141,1320501,1452571,1550591,1560501,1660501,1670050,1710061,1750501,1760501,1850501,1860501,1960591
福建,联通,1300381,1310142,1320502,1452572,1550592,1560502,1660502,1670130,1710062,1750502,1760502,1850502,1860502,1960592
福建,联通,1300382,1310143,1320503,1452573,1550593,1560503,1660503,1670164,1710063,1750503,1760503,1850503,1860503,1960593
福建,联通,1300383,1310144,1320504,1452574,1550594,1560504,1660504,1670171,1710064,1750504,1760504,1850504,1860504,1960594
福建,联通,1300384,1310145,1320505,1452575,1550595,1560505,1660505,1670173,1710065,1750505,1760505,1850505,1860505,1960595
福建,联通,1300385,1310146,1320506,1452576,1550596,1560506,1660506,1670179,1710066,1750506,1760506,1850506,1860506,1960596
福建,联通,1300386,1310147,1320507,1452577,1550597,1560507,1660507,1670491,1710067,1750507,1760507,1850507,1860507,1960597
福建,联通,1300387,1310148,1320508,1452578,1550598,1560508,1660508,1670591,1710068,1750508,1760508,1850508,1860508,1960598
福建,联通,1300388,1310149,1320509,1452579,1550599,1560509,1660509,1670592,1710069,1750509,1760509,1850509,1860509,1960599
福建,联通,1300389,1310500,1320590,1452580,1550690,1560590,1660590,1670593,1710070,1750590,1760590,1850590,1860590,1963820
福建,联通,1300390,1310501,1320591,1452581,1550691,1560591,1660591,1670594,1710071,1750591,1760591,1850591,1860591,1965900
福建,联通,1300391,1310502,1320592,1452582,1550692,1560592,1660592,1670595,1710072,1750592,1760592,1850592,1860592,1965901
福建,联通,1300392,1310503,1320593,1452583,1550693,1560593,1660593,1670596,1710073,1750593,1760593,1850593,1860593,1965902
福建,联通,1300393,1310504,1320594,1452584,1550694,1560594,1660594,1670597,1710074,1750594,1760594,1850594,1860594,1965903
福建,联通,1300394,1310505,1320595,1452585,1550695,1560595,1660595,1670598,1710075,1750595,1760595,1850595,1860595,1965904
福建,联通,1300395,1310506,1320596,1452586,1550696,1560596,1660596,1670764,1710076,1750596,1760596,1850596,1860596,1965905
福建,联通,1300396,1310507,1320597,1452587,1550697,1560597,1660597,1671200,1710077,1750597,1760597,1850597,1860597,1965906
福建,联通,1300397,1310508,1320598,1452588,1550698,1560598,1660598,1671201,1710078,1750598,1760598,1850598,1860598,1965907
福建,联通,1300398,1310509,1320599,1452589,1550699,1560599,1660599,1671202,1710079,1750599,1760599,1850599,1860599,1965908
福建,联通,1300399,1310590,1321500,1452590,1555900,1560600,1660600,1671203,1710080,1750600,1760600,1850600,1860600,1965909
福建,联通,1300480,1310591,1321501,1452591,1555901,1560601,1660601,1671204,1710081,1750601,1760601,1850601,1860601,
福建,联通,1300481,1310592,1321502,1452592,1555902,1560602,1660602,1671205,1710082,1750602,1760602,1850602,1860602,
福建,联通,1300482,1310593,1321503,1452593,1555903,1560603,1660603,1671206,1710083,1750603,1760603,1850603,1860603,
福建,联通,1300483,1310594,1321504,1452594,1555904,1560604,1660604,1671207,1710084,1750604,1760604,1850604,1860604,
福建,联通,1300484,1310595,1321505,1452595,1555905,1560605,1660605,1671208,1710085,1750605,1760605,1850605,1860605,
福建,联通,1300485,1310596,1321506,1452596,1555906,1560606,1660606,1671209,1710086,1750606,1760606,1850606,1860606,
福建,联通,1300486,1310597,1321507,1452597,1555907,1560607,1660607,1671230,1710087,1750607,1760607,1850607,1860607,
福建,联通,1300487,1310598,1321508,1452598,1555908,1560608,1660608,1671231,1710088,1750608,1760608,1850608,1860608,
福建,联通,1300488,1310599,1321509,1452599,1555909,1560609,1660609,1671232,1710089,1750609,1760609,1850609,1860609,
福建,联通,1300489,1310760,1321590,1453570,1555910,1560690,1661580,1671233,1710090,1750690,1765900,1850690,1860690,
