省份,运营商,133 号段,153 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
西藏,电信,1330890,1533133,1730890,1770890,1800890,1810098,1890890,1900890,1910890,1930890,1990890
西藏,电信,1330891,1533137,1730891,1770891,1800891,1810890,1890891,1900891,1910891,1930891,1990891
西藏,电信,1330892,1534890,1730892,1770892,1800892,1810891,1890892,1900892,1910892,1930892,1990892
西藏,电信,1330893,1534891,1730893,1770893,1800893,1810892,1890893,1900893,1910893,1930893,1990893
西藏,电信,1330894,1534892,1730894,1770894,1800894,1810893,1890894,1900894,1910894,1930894,1990894
西藏,电信,1330895,1534893,1730895,1770895,1800895,1810894,1890895,1900895,1910895,1930895,1990895
西藏,电信,1330896,1534894,1730896,1770896,1800896,1810895,1890896,1900896,1910896,1930896,1990896
西藏,电信,1330897,1534895,1730897,1770897,1800897,1810896,1890897,1900897,1910897,1930897,1990897
西藏,电信,1330898,1534896,1730898,1770898,1800898,1810897,1890898,1900898,1910898,1930898,1990898
西藏,电信,1330899,1534897,1730899,1770899,1800899,1810898,1890899,1900899,1910899,1930899,1990899
西藏,电信,1332250,1534898,1735450,1771190,1807690,1810899,1898900,1901890,1918910,1938860,1998920
西藏,电信,1332251,1534899,1735451,1771191,1807691,1814140,1898901,1901891,1918911,1938861,1998921
西藏,电信,1332252,,1735452,1771192,1807692,1814141,1898902,1901892,1918912,1938862,1998922
西藏,电信,1332253,,1735453,1771193,1807693,1814142,1898903,1901893,1918913,1938863,1998923
西藏,电信,1332254,,1735454,1771194,1807694,1814143,1898904,1901894,1918914,1938864,1998924
西藏,电信,1332255,,1735455,1771195,1807695,1814144,1898905,1904890,1918915,1938865,1998925
西藏,电信,1332256,,1735456,1771196,1807696,1814145,1898906,1904891,1918916,1938866,1998926
西藏,电信,1332257,,1735457,1771197,1807697,1814146,1898907,1904892,1918917,1938867,1998927
西藏,电信,1332258,,1735458,1771198,1807698,1814147,1898908,1904893,1918918,1938868,1998928
