省份,运营商,132 号段,145 号段,156 号段,166 号段,175 号段,176 号段,185 号段,186 号段
西藏,联通,1322890,1452390,1560890,1668900,1750980,1768900,1858910,1868900
西藏,联通,1322891,1452391,1560891,1668901,1750981,1768901,1858911,1868901
西藏,联通,1322892,1452392,1560892,1668902,1750982,1768902,1858912,1868902
西藏,联通,1322893,1452393,1560893,1668903,1750983,1768903,1858913,1868903
西藏,联通,1322894,1452394,1560894,1668904,1750984,1768904,1858914,1868904
西藏,联通,1322895,1452395,1560895,1668905,1750985,1768905,1858915,1868905
西藏,联通,1322896,1452396,1560896,1668906,1750986,1768906,1858916,1868906
西藏,联通,1322897,1452397,1560897,1668907,1750987,1768907,1858917,1868907
西藏,联通,1322898,1452398,1560898,1668908,1750988,1768908,1858918,1868908
西藏,联通,1322899,1452399,1560899,1668909,1750989,1768909,1858919,1868909
西藏,联通,1329890,1454260,1562850,,1758900,1768910,1858940,1868910
西藏,联通,1329891,1454261,1562851,,1758901,1768911,1858941,1868911
西藏,联通,1329892,1454262,1562852,,1758902,1768912,1858942,1868912
西藏,联通,1329893,1454263,1562853,,1758903,1768913,1858943,1868913
西藏,联通,1329894,1454264,1562854,,1758904,1768914,1858944,1868914
西藏,联通,1329895,1454265,1562855,,1758905,1768915,1858945,1868915
西藏,联通,1329896,1454266,1562856,,1758906,1768916,1858946,1868916
西藏,联通,1329897,1454267,1562857,,1758907,1768917,1858947,1868917
西藏,联通,1329898,1454268,1562858,,1758908,1768918,1858948,1868918
西藏,联通,1329899,1454269,1562859,,1758909,1768919,1858949,1868919
西藏,联通,,1459430,1569260,,,1768950,,
西藏,联通,,1459431,1569261,,,1768951,,
西藏,联通,,1459432,1569262,,,1768952,,
西藏,联通,,1459433,1569263,,,1768953,,
西藏,联通,,1459434,1569264,,,1768954,,
西藏,联通,,1459435,1569265,,,1768955,,
西藏,联通,,1459436,1569266,,,1768956,,
西藏,联通,,1459437,1569267,,,1768957,,
西藏,联通,,1459438,1569268,,,1768958,,
西藏,联通,,1459439,1569269,,,1768959,,
西藏,联通,,1459530,,,,,,
西藏,联通,,1459531,,,,,,
西藏,联通,,1459532,,,,,,
西藏,联通,,1459533,,,,,,
西藏,联通,,1459534,,,,,,
西藏,联通,,1459535,,,,,,
西藏,联通,,1459536,,,,,,
西藏,联通,,1459537,,,,,,
西藏,联通,,1459538,,,,,,
西藏,联通,,1459539,,,,,,
