省份,运营商,192 号段
贵州,广电,1920400
贵州,广电,1920401
贵州,广电,1920402
贵州,广电,1920403
贵州,广电,1920404
贵州,广电,1920405
贵州,广电,1920406
贵州,广电,1920407
贵州,广电,1920408
贵州,广电,1920409
贵州,广电,1920850
贵州,广电,1920851
贵州,广电,1920852
贵州,广电,1920853
贵州,广电,1920854
贵州,广电,1920855
贵州,广电,1920856
贵州,广电,1920857
贵州,广电,1920858
贵州,广电,1920859
贵州,广电,1920860
贵州,广电,1920861
贵州,广电,1920862
贵州,广电,1920863
贵州,广电,1920864
贵州,广电,1920865
贵州,广电,1920866
贵州,广电,1920867
贵州,广电,1920868
贵州,广电,1920869
贵州,广电,1921400
贵州,广电,1921401
贵州,广电,1921402
贵州,广电,1921403
贵州,广电,1921404
贵州,广电,1921405
贵州,广电,1921406
贵州,广电,1921407
贵州,广电,1921408
贵州,广电,1921409
贵州,广电,1921850
贵州,广电,1921851
贵州,广电,1921852
贵州,广电,1921853
贵州,广电,1921854
贵州,广电,1921855
贵州,广电,1921856
贵州,广电,1921857
贵州,广电,1921858
贵州,广电,1921859
贵州,广电,1921860
贵州,广电,1921861
贵州,广电,1921862
贵州,广电,1921863
贵州,广电,1921864
贵州,广电,1921865
贵州,广电,1921866
贵州,广电,1921867
贵州,广电,1921868
贵州,广电,1921869
贵州,广电,1922050
贵州,广电,1922051
贵州,广电,1922052
贵州,广电,1922053
贵州,广电,1922054
贵州,广电,1922055
贵州,广电,1922056
贵州,广电,1922057
贵州,广电,1922058
贵州,广电,1922059
贵州,广电,1922060
贵州,广电,1922061
贵州,广电,1922062
贵州,广电,1922063
贵州,广电,1922064
贵州,广电,1922065
贵州,广电,1922066
贵州,广电,1922067
贵州,广电,1922068
贵州,广电,1922069
贵州,广电,1922070
贵州,广电,1922071
贵州,广电,1922072
贵州,广电,1922073
贵州,广电,1922074
贵州,广电,1922075
贵州,广电,1922076
贵州,广电,1922077
贵州,广电,1922078
贵州,广电,1922079
贵州,广电,1922250
贵州,广电,1922251
贵州,广电,1922252
贵州,广电,1922253
贵州,广电,1922254
贵州,广电,1922255
贵州,广电,1922256
贵州,广电,1922257
贵州,广电,1922258
贵州,广电,1922259
贵州,广电,1922380
贵州,广电,1922418
贵州,广电,1922429
贵州,广电,1922496
贵州,广电,1922650
贵州,广电,1922651
贵州,广电,1922652
贵州,广电,1922653
贵州,广电,1922654
贵州,广电,1922655
贵州,广电,1922656
贵州,广电,1922657
贵州,广电,1922658
贵州,广电,1922659
贵州,广电,1922840
贵州,广电,1922841
贵州,广电,1922842
贵州,广电,1922843
贵州,广电,1922844
贵州,广电,1922845
贵州,广电,1922846
贵州,广电,1922847
贵州,广电,1922848
贵州,广电,1922849
贵州,广电,1922850
贵州,广电,1922851
贵州,广电,1922852
贵州,广电,1922853
贵州,广电,1922854
贵州,广电,1922855
贵州,广电,1922856
贵州,广电,1922857
贵州,广电,1922858
贵州,广电,1922859
贵州,广电,1923400
贵州,广电,1923401
贵州,广电,1923402
贵州,广电,1923403
贵州,广电,1923404
贵州,广电,1923405
贵州,广电,1923406
贵州,广电,1923407
贵州,广电,1923408
贵州,广电,1923409
贵州,广电,1923840
贵州,广电,1923841
贵州,广电,1923842
贵州,广电,1923843
贵州,广电,1923844
贵州,广电,1923845
贵州,广电,1923846
贵州,广电,1923847
贵州,广电,1923848
贵州,广电,1923849
贵州,广电,1923850
贵州,广电,1923851
贵州,广电,1923852
贵州,广电,1923853
贵州,广电,1923854
贵州,广电,1923855
贵州,广电,1923856
贵州,广电,1923857
贵州,广电,1923858
贵州,广电,1923859
贵州,广电,1923860
贵州,广电,1923861
贵州,广电,1923862
贵州,广电,1923863
贵州,广电,1923864
贵州,广电,1923865
贵州,广电,1923866
贵州,广电,1923867
贵州,广电,1923868
贵州,广电,1923869
贵州,广电,1923890
贵州,广电,1923891
贵州,广电,1923892
贵州,广电,1923893
贵州,广电,1923894
贵州,广电,1923895
贵州,广电,1923896
