省份,运营商,133 号段,153 号段,162 号段,173 号段,174 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
贵州,电信,1330850,1530850,1621850,1730850,1748418,1770850,1800850,1810084,1890850,1900080,1910850,1930010,1990850
贵州,电信,1330851,1530851,1621851,1730851,,1770851,1800851,1810085,1890851,1900081,1910851,1930011,1990851
贵州,电信,1330852,1530852,1621852,1730852,,1770852,1800852,1810850,1890852,1900082,1910852,1930012,1990852
贵州,电信,1330853,1530853,1621853,1730853,,1770853,1800853,1810851,1890853,1900083,1910853,1930013,1990853
贵州,电信,1330854,1530854,1621854,1730854,,1770854,1800854,1810852,1890854,1900084,1910854,1930014,1990854
贵州,电信,1330855,1530855,1621855,1730855,,1770855,1800855,1810853,1890855,1900085,1910855,1930015,1990855
贵州,电信,1330856,1530856,1621856,1730856,,1770856,1800856,1810854,1890856,1900086,1910856,1930016,1990856
贵州,电信,1330857,1530857,1621857,1730857,,1770857,1800857,1810855,1890857,1900087,1910857,1930017,1990857
贵州,电信,1330858,1530858,1621858,1730858,,1770858,1800858,1810856,1890858,1900088,1910858,1930018,1990858
贵州,电信,1330859,1530859,1621859,1730859,,1770859,1800859,1810857,1890859,1900089,1910859,1930019,1990859
贵州,电信,1331040,1532900,1621860,1731190,,1771660,1807600,1810858,1893200,1900845,1911050,1930020,1991700
贵州,电信,1331041,1532901,1621861,1731191,,1771661,1807601,1810859,1893201,1900850,1911051,1930021,1991701
贵州,电信,1331042,1532902,1621862,1731192,,1771662,1807602,1811180,1893202,1900851,1911052,1930022,1991702
贵州,电信,1331043,1532903,1621863,1731193,,1771663,1807603,1811181,1893203,1900852,1911053,1930023,1991703
贵州,电信,1331044,1532904,1621864,1731194,,1771664,1807604,1811182,1893204,1900853,1911054,1930024,1991704
贵州,电信,1331045,1532905,1621865,1731195,,1771665,1807605,1811183,1893205,1900854,1911055,1930025,1991705
贵州,电信,1331046,1532906,1621866,1731196,,1771666,1807606,1811184,1893206,1900855,1911056,1930026,1991706
贵州,电信,1331047,1532907,1621867,1731197,,1771667,1807607,1811185,1893207,1900856,1911057,1930027,1991707
贵州,电信,1331048,1532908,1621868,1731198,,1771668,1807608,1811186,1893208,1900857,1911058,1930028,1991708
贵州,电信,1331049,1532909,1621869,1731199,,1771669,1807609,1811187,1893209,1900858,1911059,1930029,1991709
贵州,电信,1331070,1532910,1622850,1736500,,1771800,1807610,1811188,1893440,1900859,1911060,1930650,1998440
贵州,电信,1331071,1532911,1622851,1736501,,1771801,1807611,1811189,1893441,1901170,1911061,1930651,1998441
贵州,电信,1331072,1532912,1622852,1736502,,1771802,1807612,1811190,1893442,1901171,1911062,1930652,1998442
贵州,电信,1331073,1532913,1622853,1736503,,1771803,1807613,1811191,1893443,1901172,1911063,1930653,1998443
贵州,电信,1331074,1532914,1622854,1736504,,1771804,1807614,1811192,1893444,1901173,1911064,1930654,1998444
贵州,电信,1331075,1532915,1622855,1736505,,1771805,1807615,1811193,1893445,1901174,1911065,1930655,1998445
贵州,电信,1331076,1532916,1622856,1736506,,1771806,1807616,1811194,1893446,1901175,1911066,1930656,1998446
贵州,电信,1331077,1532917,1622857,1736507,,1771807,1807617,1811195,1893447,1901176,1911067,1930657,1998447
贵州,电信,1331078,1532918,1622858,1736508,,1771808,1807618,1811196,1893448,1901177,1911068,1930658,1998448
贵州,电信,1331079,1532919,1622859,1736509,,1771809,1807619,1811197,1893449,1901178,1911069,1930659,1998449
贵州,电信,1331220,1532920,1625630,1738410,,1778410,1807620,1811198,1898400,1901179,1911070,1930850,1998450
贵州,电信,1331221,1532921,1625631,1738411,,1778411,1807621,1811199,1898401,1901380,1911071,1930851,1998451
贵州,电信,1331222,1532922,1625632,1738412,,1778412,1807622,1814350,1898402,1901381,1911072,1930852,1998452
贵州,电信,1331223,1532923,1625633,1738413,,1778413,1807623,1814351,1898403,1901382,1911073,1930853,1998453
贵州,电信,1331224,1532924,1625634,1738414,,1778414,1807624,1814352,1898404,1901383,1911074,1930854,1998454
贵州,电信,1331225,1532925,1625635,1738415,,1778415,1807625,1814353,1898405,1901384,1911075,1930855,1998455
贵州,电信,1331226,1532926,1625636,1738416,,1778416,1807626,1814354,1898406,1901385,1911076,1930856,1998456
贵州,电信,1331227,1532927,1625637,1738417,,1778417,1807627,1814355,1898407,1901386,1911077,1930857,1998457
贵州,电信,1331228,1532928,1625638,1738418,,1778418,1807628,1814356,1898408,1901387,1911078,1930858,1998458
贵州,电信,1331229,1532929,1625639,1738419,,1778419,1807629,1814357,1898409,1901388,1911079,1930859,1998459
贵州,电信,1331230,1532930,1625640,1738420,,1778480,1808310,1814358,1898410,1901389,1911080,1931190,1998500
贵州,电信,1331231,1532931,1625641,1738421,,1778481,1808311,1814359,1898411,1901750,1911081,1931191,1998501
贵州,电信,1331232,1532932,1625642,1738422,,1778482,1808312,1814620,1898412,1901751,1911082,1931192,1998502
贵州,电信,1331233,1532933,1625643,1738423,,1778483,1808313,1814621,1898413,1901752,1911083,1931193,1998503
贵州,电信,1331234,1532934,1625644,1738424,,1778484,1808314,1814622,1898414,1901753,1911084,1931194,1998504
贵州,电信,1331235,1532935,1625645,1738425,,1778485,1808315,1814623,1898415,1901754,1911085,1931195,1998505
贵州,电信,1331236,1532936,1625646,1738426,,1778486,1808316,1814624,1898416,1901755,1911086,1931196,1998506
贵州,电信,1331237,1532937,1625647,1738427,,1778487,1808317,1814625,1898417,1901756,1911087,1931197,1998507
贵州,电信,1331238,1532938,1625648,1738428,,1778488,1808318,1814626,1898418,1901757,1911088,1931198,1998508
贵州,电信,1331239,1532939,1625649,1738429,,1778489,1808319,1814627,1898419,1901758,1911089,1931199,1998509
贵州,电信,1331240,1532940,1625650,1738500,,1778490,1808320,1814628,1898420,1901759,1911090,1931200,1998510
贵州,电信,1331241,1532941,1625651,1738501,,1778491,1808321,1814629,1898421,1901760,1911091,1931201,1998511
贵州,电信,1331242,1532942,1625652,1738502,,1778492,1808322,1815310,1898422,1901761,1911092,1931202,1998512
贵州,电信,1331243,1532943,1625653,1738503,,1778493,1808323,1815311,1898423,1901762,1911093,1931203,1998513
贵州,电信,1331244,1532944,1625654,1738504,,1778494,1808324,1815312,1898424,1901763,1911094,1931204,1998514
贵州,电信,1331245,1532945,1625655,1738505,,1778495,1808325,1815313,1898425,1901764,1911095,1931205,1998515
贵州,电信,1331246,1532946,1625656,1738506,,1778496,1808326,1815314,1898426,1901765,1911096,1931206,1998516
贵州,电信,1331247,1532947,1625657,1738507,,1778497,1808327,1815315,1898427,1901766,1911097,1931207,1998517
贵州,电信,1331248,1532948,1625658,1738508,,1778498,1808328,1815316,1898428,1901767,1911098,1931208,1998518
贵州,电信,1331249,1532949,1628501,1738509,,1778499,1808329,1815317,1898429,1901768,1911099,1931209,1998519
贵州,电信,1331440,1532950,1628502,1738510,,1778500,1808330,1815318,1898430,1901769,1911760,1931210,1998520
贵州,电信,1331441,1532951,1628503,1738511,,1778501,1808331,1815319,1898431,1901770,1911761,1931211,1998521
贵州,电信,1331442,1532952,1628504,1738512,,1778502,1808332,1816480,1898432,1901771,1911762,1931212,1998522
贵州,电信,1331443,1532953,1628505,1738513,,1778503,1808333,1816481,1898433,1901772,1911763,1931213,1998523
贵州,电信,1331444,1532954,1628506,1738514,,1778504,1808334,1816482,1898434,1901773,1911764,1931214,1998524
贵州,电信,1331445,1532955,1628507,1738515,,1778505,1808335,1816483,1898435,1901774,1911765,1931215,1998525
贵州,电信,1331446,1532956,1628508,1738516,,1778506,1808336,1816484,1898436,1901775,1911766,1931216,1998526
贵州,电信,1331447,1532957,1628509,1738517,,1778507,1808337,1816485,1898437,1901776,1911767,1931217,1998527
贵州,电信,1331448,1532958,1628510,1738518,,1778508,1808338,1816486,1898438,1901777,1911768,1931218,1998528
贵州,电信,1331449,1532959,1628511,1738519,,1778509,1808339,1816487,1898439,1901778,1911769,1931219,1998529
贵州,电信,1332960,1532960,1628512,1738520,,1778510,1808340,1816488,1898440,1901779,1911770,1931220,1998530
