省份,运营商,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
贵州,移动,1350850,1360850,1370850,1380085,1390008,1470850,1482440,1500850,1510850,1520850,1570850,1580850,1590250,1650156,1700820,1720840,1780840,1820840,1830080,1840030,1870240,1880850,1950490,1970851,1980840
贵州,移动,1350851,1360851,1370851,1380940,1390850,1470851,1482441,1500851,1510851,1520851,1570851,1580851,1590251,1650157,1700821,1720841,1780841,1820841,1830081,1840031,1870241,1880851,1950491,1970852,1980841
贵州,移动,1350852,1360852,1370852,1380941,1390851,1470852,1482442,1500852,1510852,1520852,1570852,1580852,1590252,1650158,1700822,1720842,1780842,1820842,1830082,1840032,1870242,1880852,1950492,1970853,1980842
贵州,移动,1350853,1360853,1370853,1380942,1390852,1470853,1482443,1500853,1510853,1520853,1570853,1580853,1590253,1650159,1700840,1720843,1780843,1820843,1830083,1840033,1870243,1880853,1950493,1970854,1980843
贵州,移动,1350854,1360854,1370854,1380943,1390853,1470854,1482444,1500854,1510854,1520854,1570854,1580854,1590254,1650385,1700841,1720844,1780844,1820844,1830084,1840034,1870244,1880854,1950494,1970855,1980844
贵州,移动,1350855,1360855,1370855,1380944,1390854,1470855,1485113,1500855,1510855,1520855,1570855,1580855,1590255,1650643,1700850,1720845,1780845,1820845,1830085,1840039,1870245,1880855,1950495,1970856,1980845
贵州,移动,1350856,1360856,1370856,1380945,1390855,1470856,,1500856,1510856,1520856,1570856,1580856,1590256,1650651,1700851,1720846,1780846,1820846,1830086,1840850,1870246,1880856,1950496,1970857,1980846
贵州,移动,1350857,1360857,1370857,1380946,1390856,1470857,,1500857,1510857,1520857,1570857,1580857,1590257,1650652,1700852,1720847,1780847,1820847,1830087,1840851,1870247,1880857,1950497,1970858,1980847
贵州,移动,1350858,1360858,1370858,1380947,1390857,1470858,,1500858,1510858,1520858,1570858,1580858,1590258,1650658,1700853,1720848,1780848,1820848,1830088,1840852,1870248,1880858,1950498,1970859,1980848
贵州,移动,1350859,1360859,1370859,1380948,1390858,1470859,,1500859,1510859,1520859,1570859,1580859,1590259,1650667,1700854,1720849,1780849,1820849,1830089,1840853,1870249,1880859,1950499,1971085,1980849
贵州,移动,1351180,1361850,1372150,1380949,1390859,1470860,,1508500,1511730,1520860,1570860,1587010,1590260,1650669,1700855,1720850,1780850,1820850,1830090,1840854,1870850,1884850,1950850,1971851,1980850
贵州,移动,1351181,1361851,1372151,1388500,1398400,1470861,,1508501,1511731,1520861,1570861,1587011,1590261,1650802,1700856,1720851,1780851,1820851,1830091,1840855,1870851,1884851,1950851,1971852,1980851
贵州,移动,1351182,1361852,1372152,1388501,1398401,1470862,,1508502,1511732,1520862,1570862,1587012,1590262,1650803,1700857,1720852,1780852,1820852,1830092,1840856,1870852,1884852,1950852,1971853,1980852
贵州,移动,1351183,1361853,1372153,1388502,1398402,1470863,,1508503,1511733,1520863,1570863,1587013,1590263,1650804,1700858,1720853,1780853,1820853,1830093,1840857,1870853,1884853,1950853,1971854,1980853
贵州,移动,1351184,1361854,1372154,1388503,1398403,1470864,,1508504,1511734,1520864,1570864,1587014,1590264,1650805,1700859,1720854,1780854,1820854,1830094,1840858,1870854,1884854,1950854,1971855,1980854
贵州,移动,1351185,1361855,1372155,1388504,1398404,1470865,,1508505,1511735,1520865,1570865,1587015,1590265,1650806,1701848,1720855,1780855,1820855,1830095,1840859,1870855,1884855,1950855,1971856,1980855
贵州,移动,1351186,1361856,1372156,1388505,1398405,1470866,,1508506,1511736,1520866,1570866,1587016,1590266,1650807,1701849,1720856,1780856,1820856,1830096,1846750,1870856,1884856,1950856,1971857,1980856
贵州,移动,1351187,1361857,1372157,1388506,1398406,1470867,,1508507,1511737,1520867,1570867,1587017,1590267,1650809,1701850,1720857,1780857,1820857,1830097,1846751,1870857,1884857,1950857,1971858,1980857
贵州,移动,1351188,1361858,1372158,1388507,1398407,1470868,,1508508,1511738,1520868,1570868,1587018,1590268,1650810,1701851,1720858,1780858,1820858,1830098,1846752,1870858,1884858,1950858,1971859,1980858
贵州,移动,1351189,1361859,1372159,1388508,1398408,1470869,,1508509,1511739,1520869,1570869,1587019,1590269,1650851,1701852,1720859,1780859,1820859,1830099,1846753,1870859,1884859,1950859,1972085,1980859
