省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
贵州,联通,1300780,1311630,1320850,1452560,1550850,1560850,1660850,1670032,1710230,1750850,1760850,1850850,1860850,1960850
贵州,联通,1300781,1311631,1320851,1452561,1550851,1560851,1660851,1670047,1710231,1750851,1760851,1850851,1860851,1960851
贵州,联通,1300782,1311632,1320852,1452562,1550852,1560852,1660852,1670136,1710232,1750852,1760852,1850852,1860852,1960852
贵州,联通,1300783,1311633,1320853,1452563,1550853,1560853,1660853,1670155,1710233,1750853,1760853,1850853,1860853,1960853
贵州,联通,1300784,1311634,1320854,1452564,1550854,1560854,1660854,1670261,1710234,1750854,1760854,1850854,1860854,1960854
贵州,联通,1300785,1311635,1320855,1452565,1550855,1560855,1660855,1670346,1710235,1750855,1760855,1850855,1860855,1960855
贵州,联通,1300786,1311636,1320856,1452566,1550856,1560856,1660856,1670449,1710236,1750856,1760856,1850856,1860856,1960856
贵州,联通,1300787,1311637,1320857,1452567,1550857,1560857,1660857,1670481,1710237,1750857,1760857,1850857,1860857,1960857
贵州,联通,1300788,1311638,1320858,1452568,1550858,1560858,1660858,1670542,1710238,1750858,1760858,1850858,1860858,1960858
贵州,联通,1300789,1311639,1320859,1452569,1550859,1560859,1660859,1670851,1710239,1750859,1760859,1850859,1860859,1960859
贵州,联通,1301078,1311640,1323850,1453560,1551900,1562800,1666750,1670854,1712080,1758420,1767890,1858440,1868410,1963625
贵州,联通,1301700,1311641,1323851,1453561,1551901,1562801,1666751,1670855,1712081,1758421,1767891,1858441,1868411,1968500
贵州,联通,1301701,1311642,1323852,1453562,1551902,1562802,1666752,1670856,1712082,1758422,1767892,1858442,1868412,1968501
贵州,联通,1301702,1311643,1323853,1453563,1551903,1562803,1666753,1670857,1712083,1758423,1767893,1858443,1868413,1968502
贵州,联通,1301703,1311644,1323854,1453564,1551904,1562804,1666754,1670858,1712084,1758424,1767894,1858444,1868414,1968503
贵州,联通,1301704,1311645,1323855,1453565,1551905,1562805,1666755,1670859,1712085,1758425,1767895,1858445,1868415,1968504
贵州,联通,1301705,1311646,1323856,1453566,1551906,1562806,1666756,1671850,1712086,1758426,1767896,1858446,1868416,1968505
贵州,联通,1301706,1311647,1323857,1453567,1551907,1562807,1666757,1671851,1712087,1758427,1767897,1858447,1868417,1968506
贵州,联通,1301707,1311648,1323858,1453568,1551908,1562808,1666758,1671852,1712088,1758428,1767898,1858448,1868418,1968507
贵州,联通,1301708,1311649,1323859,1453569,1551909,1562809,1666759,1671853,1712089,1758429,1767899,1858449,1868419,1968508
贵州,联通,1301709,1311850,,1454380,1551910,1568500,1668360,1671854,1713840,1758430,1768400,1858500,1868500,1968509
贵州,联通,1301740,1311851,,1454381,1551911,1568501,1668361,1671855,1713841,1758431,1768401,1858501,1868501,
贵州,联通,1301741,1311852,,1454382,1551912,1568502,1668362,1671856,1713842,1758432,1768402,1858502,1868502,
贵州,联通,1301742,1311853,,1454383,1551913,1568503,1668363,1671857,1713843,1758433,1768403,1858503,1868503,
贵州,联通,1301743,1311854,,1454384,1551914,1568504,1668364,1671858,1713844,1758434,1768404,1858504,1868504,
贵州,联通,1301744,1311855,,1454385,1551915,1568505,1668365,1671859,1713845,1758435,1768405,1858505,1868505,
贵州,联通,1301745,1311856,,1454386,1551916,1568506,1668366,1674642,1713846,1758436,1768406,1858506,1868506,
贵州,联通,1301746,1311857,,1454387,1551917,1568507,1668367,1674643,1713847,1758437,1768407,1858507,1868507,
贵州,联通,1301747,1311858,,1454388,1551918,1568508,1668368,1674644,1713848,1758438,1768408,1858508,1868508,
贵州,联通,1301748,1311859,,1454389,1551919,1568509,1668369,1674645,1713849,1758439,1768409,1858509,1868509,
贵州,联通,1301749,1312360,,1454390,1551920,1568510,1668370,1674646,1713850,1758440,1768410,1858510,1868510,
贵州,联通,1302780,1312361,,1454391,1551921,1568511,1668371,1674647,1713851,1758441,1768411,1858511,1868511,
贵州,联通,1302781,1312362,,1454392,1551922,1568512,1668372,1674858,1713852,1758442,1768412,1858512,1868512,
贵州,联通,1302782,1312363,,1454393,1551923,1568513,1668373,1674859,1713853,1758443,1768413,1858513,1868513,
贵州,联通,1302783,1312364,,1454394,1551924,1568514,1668374,1674860,1713854,1758444,1768414,1858514,1868514,
贵州,联通,1302784,1312365,,1454395,1551925,1568515,1668375,1674861,1713855,1758445,1768415,1858515,1868515,
贵州,联通,1302785,1312366,,1454396,1551926,1568516,1668376,1674862,1713856,1758446,1768416,1858516,1868516,
贵州,联通,1302786,1312367,,1454397,1551927,1568517,1668377,1674863,1713857,1758447,1768417,1858517,1868517,
贵州,联通,1302787,1312368,,1454398,1551928,1568518,1668378,1675783,1713858,1758448,1768418,1858518,1868518,
贵州,联通,1302788,1312369,,1454399,1551929,1568519,1668379,1675810,1713859,1758449,1768419,1858519,1868519,
贵州,联通,1302789,1312460,,1459350,1551930,1568520,1668380,1675944,1713920,1758470,1768420,1858520,1868520,
贵州,联通,1303550,1312461,,1459351,1551931,1568521,1668381,1676827,1713921,1758471,1768421,1858521,1868521,
贵州,联通,1303551,1312462,,1459352,1551932,1568522,1668382,1676835,1713922,1758472,1768422,1858522,1868522,
贵州,联通,1303552,1312463,,1459353,1551933,1568523,1668383,1676836,1713923,1758473,1768423,1858523,1868523,
贵州,联通,1303553,1312464,,1459354,1551934,1568524,1668384,1676837,1713924,1758474,1768424,1858524,1868524,
贵州,联通,1303554,1312465,,1459355,1551935,1568525,1668385,1676838,1713925,1758475,1768425,1858525,1868525,
贵州,联通,1303555,1312466,,1459356,1551936,1568526,1668386,1676839,1713926,1758476,1768426,1858526,1868526,
贵州,联通,1303556,1312467,,1459357,1551937,1568527,1668387,1676849,1713927,1758477,1768427,1858527,1868527,
贵州,联通,1303557,1312468,,1459358,1551938,1568528,1668388,1676850,1713928,1758478,1768428,1858528,1868528,
贵州,联通,1303558,1312469,,1459359,1551939,1568529,1668389,1676851,1713929,1758479,1768429,1858529,1868529,
贵州,联通,1303559,1315800,,1459360,1551940,1568530,1668390,1676852,1714851,1758480,1768500,1858530,1868530,
贵州,联通,1303780,1315801,,1459361,1551941,1568531,1668391,1676853,1714856,1758481,1768501,1858531,1868531,
贵州,联通,1303781,1315802,,1459362,1551942,1568532,1668392,1676854,1714857,1758482,1768502,1858532,1868532,
贵州,联通,1303782,1315803,,1459363,1551943,1568533,1668393,1676864,1714858,1758483,1768503,1858533,1868533,
贵州,联通,1303783,1315804,,1459364,1551944,1568534,1668394,1676960,1714980,1758484,1768504,1858534,1868534,
贵州,联通,1303784,1315805,,1459365,1551945,1568535,1668395,1676961,1714981,1758485,1768505,1858535,1868535,
贵州,联通,1303785,1315806,,1459366,1551946,1568536,1668396,1676962,1714982,1758486,1768506,1858536,1868536,
贵州,联通,1303786,1315807,,1459367,1551947,1568537,1668397,1676963,1715850,1758487,1768507,1858537,1868537,
贵州,联通,1303787,1315808,,1459368,1551948,1568538,1668398,1677851,1715851,1758488,1768508,1858538,1868538,
贵州,联通,1303788,1315809,,1459369,1551949,1568539,1668399,1677856,1715852,1758489,1768509,1858539,1868539,
贵州,联通,1303789,1315810,,1459370,1551950,1568540,1668450,1677857,1715853,1758490,1768510,1858540,1868540,
贵州,联通,1304850,1315811,,1459371,1551951,1568541,1668451,1677858,1715854,1758491,1768511,1858541,1868541,
贵州,联通,1304851,1315812,,1459372,1551952,1568542,1668452,1678185,1715855,1758492,1768512,1858542,1868542,
贵州,联通,1304852,1315813,,1459373,1551953,1568543,1668453,1678201,1715856,1758493,1768513,1858543,1868543,
贵州,联通,1304853,1315814,,1459374,1551954,1568544,1668454,1678240,1715857,1758494,1768514,1858544,1868544,
贵州,联通,1304854,1315815,,1459375,1551955,1568545,1668455,1678368,1715858,1758495,1768515,1858545,1868545,
贵州,联通,1304855,1315816,,1459376,1551956,1568546,1668456,1678369,1715859,1758496,1768516,1858546,1868546,
贵州,联通,1304856,1315817,,1459377,1551957,1568547,1668457,1678370,1715920,1758497,1768517,1858547,1868547,
贵州,联通,1304857,1315818,,1459378,1551958,1568548,1668458,1678371,1715921,1758498,1768518,1858548,1868548,
贵州,联通,1304858,1315819,,1459379,1551959,1568549,1668459,1678372,1715922,1758499,1768519,1858549,1868549,
贵州,联通,1304859,1315820,,1459380,1551960,1568550,1668460,1678373,1715923,1758500,1768520,1858550,1868550,
贵州,联通,1304950,1315821,,1459381,1551961,1568551,1668461,1678374,1715924,1758501,1768521,1858551,1868551,
贵州,联通,1304951,1315822,,1459382,1551962,1568552,1668462,1678510,1715925,1758502,1768522,1858552,1868552,
贵州,联通,1304952,1315823,,1459383,1551963,1568553,1668463,1678525,1715926,1758503,1768523,1858553,1868553,
贵州,联通,1304953,1315824,,1459384,1551964,1568554,1668464,1678526,1715927,1758504,1768524,1858554,1868554,
贵州,联通,1304954,1315825,,1459385,1551965,1568555,1668465,1678527,1715928,1758505,1768525,1858555,1868555,
贵州,联通,1304955,1315826,,1459386,1551966,1568556,1668466,1678529,1715929,1758506,1768526,1858556,1868556,
贵州,联通,1304956,1315827,,1459387,1551967,1568557,1668467,1678530,1716850,1758507,1768527,1858557,1868557,
贵州,联通,1304957,1315828,,1459388,1551968,1568558,1668468,1678550,1716851,1758508,1768528,1858558,1868558,
贵州,联通,1304958,1315829,,1459389,1551969,1568559,1668469,1678560,1716852,1758509,1768529,1858559,1868559,
贵州,联通,1304959,1315830,,1459390,1551970,1568560,1668470,1678582,1716853,1758510,1768530,1858560,1868560,
贵州,联通,1307850,1315831,,1459391,1551971,1568561,1668471,1678584,1716854,1758511,1768531,1858561,1868561,
贵州,联通,1307851,1315832,,1459392,1551972,1568562,1668472,1678675,1716855,1758512,1768532,1858562,1868562,
贵州,联通,1307852,1315833,,1459393,1551973,1568563,1668473,1679851,1716856,1758513,1768533,1858563,1868563,
贵州,联通,1307853,1315834,,1459394,1551974,1568564,1668474,1679856,1716857,1758514,1768534,1858564,1868564,
贵州,联通,1307854,1315835,,1459395,1551975,1568565,1668475,1679857,1716858,1758515,1768535,1858565,1868565,
贵州,联通,1307855,1315836,,1459396,1551976,1568566,1668476,1679858,1716859,1758516,1768536,1858566,1868566,
贵州,联通,1307856,1315837,,1459397,1551977,1568567,1668477,,1716920,1758517,1768537,1858567,1868567,
贵州,联通,1307857,1315838,,1459398,1551978,1568568,1668478,,1716921,1758518,1768538,1858568,1868568,
贵州,联通,1307858,1315839,,1459399,1551979,1568569,1668479,,1716922,1758519,1768539,1858569,1868569,
贵州,联通,1307859,1319510,,,1551980,1568570,1668480,,1716923,1758520,,1858570,1868570,
贵州,联通,1308690,1319511,,,1551981,1568571,1668481,,1716924,1758521,,1858571,1868571,
贵州,联通,1308691,1319512,,,1551982,1568572,1668482,,1716925,1758522,,1858572,1868572,
贵州,联通,1308692,1319513,,,1551983,1568573,1668483,,1716926,1758523,,1858573,1868573,
