省份,运营商,192 号段
辽宁,广电,1920240
辽宁,广电,1920241
辽宁,广电,1920242
辽宁,广电,1920243
辽宁,广电,1920244
辽宁,广电,1920245
辽宁,广电,1920246
辽宁,广电,1920247
辽宁,广电,1920248
辽宁,广电,1920249
辽宁,广电,1920410
辽宁,广电,1920411
辽宁,广电,1920412
辽宁,广电,1920413
辽宁,广电,1920414
辽宁,广电,1920415
辽宁,广电,1920416
辽宁,广电,1920417
辽宁,广电,1920418
辽宁,广电,1920419
辽宁,广电,1920420
辽宁,广电,1920421
辽宁,广电,1920422
辽宁,广电,1920423
辽宁,广电,1920424
辽宁,广电,1920425
辽宁,广电,1920426
辽宁,广电,1920427
辽宁,广电,1920428
辽宁,广电,1920429
辽宁,广电,1921410
辽宁,广电,1921411
辽宁,广电,1921412
辽宁,广电,1921413
辽宁,广电,1921414
辽宁,广电,1921415
辽宁,广电,1921416
辽宁,广电,1921417
辽宁,广电,1921418
辽宁,广电,1921419
辽宁,广电,1921420
辽宁,广电,1921421
辽宁,广电,1921422
辽宁,广电,1921423
辽宁,广电,1921424
辽宁,广电,1921425
辽宁,广电,1921426
辽宁,广电,1921427
辽宁,广电,1921428
辽宁,广电,1921429
辽宁,广电,1922220
辽宁,广电,1922221
辽宁,广电,1922222
辽宁,广电,1922223
辽宁,广电,1922224
辽宁,广电,1922225
辽宁,广电,1922226
辽宁,广电,1922227
辽宁,广电,1922228
辽宁,广电,1922229
辽宁,广电,1922324
辽宁,广电,1922388
辽宁,广电,1922411
辽宁,广电,1922420
辽宁,广电,1923240
辽宁,广电,1923241
辽宁,广电,1923242
辽宁,广电,1923243
辽宁,广电,1923244
辽宁,广电,1923245
辽宁,广电,1923246
辽宁,广电,1923247
辽宁,广电,1923248
辽宁,广电,1923249
辽宁,广电,1923410
辽宁,广电,1923411
辽宁,广电,1923412
辽宁,广电,1923413
辽宁,广电,1923414
辽宁,广电,1923415
辽宁,广电,1923416
辽宁,广电,1923417
辽宁,广电,1923418
辽宁,广电,1923419
辽宁,广电,1923420
辽宁,广电,1923421
辽宁,广电,1923422
辽宁,广电,1923423
辽宁,广电,1923424
辽宁,广电,1923425
辽宁,广电,1923426
辽宁,广电,1923427
辽宁,广电,1923428
辽宁,广电,1923429
辽宁,广电,1924240
辽宁,广电,1924241
辽宁,广电,1924242
辽宁,广电,1924243
辽宁,广电,1924244
辽宁,广电,1924245
辽宁,广电,1924246
辽宁,广电,1924247
辽宁,广电,1924248
辽宁,广电,1924249
辽宁,广电,1924400
辽宁,广电,1924401
辽宁,广电,1924402
辽宁,广电,1924403
辽宁,广电,1924404
辽宁,广电,1924405
辽宁,广电,1924406
辽宁,广电,1924407
辽宁,广电,1924408
辽宁,广电,1924409
辽宁,广电,1924410
辽宁,广电,1924411
辽宁,广电,1924412
辽宁,广电,1924413
辽宁,广电,1924414
辽宁,广电,1924415
辽宁,广电,1924416
辽宁,广电,1924417
辽宁,广电,1924418
辽宁,广电,1924419
辽宁,广电,1925030
辽宁,广电,1925031
辽宁,广电,1925032
辽宁,广电,1925033
辽宁,广电,1925034
辽宁,广电,1925035
辽宁,广电,1925036
辽宁,广电,1925037
辽宁,广电,1925038
辽宁,广电,1925039
辽宁,广电,1925420
辽宁,广电,1925421
辽宁,广电,1925422
辽宁,广电,1925423
辽宁,广电,1925424
辽宁,广电,1925425
辽宁,广电,1925426
辽宁,广电,1925427
辽宁,广电,1925428
辽宁,广电,1925429
辽宁,广电,1925990
辽宁,广电,1925991
辽宁,广电,1925992
辽宁,广电,1925993
辽宁,广电,1925994
辽宁,广电,1925995
辽宁,广电,1925996
辽宁,广电,1925997
辽宁,广电,1925998
辽宁,广电,1925999
辽宁,广电,1926030
辽宁,广电,1926031
辽宁,广电,1926032
辽宁,广电,1926033
辽宁,广电,1926034
辽宁,广电,1926035
辽宁,广电,1926036
辽宁,广电,1926037
辽宁,广电,1926038
辽宁,广电,1926039
辽宁,广电,1926410
辽宁,广电,1926411
辽宁,广电,1926412
辽宁,广电,1926413
辽宁,广电,1926414
辽宁,广电,1926415
辽宁,广电,1926416
辽宁,广电,1926417
辽宁,广电,1926418
辽宁,广电,1926419
辽宁,广电,1926420
辽宁,广电,1926421
辽宁,广电,1926422
辽宁,广电,1926423
辽宁,广电,1926424
辽宁,广电,1926425
辽宁,广电,1926426
辽宁,广电,1926427
辽宁,广电,1926428
辽宁,广电,1926429
辽宁,广电,1926450
辽宁,广电,1926451
辽宁,广电,1926452
