省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
辽宁,电信,1330400,1530400,1621283,1730240,1770240,1800240,1810040,1890090,1900410,1910097,1930060,1990400
辽宁,电信,1330401,1530401,1621284,1730241,1770241,1800241,1810041,1890091,1900411,1910240,1930061,1990401
辽宁,电信,1330402,1530402,1621285,1730242,1770242,1800242,1810042,1890092,1900412,1910241,1930062,1990402
辽宁,电信,1330403,1530403,1621286,1730243,1770243,1800243,1810043,1890093,1900413,1910242,1930063,1990403
辽宁,电信,1330404,1530404,1621287,1730244,1770244,1800244,1810240,1890094,1900414,1910243,1930064,1990404
辽宁,电信,1330405,1530405,1621289,1730245,1770245,1800245,1810241,1890095,1900415,1910244,1930065,1990405
辽宁,电信,1330406,1530406,1621300,1730246,1770246,1800246,1810242,1890096,1900416,1910245,1930066,1990406
辽宁,电信,1330407,1530407,1621301,1730247,1770247,1800247,1810243,1890097,1900417,1910246,1930067,1990407
辽宁,电信,1330408,1530408,1621302,1730248,1770248,1800248,1810244,1890098,1900418,1910247,1930068,1990408
辽宁,电信,1330409,1530409,1621303,1730249,1770249,1800249,1810245,1890099,1900419,1910248,1930069,1990409
辽宁,电信,1330410,1530410,1621304,1730410,1770410,1800400,1810246,1890400,1900980,1910249,1930410,1990410
辽宁,电信,1330411,1530411,1621305,1730411,1770411,1800401,1810247,1890401,1900981,1910410,1930411,1990411
辽宁,电信,1330412,1530412,1621306,1730412,1770412,1800402,1810248,1890402,1900982,1910411,1930412,1990412
辽宁,电信,1330413,1530413,1621307,1730413,1770413,1800403,1810249,1890403,1900983,1910412,1930413,1990413
辽宁,电信,1330414,1530414,1621308,1730414,1770414,1800404,1810400,1890404,1900984,1910413,1930414,1990414
辽宁,电信,1330415,1530415,1621309,1730415,1770415,1800405,1810401,1890405,1900985,1910414,1930415,1990415
辽宁,电信,1330416,1530416,1621310,1730416,1770416,1800406,1810402,1890406,1900986,1910415,1930416,1990416
辽宁,电信,1330417,1530417,1621311,1730417,1770417,1800407,1810403,1890407,1900987,1910416,1930417,1990417
辽宁,电信,1330418,1530418,1621312,1730418,1770418,1800408,1810404,1890408,1900988,1910417,1930418,1990418
辽宁,电信,1330419,1530419,1621313,1730419,1770419,1800409,1810405,1890409,1900989,1910418,1930419,1990419
辽宁,电信,1330420,1530420,1621314,1730420,1770420,1800410,1810406,1890410,,1910419,1930420,1990420
辽宁,电信,1330421,1530421,1621315,1730421,1770421,1800411,1810407,1890411,,1910422,1930421,1990421
辽宁,电信,1330422,1530422,1621316,1730422,1770422,1800412,1810408,1890412,,1910423,1930422,1990422
辽宁,电信,1330423,1530423,1621317,1730423,1770423,1800413,1810409,1890413,,1910424,1930423,1990423
辽宁,电信,1330424,1530424,1621318,1730424,1770424,1800414,1810410,1890414,,1910425,1930424,1990424
辽宁,电信,1330425,1530425,1621319,1730425,1770425,1800415,1810411,1890415,,1910427,1930425,1990425
辽宁,电信,1330426,1530426,1621320,1730426,1770426,1800416,1810412,1890416,,1914110,1930426,1990426
辽宁,电信,1330427,1530427,1621321,1730427,1770427,1800417,1810413,1890417,,1914111,1930427,1990427
辽宁,电信,1330428,1530428,1621322,1730428,1770428,1800418,1810414,1890418,,1914112,1930428,1990428
辽宁,电信,1330429,1530429,1621323,1730429,1770429,1800419,1810415,1890419,,1914113,1930429,1990429
辽宁,电信,1330490,1530490,1621324,1730980,1770980,1800420,1810416,1890420,,1914114,1930980,1990490
辽宁,电信,1330491,1530491,1621325,1730981,1770981,1800421,1810417,1890421,,1914115,1930981,1990491
辽宁,电信,1330492,1530492,1621326,1730982,1770982,1800422,1810418,1890422,,1914116,1930982,1990492
辽宁,电信,1330493,1530493,1621327,1730983,1770983,1800423,1810419,1890423,,1914117,1930983,1990493
辽宁,电信,1330494,1530494,1621328,1730984,1770984,1800424,1810420,1890424,,1914118,1930984,1990494
辽宁,电信,1330495,1530495,1621329,1730985,1770985,1800425,1810421,1890425,,1914119,1930985,1990495
辽宁,电信,1330496,1530496,1621330,1730986,1770986,1800426,1810422,1890426,,,1930986,1990496
辽宁,电信,1330497,1530497,1621331,1730987,1770987,1800427,1810423,1890427,,,1930987,1990497
辽宁,电信,1330498,1530498,1621332,1730988,1770988,1800428,1810424,1890428,,,1930988,1990498
辽宁,电信,1330499,1530499,1621334,1730989,1770989,1800429,1810425,1890429,,,1930989,1990499
辽宁,电信,1330980,1530980,1621335,1734100,1774000,1800490,1810426,1890490,,,1936374,1990980
辽宁,电信,1330981,1530981,1621336,1734101,1774001,1800491,1810427,1890491,,,1936375,1990981
辽宁,电信,1330982,1530982,1621337,1734102,1774002,1800492,1810428,1890492,,,1936376,1990982
辽宁,电信,1330983,1530983,1621338,1734103,1774003,1800493,1810429,1890493,,,1936377,1990983
辽宁,电信,1330984,1530984,1621339,1734104,1774004,1800494,1810490,1890494,,,,1990984
辽宁,电信,1330985,1530985,1621340,1734105,1774005,1800495,1810491,1890495,,,,1990985
辽宁,电信,1330986,1530986,1621341,1734106,1774006,1800496,1810492,1890496,,,,1990986
