省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
辽宁,移动,1344038,1350040,1360400,1370000,1380004,1390001,1470240,1482512,1500240,1510240,1520400,1570240,1580240,1590240,1650024,1700240,1720138,1780240,1820240,1830240,1840240,1870400,1880240,1950240,1970041,1980240
辽宁,移动,1344039,1350041,1360401,1370001,1380005,1390002,1470241,1482513,1500241,1510241,1520401,1570241,1580241,1590241,1650027,1700241,1720139,1780241,1820241,1830241,1840241,1870401,1880241,1950241,1970042,1980241
辽宁,移动,1344040,1350042,1360402,1370002,1380006,1390027,1470242,1482514,1500242,1510242,1520402,1570242,1580242,1590242,1650029,1700242,1720200,1780242,1820242,1830242,1840242,1870402,1880242,1950242,1970411,1980242
辽宁,移动,1344041,1350043,1360403,1370003,1380024,1390037,1470243,1482515,1500243,1510243,1520403,1570243,1580243,1590243,1650030,1700243,1720201,1780243,1820243,1830243,1840243,1870403,1880243,1950243,1970412,1980243
辽宁,移动,1344042,1350044,1360404,1370004,1380041,1390038,1470244,1482516,1500244,1510244,1520404,1570244,1580244,1590244,1650031,1700244,1720202,1780244,1820244,1830244,1840244,1870404,1880244,1950244,1970414,1980244
辽宁,移动,1344139,1350045,1360405,1370005,1380042,1390039,1470245,1482517,1500245,1510245,1520405,1570245,1580245,1590245,1650032,1700245,1720203,1780245,1820245,1830245,1840245,1870405,1880245,1950245,1970415,1980245
辽宁,移动,1344140,1350046,1360406,1370006,1380400,1390041,1470246,1482518,1500246,1510246,1520406,1570246,1580246,1590246,1650038,1700246,1720204,1780246,1820246,1830246,1840246,1870406,1880246,1950246,1970416,1980246
辽宁,移动,1344238,1350047,1360407,1370007,1380401,1390042,1470247,1482519,1500247,1510247,1520407,1570247,1580247,1590247,1650039,1700247,1720205,1780247,1820247,1830247,1840247,1870407,1880247,1950247,1970417,1980247
辽宁,移动,1344338,1350048,1360408,1370008,1380402,1390049,1470248,1482520,1500248,1510248,1520408,1570248,1580248,1590248,1650055,1700248,1720206,1780248,1820248,1830248,1840248,1870408,1880248,1950248,1970418,1980248
辽宁,移动,1346400,1350049,1360409,1370009,1380403,1390098,1470249,1482521,1500249,1510249,1520409,1570249,1580249,1590249,1650077,1700249,1720207,1780249,1820249,1830249,1840249,1870409,1880249,1950249,1970419,1980249
辽宁,移动,1346401,1350070,1360410,1370010,1380404,1390400,1470400,1482522,1500400,1510400,1520410,1570410,1580400,1590400,1650090,1700388,1720208,1780410,1820400,1830400,1840260,1870410,1880400,1950410,1970421,1980410
辽宁,移动,1346402,1350071,1360411,1370011,1380405,1390401,1470401,1482523,1500401,1510401,1520411,1570411,1580401,1590401,1650091,1700410,1720209,1780411,1820401,1830401,1840261,1870411,1880401,1950411,1970427,1980411
辽宁,移动,1346403,1350072,1360412,1370012,1380406,1390402,1470402,1482524,1500402,1510402,1520412,1570412,1580402,1590402,1650092,1700411,1720210,1780412,1820402,1830402,1840262,1870412,1880402,1950412,1970429,1980412
辽宁,移动,1346404,1350073,1360413,1370013,1380407,1390403,1470403,1482525,1500403,1510403,1520413,1570413,1580403,1590403,1650095,1700412,1720211,1780413,1820403,1830403,1840263,1870413,1880403,1950413,1971024,1980413
辽宁,移动,1346405,1350074,1360414,1370014,1380408,1390404,1470404,1482526,1500404,1510404,1520414,1570414,1580404,1590404,1650096,1700413,1720212,1780414,1820404,1830404,1840264,1870414,1880404,1950414,1971041,1980414
辽宁,移动,1346406,1350075,1360415,1370015,1380409,1390405,1470405,1482527,1500405,1510405,1520415,1570415,1580405,1590405,1650097,1700414,1720213,1780415,1820405,1830405,1840265,1870415,1880405,1950415,1971042,1980415
辽宁,移动,1346407,1350076,1360416,1370016,1380410,1390406,1470406,1482528,1500406,1510406,1520416,1570416,1580406,1590406,1650098,1700415,1720214,1780416,1820406,1830406,1840266,1870416,1880406,1950416,1971411,1980416
辽宁,移动,1346408,1350077,1360417,1370017,1380411,1390407,1470407,1482529,1500407,1510407,1520417,1570417,1580407,1590407,1650153,1700416,1720215,1780417,1820407,1830407,1840267,1870417,1880407,1950417,1972259,1980417
辽宁,移动,1346409,1350078,1360418,1370018,1380412,1390408,1470408,1482530,1500408,1510408,1520418,1570418,1580408,1590408,1650168,1700417,1720216,1780418,1820408,1830408,1840268,1870418,1880408,1950418,1972260,1980418
辽宁,移动,1346410,1350079,1360419,1370019,1380413,1390409,1470409,1482531,1500409,1510409,1520419,1570419,1580409,1590409,1650184,1700418,1720217,1780419,1820409,1830409,1840269,1870419,1880409,1950419,1972261,1980419
辽宁,移动,1346411,1350400,1360420,1370400,1380414,1390410,1470410,,1500410,1510410,1520420,1570420,1580410,1590410,1650185,1700419,1720218,1780420,1820410,1830410,1840410,1870420,1880410,1950420,1972262,1980420
辽宁,移动,1346412,1350401,1360421,1370401,1380415,1390411,1470411,,1500411,1510411,1520421,1570421,1580411,1590411,1650186,1700420,1720219,1780421,1820411,1830411,1840411,1870421,1880411,1950421,1972263,1980421
辽宁,移动,1346413,1350402,1360422,1370402,1380416,1390412,1470412,,1500412,1510412,1520422,1570422,1580412,1590412,1650187,1700421,1720220,1780422,1820412,1830412,1840412,1870422,1880412,1950422,1972264,1980422
辽宁,移动,1346414,1350403,1360423,1370403,1380417,1390413,1470413,,1500413,1510413,1520423,1570423,1580413,1590413,1650188,1700422,1720221,1780423,1820413,1830413,1840413,1870423,1880413,1950423,1972265,1980423
辽宁,移动,1346415,1350404,1360424,1370404,1380418,1390414,1470414,,1500414,1510414,1520424,1570424,1580414,1590414,1650202,1700423,1720222,1780424,1820414,1830414,1840414,1870424,1880414,1950424,1972266,1980424
辽宁,移动,1346416,1350405,1360425,1370405,1380419,1390415,1470415,,1500415,1510415,1520425,1570425,1580415,1590415,1650211,1700424,1720223,1780425,1820415,1830415,1840415,1870425,1880415,1950425,1972267,1980425
辽宁,移动,1346417,1350406,1360426,1370406,1380420,1390416,1470416,,1500416,1510416,1520426,1570426,1580416,1590416,1650222,1700425,1720224,1780426,1820416,1830416,1840416,1870426,1880416,1950426,1972268,1980426
辽宁,移动,1346418,1350407,1360427,1370407,1380421,1390417,1470417,,1500417,1510417,1520427,1570427,1580417,1590417,1650233,1700426,1720225,1780427,1820417,1830417,1840417,1870427,1880417,1950427,1972619,1980427
辽宁,移动,1346419,1350408,1360428,1370408,1380422,1390418,1470418,,1500418,1510418,1520428,1570428,1580418,1590418,1650240,1700427,1720226,1780428,1820418,1830418,1840418,1870428,1880418,1950428,1972620,1980428
辽宁,移动,1346420,1350409,1360429,1370409,1380423,1390419,1470419,,1500419,1510419,1520429,1570429,1580419,1590419,1650241,1700428,1720227,1780429,1820419,1830419,1840419,1870429,1880419,1950429,1972621,1980429
辽宁,移动,1346421,1350410,1360490,1370410,1380424,1390420,1470420,,1500420,1510420,1521420,1571050,1580420,1590420,1650242,1700429,1720228,1782400,1820420,1830420,1840420,1874000,1880420,1952310,1972622,1981358
辽宁,移动,1346422,1350411,1360491,1370411,1380425,1390421,1470421,,1500421,1510421,1521421,1571051,1580421,1590421,1650243,1700440,1720229,1782401,1820421,1830421,1840421,1874001,1880421,1952400,1972623,1981359
辽宁,移动,1346423,1350412,1360492,1370412,1380426,1390422,1470422,,1500422,1510422,1521422,1571052,1580422,1590422,1650244,1700441,1720230,1782402,1820422,1830422,1840422,1874002,1880422,1952401,1972625,1981360
辽宁,移动,1346424,1350413,1360493,1370413,1380427,1390423,1470423,,1500423,1510423,1521423,1571053,1580423,1590423,1650245,1700442,1720231,1782403,1820423,1830423,1840423,1874003,1880423,1952402,1972626,1981361
辽宁,移动,1346425,1350414,1360494,1370414,1380428,1390424,1470424,,1500424,1510424,1521424,1571054,1580424,1590424,1650246,1700443,1720232,1782404,1820424,1830424,1840424,1874004,1880424,1952403,1972627,1981362
辽宁,移动,1346426,1350415,1360495,1370415,1380429,1390425,1470425,,1500425,1510425,1521425,1571055,1580425,1590425,1650247,1700444,1720233,1782405,1820425,1830425,1840425,1874005,1880425,1952404,1972628,1981363
辽宁,移动,1346427,1350416,1360496,1370416,1380490,1390426,1470426,,1500426,1510426,1521426,1571056,1580426,1590426,1650248,1700445,1720234,1782406,1820426,1830426,1840426,1874006,1880426,1952405,1972629,1981364
辽宁,移动,1346428,1350417,1360497,1370417,1380491,1390427,1470427,,1500427,1510427,1521427,1571057,1580427,1590427,1650249,1700446,1720235,1782407,1820427,1830427,1840427,1874007,1880427,1952411,1972630,1981365
辽宁,移动,1346429,1350418,1360498,1370418,1380492,1390428,1470428,,1500428,1510428,1521428,1571058,1580428,1590428,1650255,1700447,1720236,1782408,1820428,1830428,1840428,1874008,1880428,1952472,1972636,1981366
辽宁,移动,1346430,1350419,1360499,1370419,1380493,1390429,1470429,,1500429,1510429,1521429,1571059,1580429,1590429,1650289,1700448,1720237,1782409,1820429,1830429,1840429,1874009,1880429,1952473,1972637,1981367
辽宁,移动,1346431,1350420,1360980,1370420,1380494,1390490,1474000,,1500980,1511410,1524100,1571230,1580490,1590490,1650321,1700449,1720238,1782410,1824000,1830980,1840600,1874010,1880980,1952474,1972638,1981368
辽宁,移动,1346432,1350421,1360981,1370421,1380495,1390491,1474001,,1500981,1511411,1524101,1571231,1580491,1590491,1650328,1701400,1720239,1782411,1824001,1830981,1840601,1874011,1880981,1952608,1972639,1981369
辽宁,移动,1346433,1350422,1360982,1370422,1380496,1390492,1474002,,1500982,1511412,1524102,1571232,1580492,1590492,1650333,1701401,1720240,1782412,1824002,1830982,1840602,1874012,1880982,1952609,1972650,1981370
辽宁,移动,1346434,1350423,1360983,1370423,1380497,1390493,1474003,,1500983,1511413,1524103,1571233,1580493,1590493,1650337,1701402,1720241,1782413,1824003,1830983,1840603,1874013,1880983,1952610,1972651,1981371
辽宁,移动,1346435,1350424,1360984,1370424,1380498,1390494,1474004,,1500984,1511414,1524104,1571234,1580494,1590494,1650362,1701403,1720242,1782414,1824004,1830984,1840604,1874014,1880984,1952612,1972652,1981860
辽宁,移动,1346436,1350425,1360985,1370425,1380499,1390495,1474005,,1500985,1511415,1524105,1571235,1580495,1590495,1650399,1701404,1720243,1782415,1824005,1830985,1840605,1874015,1880985,1952652,1972653,1981861
