省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
辽宁,联通,1300092,1310410,1320400,1450320,1550240,1560400,1660240,1670024,1711070,1750240,1760240,1850240,1860240,1960240
辽宁,联通,1300093,1310411,1320401,1450321,1550241,1560401,1660241,1670046,1711071,1750241,1760241,1850241,1860241,1960241
辽宁,联通,1300094,1310412,1320402,1450322,1550242,1560402,1660242,1670048,1711072,1750242,1760242,1850242,1860242,1960242
辽宁,联通,1300240,1310413,1320403,1450323,1550243,1560403,1660243,1670128,1711073,1750243,1760243,1850243,1860243,1960243
辽宁,联通,1300241,1310414,1320404,1450324,1550244,1560404,1660244,1670239,1711074,1750244,1760244,1850244,1860244,1960244
辽宁,联通,1300242,1310415,1320405,1450325,1550245,1560405,1660245,1670241,1711075,1750245,1760245,1850245,1860245,1960245
辽宁,联通,1300243,1310416,1320406,1450326,1550246,1560406,1660246,1670242,1711076,1750246,1760246,1850246,1860246,1960246
辽宁,联通,1300244,1310417,1320407,1450327,1550247,1560407,1660247,1670246,1711077,1750247,1760247,1850247,1860247,1960247
辽宁,联通,1300245,1310418,1320408,1450328,1550248,1560408,1660248,1670248,1711078,1750248,1760248,1850248,1860248,1960248
辽宁,联通,1300246,1310419,1320409,1450329,1550249,1560409,1660249,1670400,1711079,1750249,1760249,1850249,1860249,1960249
辽宁,联通,1300247,1310420,1320410,1450330,1550260,1560410,1660400,1670408,1711080,1750400,1760400,1850400,1860400,1960400
辽宁,联通,1300248,1310421,1320411,1450331,1550261,1560411,1660401,1670410,1711081,1750401,1760401,1850401,1860401,1960401
辽宁,联通,1300249,1310422,1320412,1450332,1550262,1560412,1660402,1670411,1711082,1750402,1760402,1850402,1860402,1960402
辽宁,联通,1300820,1310423,1320413,1450333,1550263,1560413,1660403,1670412,1711083,1750403,1760403,1850403,1860403,1960403
辽宁,联通,1300821,1310424,1320414,1450334,1550264,1560414,1660404,1670413,1711084,1750404,1760404,1850404,1860404,1960404
辽宁,联通,1300822,1310425,1320415,1450335,1550265,1560415,1660405,1670414,1711085,1750405,1760405,1850405,1860405,1960405
辽宁,联通,1300823,1310426,1320416,1450336,1550266,1560416,1660406,1670415,1711086,1750406,1760406,1850406,1860406,1960406
辽宁,联通,1300824,1310427,1320417,1450337,1550267,1560417,1660407,1670416,1711087,1750407,1760407,1850407,1860407,1960407
