省份,运营商,192 号段
重庆,广电,1920230
重庆,广电,1920231
重庆,广电,1920232
重庆,广电,1920233
重庆,广电,1920234
重庆,广电,1920235
重庆,广电,1920236
重庆,广电,1920237
重庆,广电,1920238
重庆,广电,1920239
重庆,广电,1920250
重庆,广电,1920251
重庆,广电,1920252
重庆,广电,1920253
重庆,广电,1920254
重庆,广电,1920255
重庆,广电,1920256
重庆,广电,1920257
重庆,广电,1920258
重庆,广电,1920259
重庆,广电,1921230
重庆,广电,1921231
重庆,广电,1921232
重庆,广电,1921233
重庆,广电,1921234
重庆,广电,1921235
重庆,广电,1921236
重庆,广电,1921237
重庆,广电,1921238
重庆,广电,1921239
重庆,广电,1921240
重庆,广电,1921241
重庆,广电,1921242
重庆,广电,1921243
重庆,广电,1921244
重庆,广电,1921245
重庆,广电,1921246
重庆,广电,1921247
重庆,广电,1921248
重庆,广电,1921249
重庆,广电,1921250
重庆,广电,1921251
重庆,广电,1921252
重庆,广电,1921253
重庆,广电,1921254
重庆,广电,1921255
重庆,广电,1921256
重庆,广电,1921257
重庆,广电,1921258
重庆,广电,1921259
重庆,广电,1922300
重庆,广电,1922335
重庆,广电,1922338
重庆,广电,1922340
重庆,广电,1922423
重庆,广电,1922478
重庆,广电,1923230
重庆,广电,1923231
重庆,广电,1923232
重庆,广电,1923233
重庆,广电,1923234
重庆,广电,1923235
重庆,广电,1923236
重庆,广电,1923237
重庆,广电,1923238
重庆,广电,1923239
重庆,广电,1923250
重庆,广电,1923251
重庆,广电,1923252
重庆,广电,1923253
重庆,广电,1923254
重庆,广电,1923255
重庆,广电,1923256
重庆,广电,1923257
重庆,广电,1923258
重庆,广电,1923259
重庆,广电,1923900
重庆,广电,1923901
重庆,广电,1923902
重庆,广电,1923903
重庆,广电,1923904
重庆,广电,1923905
重庆,广电,1923906
重庆,广电,1923907
重庆,广电,1923908
重庆,广电,1923909
重庆,广电,1924030
重庆,广电,1924031
重庆,广电,1924032
重庆,广电,1924033
重庆,广电,1924034
重庆,广电,1924035
重庆,广电,1924036
重庆,广电,1924037
重庆,广电,1924038
重庆,广电,1924039
重庆,广电,1924140
重庆,广电,1924141
重庆,广电,1924142
重庆,广电,1924143
重庆,广电,1924144
重庆,广电,1924145
重庆,广电,1924146
重庆,广电,1924147
重庆,广电,1924148
重庆,广电,1924149
重庆,广电,1924230
重庆,广电,1924231
重庆,广电,1924232
重庆,广电,1924233
重庆,广电,1924234
重庆,广电,1924235
重庆,广电,1924236
重庆,广电,1924237
重庆,广电,1924238
重庆,广电,1924239
重庆,广电,1925230
重庆,广电,1925231
重庆,广电,1925232
重庆,广电,1925233
