省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
重庆,电信,1330002,1531000,1621230,1730020,1770230,1800230,1810086,1890825,1900230,1910230,1930230,1990830
重庆,电信,1330003,1531001,1621231,1730021,1770231,1800231,1810087,1890826,1900231,1910231,1930231,1990831
重庆,电信,1330825,1531002,1621232,1730022,1770232,1800232,1810230,1890827,1900232,1910232,1930232,1990832
重庆,电信,1330826,1531003,1621233,1730023,1770233,1800233,1810231,1890830,1900233,1910233,1930233,1990833
重庆,电信,1330827,1531004,1621234,1730024,1770234,1800234,1810232,1890831,1900234,1910234,1930234,1990834
重庆,电信,1330830,1531005,1621235,1730025,1770235,1800235,1810233,1890832,1900235,1910235,1930235,1990835
重庆,电信,1330831,1531006,1621236,1730026,1770236,1800236,1810234,1890833,1900236,1910236,1930236,1990836
重庆,电信,1330832,1531007,1621237,1730027,1770237,1800237,1810235,1890834,1900237,1910237,1930237,1990837
重庆,电信,1330833,1531008,1621238,1730028,1770238,1800238,1810236,1890835,1900238,1910238,1930238,1990838
重庆,电信,1330834,1531009,1621239,1730029,1770239,1800239,1810237,1890836,1900239,1910239,1930239,1990839
重庆,电信,1330835,1531010,1621240,1730230,1770830,1800830,1810238,1890837,1901200,1911120,1930240,1991240
重庆,电信,1330836,1531011,1621241,1730231,1770831,1800831,1810239,1890838,1901201,1911121,1930241,1991241
重庆,电信,1330837,1531012,1621242,1730232,1770832,1800832,1810830,1890839,1901202,1911122,1930242,1991242
重庆,电信,1330838,1531013,1621243,1730233,1770833,1800833,1810831,1898300,1901203,1911123,1930243,1991243
重庆,电信,1330839,1531014,1621244,1730234,1770834,1800834,1810832,1898301,1901204,1911124,1930244,1991244
重庆,电信,1331020,1531015,1621245,1730235,1770835,1800835,1810833,1898302,1901205,1911125,1930245,1991245
重庆,电信,1331021,1531016,1621246,1730236,1770836,1800836,1810834,1898303,1901206,1911126,1930246,1991246
重庆,电信,1331022,1531017,1621247,1730237,1770837,1800837,1810835,1898304,1901207,1911127,1930247,1991247
重庆,电信,1331023,1531018,1621248,1730238,1770838,1800838,1810836,1898305,1901208,1911128,1930248,1991248
重庆,电信,1331024,1531019,1621249,1730239,1770839,1800839,1810837,1898306,1901209,1911129,1930249,1991249
重庆,电信,1331025,1531020,1622300,1730830,1771110,1808300,1810838,1898307,1901210,1911130,1932320,1992200
重庆,电信,1331026,1531021,1622301,1730831,1771111,1808301,1810839,1898308,1901211,1911131,1932321,1992201
重庆,电信,1331027,1531022,1622302,1730832,1771112,1808302,1816630,1898309,1901212,1911132,1932322,1992202
重庆,电信,1331028,1531023,1622303,1730833,1771113,1808303,1816631,1898310,1901213,1911133,1932323,1992203
重庆,电信,1331029,1531024,1622304,1730834,1771114,1808304,1816632,1898311,1901214,1911134,1932324,1992204
重庆,电信,1332020,1531025,1622305,1730835,1771115,1808305,1816633,1898312,1901215,1911135,1932325,1992205
重庆,电信,1332021,1531026,1622306,1730836,1771116,1808306,1816634,1898313,1901216,1911136,1932326,1992206
重庆,电信,1332022,1531027,1622307,1730837,1771117,1808307,1816635,1898314,1901217,1911137,1932327,1992207
重庆,电信,1332023,1531028,1622308,1730838,1771118,1808308,1816636,1898315,1901218,1911138,1932328,1992208
重庆,电信,1332024,1531029,1622309,1730839,1771119,1808309,1816637,1898316,1901219,1911139,1932329,1992209
重庆,电信,1332025,1531030,1622310,1731670,1772300,1808400,1816638,1898317,1901220,1911200,1932330,1992210
重庆,电信,1332026,1531031,1622311,1731671,1772301,1808401,1816639,1898318,1901221,1911201,1932331,1992211
重庆,电信,1332027,1531032,1622312,1731672,1772302,1808402,1816640,1898319,1901222,1911202,1932332,1992212
重庆,电信,1332028,1531033,1622313,1731673,1772303,1808403,1816641,1898320,1901223,1911203,1932333,1992213
重庆,电信,1332029,1531034,1622314,1731674,1772304,1808404,1816642,1898321,1901224,1911204,1932334,1992214
重庆,电信,1332030,1531035,1622315,1731675,1772305,1808405,1816643,1898322,1901225,1911205,1932335,1992215
重庆,电信,1332031,1531036,1622316,1731676,1772306,1808406,1816644,1898323,1901226,1911206,1932336,1992216
重庆,电信,1332032,1531037,1622317,1731677,1772307,1808407,1816645,1898324,1901227,1911207,1932337,1992217
重庆,电信,1332033,1531038,1622318,1731678,1772308,1808408,1816646,1898325,1901228,1911208,1932338,1992218
重庆,电信,1332034,1531039,1628220,1731679,1772309,1808409,1816647,1898326,1901229,1911209,1932339,1992219
重庆,电信,1332035,1531040,1628221,1731820,1772310,,1816648,1898327,1901230,1911210,1933200,1992220
重庆,电信,1332036,1531041,1628222,1731821,1772311,,1816649,1898328,1901231,1911211,1933201,1992221
