省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
重庆,移动,1343600,1350030,1360830,1370830,1380023,1390082,1470230,1480115,1500230,1510230,1520230,1570230,1580230,1590230,1650023,1700137,1720124,1780230,1820230,1830230,1840000,1870230,1880230,1950230,1971023,1980230
重庆,移动,1343601,1350031,1360831,1370831,1380830,1390083,1470231,1480116,1500231,1510231,1520231,1570231,1580231,1590231,1650230,1700230,1720125,1780231,1820231,1830231,1840230,1870231,1880231,1950231,1972023,1980231
重庆,移动,1343602,1350032,1360832,1370832,1380831,1390825,1470232,1480117,1500232,1510232,1520232,1570232,1580232,1590232,1650231,1700231,1721310,1780232,1820232,1830232,1840231,1870232,1880232,1950232,1972218,1980232
重庆,移动,1343603,1350033,1360833,1370833,1380832,1390826,1470233,1480118,1500233,1510233,1520233,1570233,1580233,1590233,1650232,1700232,1721311,1780233,1820233,1830233,1840232,1870233,1880233,1950233,1972219,1980233
重庆,移动,1343604,1350034,1360834,1370834,1380833,1390827,1470234,1480119,1500234,1510234,1520234,1570234,1580234,1590234,1650234,1700233,1721312,1780234,1820234,1830234,1840233,1870234,1880234,1950234,1972230,1980234
重庆,移动,1343605,1350035,1360835,1370835,1380834,1390830,1470235,1480120,1500235,1510235,1520235,1570235,1580235,1590235,1650235,1700234,1721313,1780235,1820235,1830235,1840234,1870235,1880235,1950235,1972231,1980235
重庆,移动,1343606,1350036,1360836,1370836,1380835,1390831,1470236,1480121,1500236,1510236,1520236,1570236,1580236,1590236,1650236,1700235,1721314,1780236,1820236,1830236,1840235,1870236,1880236,1950236,1972232,1980236
重庆,移动,1343607,1350037,1360837,1370837,1380836,1390832,1470237,1480122,1500237,1510237,1520237,1570237,1580237,1590237,1650237,1700236,1721315,1780237,1820237,1830237,1840236,1870237,1880237,1950237,1972233,1980237
重庆,移动,1343608,1350038,1360838,1370838,1380837,1390833,1470238,1480123,1500238,1510238,1520238,1570238,1580238,1590238,1650238,1700237,1721316,1780238,1820238,1830238,1840237,1870238,1880238,1950238,1972234,1980238
重庆,移动,1343609,1350039,1360839,1370839,1380838,1390834,1470239,1480124,1500239,1510239,1520239,1570239,1580239,1590239,1650239,1700238,1721317,1780239,1820239,1830239,1840238,1870239,1880239,1950239,1972235,1980239
重庆,移动,1343610,1350830,1360940,1370940,1380839,1390835,1471860,1480125,1502300,1511180,1521300,1570300,1580300,1590930,1650368,1700239,1721318,1781500,1820300,1830600,1840239,1871620,1887500,1951400,1972236,1980270
重庆,移动,1343611,1350831,1360941,1370941,1388300,1390836,1471861,1480126,1502301,1511181,1521301,1570301,1580301,1590931,1650409,1700343,1721319,1781501,1820301,1830601,1841870,1871621,1887501,1951401,1972237,1980271
重庆,移动,1343612,1350832,1360942,1370942,1388301,1390837,1471862,1480127,1502302,1511182,1521302,1570302,1580302,1590932,1650618,1700800,1721320,1781502,1820302,1830602,1841871,1871622,1887502,1951402,1972238,1980272
重庆,移动,1343613,1350833,1360943,1370943,1388302,1390838,1471863,1480128,1502303,1511183,1521303,1570303,1580303,1590933,1650654,1700801,1721321,1781503,1820303,1830603,1841872,1871623,1887503,1951403,1972382,1980273
重庆,移动,1343614,1350834,1360944,1370944,1388303,1390839,1471864,1480129,1502304,1511184,1521304,1570304,1580304,1590934,1650656,1700802,1721322,1781504,1820304,1830604,1841873,1871624,1887504,1951404,1972383,1980274
重庆,移动,1343615,1350835,1360945,1370945,1388304,1398300,1471865,1480130,1502305,1511185,1521305,1570305,1580305,1590935,1650657,1700803,1721323,1781505,1820305,1830605,1841874,1871625,1887505,1951405,1972385,1980275
