省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185号段,186 号段,196 号段
重庆,联通,1300230,1310100,1320600,1452360,1550230,1560830,1660230,1670014,1711970,1750230,1760230,1850230,1860230,1960230
重庆,联通,1300231,1310101,1320601,1452361,1550231,1560831,1660231,1670023,1711971,1750231,1760231,1850231,1860231,1960231
重庆,联通,1300232,1310102,1320602,1452362,1550232,1560832,1660232,1670060,1711972,1750232,1760232,1850232,1860232,1960232
重庆,联通,1300233,1310103,1320603,1452363,1550233,1560833,1660233,1670091,1711973,1750233,1760233,1850233,1860233,1960233
重庆,联通,1300234,1310104,1320604,1452364,1550234,1560834,1660234,1670180,1711974,1750234,1760234,1850234,1860234,1960234
重庆,联通,1300235,1310105,1320605,1452365,1550235,1560835,1660235,1670216,1711975,1750235,1760235,1850235,1860235,1960235
重庆,联通,1300236,1310106,1320606,1452366,1550236,1560836,1660236,1670230,1711976,1750236,1760236,1850236,1860236,1960236
重庆,联通,1300237,1310107,1320607,1452367,1550237,1560837,1660237,1670231,1711977,1750237,1760237,1850237,1860237,1960237
重庆,联通,1300238,1310108,1320608,1452368,1550238,1560838,1660238,1670237,1711978,1750238,1760238,1850238,1860238,1960238
重庆,联通,1300239,1310109,1320609,1452369,1550239,1560839,1660239,1670258,1711979,1750239,1760239,1850239,1860239,1960239
重庆,联通,1300830,1310110,1320610,1452370,1552000,1568300,1661230,1670423,1711980,1751230,1761230,1851230,1862300,1961230
重庆,联通,1300831,1310111,1320611,1452371,1552001,1568301,1661231,1670485,1711981,1751231,1761231,1851231,1862301,1961231
重庆,联通,1300832,1310112,1320612,1452372,1552002,1568302,1661232,1670493,1711982,1751232,1761232,1851232,1862302,1961232
重庆,联通,1300833,1310113,1320613,1452373,1552003,1568303,1661233,1670741,1711983,1751233,1761233,1851233,1862303,1961233
重庆,联通,1300834,1310114,1320614,1452374,1552004,1568304,1661234,1672900,1711984,1751234,1761234,1851234,1862304,1961234
重庆,联通,1300835,1310115,1320615,1452375,1552005,1568305,1661235,1672901,1711985,1751235,1761235,1851235,1862305,1961235
重庆,联通,1300836,1310116,1320616,1452376,1552006,1568306,1661236,1672902,1711986,1751236,1761236,1851236,1862306,1961236
重庆,联通,1300837,1310117,1320617,1452377,1552007,1568307,1661237,1672903,1711987,1751237,1761237,1851237,1862307,1961237
重庆,联通,1300838,1310118,1320618,1452378,1552008,1568308,1661238,1672904,1711988,1751238,1761238,1851238,1862308,1961238
重庆,联通,1300839,1310119,1320619,1452379,1552009,1568309,1661239,1672905,1711989,1751239,1761239,1851239,1862309,1961239
重庆,联通,1301083,1310120,1320620,1453360,1552010,1568310,1662300,1672906,1712490,1752300,1762300,1852300,1862310,1962300
重庆,联通,1301230,1310121,1320621,1453361,1552011,1568311,1662301,1672907,1712491,1752301,1762301,1852301,1862311,1962301
重庆,联通,1301231,1310122,1320622,1453362,1552012,1568312,1662302,1672908,1712492,1752302,1762302,1852302,1862312,1962302
重庆,联通,1301232,1310123,1320623,1453363,1552013,1568313,1662303,1672909,1712493,1752303,1762303,1852303,1862313,1962303
重庆,联通,1301233,1310124,1320624,1453364,1552014,1568314,1662304,1673230,1712494,1752304,1762304,1852304,1862314,1962304
重庆,联通,1301234,1310125,1320625,1453365,1552015,1568315,1662305,1673231,1712495,1752305,1762305,1852305,1862315,1962305
重庆,联通,1301235,1310126,1320626,1453370,1552016,1568316,1662306,1673232,1712496,1752306,1762306,1852306,1862316,1962306
重庆,联通,1301236,1310127,1320627,1453371,1552017,1568317,1662307,1673233,1712497,1752307,1762307,1852307,1862317,1962307
重庆,联通,1301237,1310128,1320628,1453372,1552018,1568318,1662308,1673234,1712498,1752308,1762308,1852308,1862318,1962308
重庆,联通,1301238,1310129,1320629,1453373,1552019,1568319,1662309,1673235,1712499,1752309,1762309,1852309,1862319,1962309
重庆,联通,1301239,1310130,1321230,1453374,1552300,1568320,1662310,1673236,1713090,1752310,1762310,1852310,1862320,
重庆,联通,1301830,1310131,1321231,1453375,1552301,1568321,1662311,1673237,1713091,1752311,1762311,1852311,1862321,
重庆,联通,1301831,1310132,1321232,1453376,1552302,1568322,1662312,1673238,1713092,1752312,1762312,1852312,1862322,
重庆,联通,1301832,1310133,1321233,1453377,1552303,1568323,1662313,1673239,1713093,1752313,1762313,1852313,1862323,
重庆,联通,1301833,1310134,1321234,1453378,1552304,1568324,1662314,1674931,1713094,1752314,1762314,1852314,1862324,
重庆,联通,1301834,1310135,1321235,1453379,1552305,1568325,1662315,1675023,1713095,1752315,1762315,1852315,1862325,
重庆,联通,1301835,1310136,1321236,1454220,1552306,1568326,1662316,1675445,1713096,1752316,1762316,1852316,1862326,
重庆,联通,1301836,1310137,1321237,1454221,1552307,1568327,1662317,1675446,1713097,1752317,1762317,1852317,1862327,
重庆,联通,1301837,1310138,1321238,1454222,1552308,1568328,1662318,1675447,1713098,1752318,1762318,1852318,1862328,
重庆,联通,1301838,1310139,1321239,1454223,1552309,1568329,1662319,1675448,1713099,1752319,1762319,1852319,1862329,
重庆,联通,1301839,1310230,1321240,1454224,1552310,1568330,1662320,1675449,1713230,1752320,1762320,1852320,1862330,
重庆,联通,1302230,1310231,1321241,1454225,1552311,1568331,1662321,1675460,1713231,1752321,1762321,1852321,1862331,
重庆,联通,1302231,1310232,1321242,1454226,1552312,1568332,1662322,1675461,1713232,1752322,1762322,1852322,1862332,
重庆,联通,1302232,1310233,1321243,1454227,1552313,1568333,1662323,1675462,1713233,1752323,1762323,1852323,1862333,
重庆,联通,1302233,1310234,1321244,1454228,1552314,1568334,1662324,1675463,1713234,1752324,1762324,1852324,1862334,
重庆,联通,1302234,1310235,1321245,1454229,1552315,1568335,1662325,1675465,1713235,1752325,1762325,1852325,1862335,
重庆,联通,1302235,1310236,1321246,1454230,1552316,1568336,1662326,1675878,1713236,1752326,1762326,1852326,1862336,
重庆,联通,1302236,1310237,1321247,1454231,1552317,1568337,1662327,1676023,1713237,1752327,1762327,1852327,1862337,
重庆,联通,1302237,1310238,1321248,1454232,1552318,1568338,1662328,1676466,1713238,1752328,1762328,1852328,1862338,
重庆,联通,1302238,1310239,1321249,1454233,1552319,1568339,1662329,1676470,1713239,1752329,1762329,1852329,1862339,
重庆,联通,1302239,1310890,1321250,1454234,1552320,1568340,1662330,1676480,1714023,1752330,1762330,1852330,1862340,
重庆,联通,1302830,1310891,1321251,1454235,1552321,1568341,1662331,1676481,1714940,1752331,1762331,1852331,1862341,
重庆,联通,1302831,1310892,1321252,1454236,1552322,1568342,1662332,1676484,1714941,1752332,1762332,1852332,1862342,
重庆,联通,1302832,1310893,1321253,1454237,1552323,1568343,1662333,1676485,1714942,1752333,1762333,1852333,1862343,
重庆,联通,1302833,1310894,1321254,1454238,1552324,1568344,1662334,1676486,1714944,1752334,1762334,1852334,1862344,
重庆,联通,1302834,1310895,1321255,1454239,1552325,1568345,1662335,1676487,1714945,1752335,1762335,1852335,1862345,
重庆,联通,1302835,1310896,1321256,1457300,1552326,1568346,1662336,1676488,1714946,1752336,1762336,1852336,1862346,
重庆,联通,1302836,1310897,1321257,1457301,1552327,1568347,1662337,1676489,1714947,1752337,1762337,1852337,1862347,
重庆,联通,1302837,1310898,1321258,1457302,1552328,1568348,1662338,1676490,1714948,1752338,1762338,1852338,1862348,
重庆,联通,1302838,1310899,1321259,1457303,1552329,1568349,1662339,1676491,1715230,1752339,1762339,1852339,1862349,
重庆,联通,1302839,1311010,1322020,1457304,1552330,1568350,1662340,1676492,1715231,1752340,1762340,1852340,1862350,
重庆,联通,1303230,1311011,1322021,1457305,1552331,1568351,1662341,1676493,1715232,1752341,1762341,1852341,1862351,
重庆,联通,1303231,1311012,1322022,1457306,1552332,1568352,1662342,1677023,1715233,1752342,1762342,1852342,1862352,
重庆,联通,1303232,1311013,1322023,1457307,1552333,1568353,1662343,1678164,1715234,1752343,1762343,1852343,1862353,
重庆,联通,1303233,1311014,1322024,1457308,1552334,1568354,1662344,1678225,1715235,1752344,1762344,1852344,1862354,
重庆,联通,1303234,1311015,1322025,1457309,1552335,1568355,1662345,1678304,1715236,1752345,1762345,1852345,1862355,
重庆,联通,1303235,1311016,1322026,1459190,1552336,1568356,1662346,1678305,1715237,1752346,1762346,1852346,1862356,
重庆,联通,1303236,1311017,1322027,1459191,1552337,1568357,1662347,1678306,1715238,1752347,1762347,1852347,1862357,
重庆,联通,1303237,1311018,1322028,1459192,1552338,1568358,1662348,1678307,1715239,1752348,1762348,1852348,1862358,
重庆,联通,1303238,1311019,1322029,1459193,1552339,1568359,1662349,1678308,1716230,1752349,1762349,1852349,1862359,
重庆,联通,1303239,1311020,1322030,1459194,1552340,1568360,1662350,1678701,1716231,1752350,1762350,1852350,1862360,
重庆,联通,1303630,1311021,1322031,1459195,1552341,1568361,1662351,1678702,1716232,1752351,1762351,1852351,1862361,
重庆,联通,1303631,1311022,1322032,1459196,1552342,1568362,1662352,1678703,1716233,1752352,1762352,1852352,1862362,
重庆,联通,1303632,1311023,1322033,1459197,1552343,1568363,1662353,1678806,1716234,1752353,1762353,1852353,1862363,
重庆,联通,1303633,1311024,1322034,1459198,1552344,1568364,1662354,1678807,1716235,1752354,1762354,1852354,1862364,
重庆,联通,1303634,1311025,1322035,1459199,1552345,1568365,1662355,1678808,1716236,1752355,1762355,1852355,1862365,
重庆,联通,1303635,1311026,1322036,1459250,1552346,1568366,1662356,1678809,1716237,1752356,1762356,1852356,1862366,
