省份,运营商,192 号段
陕西,广电,1920290
陕西,广电,1920291
陕西,广电,1920292
陕西,广电,1920293
陕西,广电,1920294
陕西,广电,1920295
陕西,广电,1920296
陕西,广电,1920297
陕西,广电,1920298
陕西,广电,1920299
陕西,广电,1920910
陕西,广电,1920911
陕西,广电,1920912
陕西,广电,1920913
陕西,广电,1920914
陕西,广电,1920915
陕西,广电,1920916
陕西,广电,1920917
陕西,广电,1920918
陕西,广电,1920919
陕西,广电,1920930
陕西,广电,1920931
陕西,广电,1920932
陕西,广电,1920933
陕西,广电,1920934
陕西,广电,1920935
陕西,广电,1920936
陕西,广电,1920937
陕西,广电,1920938
陕西,广电,1920939
陕西,广电,1921290
陕西,广电,1921291
陕西,广电,1921292
陕西,广电,1921293
陕西,广电,1921294
陕西,广电,1921295
陕西,广电,1921296
陕西,广电,1921297
陕西,广电,1921298
陕西,广电,1921299
陕西,广电,1921910
陕西,广电,1921911
陕西,广电,1921912
陕西,广电,1921913
陕西,广电,1921914
陕西,广电,1921915
陕西,广电,1921916
陕西,广电,1921917
陕西,广电,1921918
陕西,广电,1921919
陕西,广电,1921940
陕西,广电,1921941
陕西,广电,1921942
陕西,广电,1921943
陕西,广电,1921944
陕西,广电,1921945
陕西,广电,1921946
陕西,广电,1921947
陕西,广电,1921948
陕西,广电,1921949
陕西,广电,1922316
陕西,广电,1922317
陕西,广电,1922322
陕西,广电,1922329
陕西,广电,1922439
陕西,广电,1922440
陕西,广电,1922525
陕西,广电,1922526
陕西,广电,1922527
陕西,广电,1922528
陕西,广电,1922529
陕西,广电,1922555
陕西,广电,1922556
陕西,广电,1922557
陕西,广电,1922558
陕西,广电,1922559
陕西,广电,1923290
陕西,广电,1923291
陕西,广电,1923292
陕西,广电,1923293
陕西,广电,1923294
陕西,广电,1923295
陕西,广电,1923296
陕西,广电,1923297
陕西,广电,1923298
陕西,广电,1923299
陕西,广电,1923910
陕西,广电,1923911
陕西,广电,1923912
陕西,广电,1923913
陕西,广电,1923914
陕西,广电,1923915
陕西,广电,1923916
陕西,广电,1923917
陕西,广电,1923918
陕西,广电,1923919
陕西,广电,1923930
陕西,广电,1923931
陕西,广电,1923932
陕西,广电,1923933
陕西,广电,1923934
陕西,广电,1923935
陕西,广电,1923936
陕西,广电,1923937
陕西,广电,1923938
陕西,广电,1923939
陕西,广电,1924290
陕西,广电,1924291
陕西,广电,1924292
陕西,广电,1924293
陕西,广电,1924294
陕西,广电,1924295
陕西,广电,1924296
陕西,广电,1924297
陕西,广电,1924298
陕西,广电,1924299
陕西,广电,1924910
陕西,广电,1924911
陕西,广电,1924912
陕西,广电,1924913
陕西,广电,1924914
陕西,广电,1924915
陕西,广电,1924916
陕西,广电,1924917
陕西,广电,1924918
陕西,广电,1924919
陕西,广电,1924920
陕西,广电,1924921
陕西,广电,1924922
陕西,广电,1924923
陕西,广电,1924924
陕西,广电,1924925
陕西,广电,1924926
陕西,广电,1924927
