省份,运营商,133 号段,153 号段,162 号段,173 号段,174 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
陕西,电信,1330910,1530910,1621290,1730080,1740000,1770290,1800910,1810090,1890910,1900290,1910290,1930290,1990910
陕西,电信,1330911,1530911,1621291,1730081,1740001,1770291,1800911,1810091,1890911,1900291,1910291,1930291,1990911
陕西,电信,1330912,1530912,1621292,1730082,1740002,1770292,1800912,1810092,1890912,1900292,1910292,1930292,1990912
陕西,电信,1330913,1530913,1621293,1730083,1740003,1770293,1800913,1810910,1890913,1900293,1910293,1930293,1990913
陕西,电信,1330914,1530914,1621294,1730084,1740004,1770294,1800914,1810911,1890914,1900294,1910294,1930294,1990914
陕西,电信,1330915,1530915,1621295,1730085,1740005,1770295,1800915,1810912,1890915,1900295,1910295,1930295,1990915
陕西,电信,1330916,1530916,1621296,1730086,1740006,1770296,1800916,1810913,1890916,1900296,1910296,1930296,1990916
陕西,电信,1330917,1530917,1621297,1730087,1740007,1770297,1800917,1810914,1890917,1900297,1910297,1930297,1990917
陕西,电信,1330918,1530918,1621298,1730088,1740008,1770298,1800918,1810915,1890918,1900298,1910298,1930298,1990918
陕西,电信,1330919,1530919,1621299,1730089,1740009,1770299,1800919,1810916,1890919,1900299,1910299,1930299,1990919
陕西,电信,1330920,1530920,1621910,1730290,1740010,1770910,1800920,1810917,1890920,1900910,1910910,1930910,1990920
陕西,电信,1330921,1530921,1621911,1730291,1740011,1770911,1800921,1810918,1890921,1900911,1910911,1930911,1990921
陕西,电信,1330922,1530922,1621912,1730292,1740012,1770912,1800922,1810919,1890922,1900912,1910912,1930912,1990922
陕西,电信,1330923,1530923,1621913,1730293,1740013,1770913,1800923,1810920,1890923,1900913,1910913,1930913,1990923
陕西,电信,1330924,1530924,1621914,1730294,1740014,1770914,1800924,1810921,1890924,1900914,1910914,1930914,1990924
陕西,电信,1330925,1530925,1621915,1730295,1740015,1770915,1800925,1810922,1890925,1900915,1910915,1930915,1990925
陕西,电信,1330926,1530926,1621916,1730296,1740016,1770916,1800926,1810923,1890926,1900916,1910916,1930916,1990926
陕西,电信,1330927,1530927,1621917,1730297,1740017,1770917,1800927,1810924,1890927,1900917,1910917,1930917,1990927
陕西,电信,1330928,1530928,1621918,1730298,1740018,1770918,1800928,1810925,1890928,1900918,1910918,1930918,1990928
陕西,电信,1330929,1530929,1621919,1730299,1740019,1770919,1800929,1810926,1890929,1900919,1910919,1930919,1990929
陕西,电信,1331090,1531900,1621920,1730910,1740020,1770920,1804900,1810927,1896650,1900920,1910920,1930920,1991610
陕西,电信,1331091,1531901,1621921,1730911,1740021,1770921,1804901,1810928,1896651,1900921,1910921,1930921,1991611
陕西,电信,1331092,1531902,1621922,1730912,1740022,1770922,1804902,1810929,1896652,1900922,1910922,1930922,1991612
陕西,电信,1331093,1531903,1621923,1730913,1740023,1770923,1804903,1813390,1896653,1900923,1910923,1930923,1991613
陕西,电信,1331094,1531904,1621924,1730914,1740024,1770924,1804904,1813391,1896654,1900924,1910924,1930924,1991614
陕西,电信,1331095,1531905,1621925,1730915,1740025,1770925,1804905,1813392,1896655,1900925,1910925,1930925,1991615
陕西,电信,1331096,1531906,1621926,1730916,1740026,1770926,1804906,1813393,1896656,1900926,1910926,1930926,1991616
陕西,电信,1331097,1531907,1621927,1730917,1740027,1770927,1804907,1813394,1896657,1900927,1910927,1930927,1991617
陕西,电信,1331098,1531908,1621928,1730918,1740028,1770928,1804908,1813395,1896658,1900928,1910928,1930928,1991618
陕西,电信,1331099,1531909,1621929,1730919,1740029,1770929,1804909,1813396,1896659,1900929,1910929,1930929,1991619
陕西,电信,1331910,1531910,1621940,1730920,1740030,1771950,1804910,1813397,1896660,1901490,1914460,1932970,1991620
陕西,电信,1331911,1531911,1621941,1730921,1740031,1771951,1804911,1813398,1896661,1901491,1914461,1932971,1991621
陕西,电信,1331912,1531912,1621942,1730922,1740032,1771952,1804912,1813399,1896662,1901492,1914462,1932972,1991622
陕西,电信,1331913,1531913,1621943,1730923,1740033,1771953,1804913,1814230,1896663,1901493,1914463,1932973,1991623
陕西,电信,1331914,1531914,1621944,1730924,1740034,1771954,1804914,1814231,1896664,1901494,1914464,1932974,1991624
陕西,电信,1331915,1531915,1621945,1730925,1740035,1771955,1804915,1814232,1896665,1901495,1914465,1932975,1991625
陕西,电信,1331916,1531916,1621946,1730926,1740036,1771956,1804916,1814233,1896666,1901496,1914466,1932976,1991626
陕西,电信,1331917,1531917,1621947,1730927,1740037,1771957,1804917,1814234,1896667,1901497,1914467,1932977,1991627
陕西,电信,1331918,1531918,1621948,1730928,1740038,1771958,1804918,1814235,1896668,1901498,1914468,1932978,1991628
陕西,电信,1331919,1531919,1621949,1730929,1740039,1771959,1804919,1814236,1896669,1901499,1914469,1932979,1991629
陕西,电信,1331920,1531920,1622900,1731660,1740040,1771960,1804920,1814237,1896670,1901810,1914520,1932980,1991630
陕西,电信,1331921,1531921,1622901,1731661,1740041,1771961,1804921,1814238,1896671,1901811,1914521,1932981,1991631
陕西,电信,1331922,1531922,1622902,1731662,1740042,1771962,1804922,1814239,1896672,1901812,1914522,1932982,1991632
陕西,电信,1331923,1531923,1622903,1731663,1740043,1771963,1804923,1814240,1896673,1901813,1914523,1932983,1991633
陕西,电信,1331924,1531924,1622904,1731664,1740044,1771964,1804924,1814241,1896674,1901814,1914524,1932984,1991634
陕西,电信,1331925,1531925,1622905,1731665,1740045,1771965,1804925,1814242,1896675,1901815,1914525,1932985,1991635
陕西,电信,1331926,1531926,1622906,1731666,1740046,1771966,1804926,1814243,1896676,1901816,1914526,1932986,1991636
陕西,电信,1331927,1531927,1622907,1731667,1740047,1771967,1804927,1814244,1896677,1901817,1914527,1932987,1991637
陕西,电信,1331928,1531928,1622908,1731668,1740048,1771968,1804928,1814245,1896678,1901818,1914528,1932988,1991638
陕西,电信,1331929,1531929,1622909,1731669,1740049,1771969,1804929,1814246,1896679,1901819,1914529,1932989,1991639
陕西,电信,1332450,1531930,1622910,1731950,1740050,1771970,1804930,1814247,1896680,1902330,1914530,1932990,1991640
陕西,电信,1332451,1531931,1622911,1731951,1740051,1771971,1804931,1814248,1896681,1902331,1914531,1932991,1991641
