省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
陕西,移动,1340290,1350910,1360910,1370020,1380029,1390029,1470290,1488069,1500290,1510290,1520240,1570290,1580290,1590290,1650152,1700290,1720900,1780290,1820290,1830290,1840006,1870000,1880290,1950290,1970911,1980290
陕西,移动,1340291,1350911,1360911,1370021,1380091,1390091,1470291,,1500291,1510291,1520241,1570291,1580291,1590291,1650266,1700291,1720901,1780291,1820291,1830291,1840047,1870001,1880291,1950291,1970912,1980291
陕西,移动,1340292,1350912,1360912,1370022,1380910,1390092,1470292,,1500292,1510292,1520242,1570292,1580292,1590292,1650290,1700292,1720902,1780292,1820292,1830292,1840054,1870002,1880292,1950292,1970913,1980292
陕西,移动,1340293,1350913,1360913,1370023,1380911,1390910,1470293,,1500293,1510293,1520243,1570293,1580293,1590293,1650799,1700293,1720903,1780293,1820293,1830293,1840057,1870003,1880293,1950293,1970914,1980293
陕西,移动,1340294,1350914,1360914,1370024,1380912,1390911,1470294,,1500294,1510294,1520244,1570294,1580294,1590294,1650910,1700294,1720904,1780294,1820294,1830294,1840290,1870004,1880294,1950294,1970915,1980294
陕西,移动,1340295,1350915,1360915,1370025,1380913,1390912,1470295,,1500295,1510295,1520245,1570295,1580295,1590295,1650911,1700295,1720905,1780295,1820295,1830295,1840291,1870005,1880295,1950295,1970916,1980295
陕西,移动,1340296,1350916,1360916,1370026,1380914,1390913,1470296,,1500296,1510296,1520246,1570296,1580296,1590296,1650912,1700296,1720906,1780296,1820296,1830296,1840292,1870006,1880296,1950296,1970917,1980296
陕西,移动,1340297,1350917,1360917,1370027,1380915,1390914,1470297,,1500297,1510297,1520247,1570297,1580297,1590297,1650913,1700297,1720907,1780297,1820297,1830297,1840293,1870007,1880297,1950297,1970919,1980297
陕西,移动,1340298,1350918,1360918,1370028,1380916,1390915,1470298,,1500298,1510298,1520248,1570298,1580298,1590298,1650914,1700298,1720908,1780298,1820298,1830298,1840294,1870008,1880298,1950298,1971029,1980298
陕西,移动,1340299,1350919,1360919,1370029,1380917,1390916,1470299,,1500299,1510299,1520249,1570299,1580299,1590299,1650915,1700299,1720909,1780299,1820299,1830299,1840295,1870009,1880299,1950299,1971091,1980299
陕西,移动,1340910,1351910,1360920,1370910,1380918,1390917,1470910,,1500910,1510910,1520290,1570600,1580910,1590910,1650916,1700910,1720910,1780680,1820910,1830910,1840296,1870010,1880910,1950910,1971911,1980910
