省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
陕西,联通,1300005,1310801,1320140,1452670,1550290,1560910,1660290,1670016,1711840,1750290,1760290,1850290,1860290,1960290
陕西,联通,1300290,1310802,1320141,1452671,1550291,1560911,1660291,1670029,1711841,1750291,1760291,1850291,1860291,1960291
陕西,联通,1300291,1310804,1320142,1452672,1550292,1560912,1660292,1670294,1711842,1750292,1760292,1850292,1860292,1960292
陕西,联通,1300292,1310809,1320143,1452673,1550293,1560913,1660293,1670404,1711843,1750293,1760293,1850293,1860293,1960293
陕西,联通,1300293,1310813,1320144,1452674,1550294,1560914,1660294,1670446,1711844,1750294,1760294,1850294,1860294,1960294
陕西,联通,1300294,1310828,1320145,1452675,1550295,1560915,1660295,1670492,1711845,1750295,1760295,1850295,1860295,1960295
陕西,联通,1300295,1310829,1320146,1452676,1550296,1560916,1660296,1670911,1711846,1750296,1760296,1850296,1860296,1960296
陕西,联通,1300296,1310846,1320147,1452677,1550297,1560917,1660297,1670912,1711847,1750297,1760297,1850297,1860297,1960297
陕西,联通,1300297,1310847,1320148,1452678,1550298,1560918,1660298,1670913,1711848,1750298,1760298,1850298,1860298,1960298
陕西,联通,1300298,1310849,1320149,1452679,1550299,1560919,1660299,1670914,1711849,1750299,1760299,1850299,1860299,1960299
陕西,联通,1300299,1310910,1320150,1452680,1550910,1560920,1660910,1670915,1711850,1750910,1760910,1850910,1860910,1960910
陕西,联通,1300840,1310911,1320151,1452681,1550911,1560921,1660911,1670916,1711851,1750911,1760911,1850911,1860911,1960911
陕西,联通,1300841,1310912,1320152,1452682,1550912,1560922,1660912,1670917,1711852,1750912,1760912,1850912,1860912,1960912
陕西,联通,1300842,1310913,1320153,1452683,1550913,1560923,1660913,1670919,1711853,1750913,1760913,1850913,1860913,1960913
陕西,联通,1300843,1310914,1320154,1452684,1550914,1560924,1660914,1671910,1711854,1750914,1760914,1850914,1860914,1960914
陕西,联通,1300844,1310915,1320155,1452685,1550915,1560925,1660915,1671911,1711855,1750915,1760915,1850915,1860915,1960915
陕西,联通,1300845,1310916,1320156,1452686,1550916,1560926,1660916,1671912,1711856,1750916,1760916,1850916,1860916,1960916
陕西,联通,1300846,1310917,1320157,1452687,1550917,1560927,1660917,1671913,1711857,1750917,1760917,1850917,1860917,1960917
陕西,联通,1300847,1310918,1320158,1452688,1550918,1560928,1660918,1671914,1711858,1750918,1760918,1850918,1860918,1960918
陕西,联通,1300848,1310919,1320159,1452689,1550919,1560929,1660919,1671915,1711859,1750919,1760919,1850919,1860919,1960919
陕西,联通,1300849,1310920,1320160,1452690,1550920,1561900,1660920,1671916,1711860,1750920,1760920,1850920,1860920,1961290
陕西,联通,1300850,1310921,1320161,1452691,1550921,1561901,1660921,1671917,1711861,1750921,1760921,1850921,1860921,1961291
陕西,联通,1300851,1310922,1320162,1452692,1550922,1561902,1660922,1671918,1711862,1750922,1760922,1850922,1860922,1961292
陕西,联通,1300852,1310923,1320163,1452693,1550923,1561903,1660923,1671919,1711863,1750923,1760923,1850923,1860923,1961293
陕西,联通,1300853,1310924,1320164,1452694,1550924,1561904,1660924,1672840,1711864,1750924,1760924,1850924,1860924,1961294
陕西,联通,1300854,1310925,1320165,1452695,1550925,1561905,1660925,1672841,1711865,1750925,1760925,1850925,1860925,1961295
陕西,联通,1300855,1310926,1320166,1452696,1550926,1561906,1660926,1672842,1711866,1750926,1760926,1850926,1860926,1961296
陕西,联通,1300856,1310927,1320167,1452697,1550927,1561907,1660927,1672843,1711867,1750927,1760927,1850927,1860927,1961297
陕西,联通,1300857,1310928,1320168,1452698,1550928,1561908,1660928,1672844,1711868,1750928,1760928,1850928,1860928,1961298
陕西,联通,1300858,1310929,1320169,1452699,1550929,1561909,1660929,1672845,1711869,1750929,1760929,1850929,1860929,1961299
陕西,联通,1300859,1310950,1320170,1453670,1552900,1561910,1661290,1672846,1711870,,1761290,1851290,1862840,
陕西,联通,1301084,1310951,1320171,1453671,1552901,1561911,1661291,1672847,1711871,,1761291,1851291,1862841,
陕西,联通,1301085,1310952,1320172,1453672,1552902,1561912,1661292,1672848,1711872,,1761292,1851292,1862842,
陕西,联通,1302070,1310953,1320173,1453673,1552903,1561913,1661293,1672849,1711873,,1761293,1851293,1862843,
陕西,联通,1302071,1310954,1320174,1453674,1552904,1561914,1661294,1672870,1711874,,1761294,1851294,1862844,
陕西,联通,1302072,1310955,1320175,1453675,1552905,1561915,1661295,1672871,1711875,,1761295,1851295,1862845,
陕西,联通,1302073,1310956,1320176,1453676,1552906,1561916,1661296,1672872,1711876,,1761296,1851296,1862846,
陕西,联通,1302074,1310957,1320177,1453680,1552907,1561917,1661297,1672873,1711877,,1761297,1851297,1862847,
陕西,联通,1302075,1310958,1320178,1453681,1552908,1561918,1661298,1672874,1711878,,1761298,1851298,1862848,
陕西,联通,1302076,1310959,1320179,1453682,1552909,1561919,1661299,1672875,1711879,,1761299,1851299,1862849,
陕西,联通,1302077,1310960,1320180,1453683,1552910,1561920,1666910,1672876,1712780,,1762900,1859000,1862850,
陕西,联通,1302078,1310961,1320181,1453684,1552911,1561921,1666911,1672877,1712781,,1762901,1859001,1862851,
陕西,联通,1302079,1310962,1320182,1453685,1552912,1561922,1666912,1672878,1712782,,1762902,1859002,1862852,
陕西,联通,1302280,1310963,1320183,1453686,1552913,1561923,1666913,1672879,1712783,,1762903,1859003,1862853,
陕西,联通,1302281,1310964,1320184,1453687,1552914,1561924,1666914,1672880,1712784,,1762904,1859004,1862854,
陕西,联通,1302282,1310965,1320185,1453688,1552915,1561925,1666915,1672881,1712785,,1762905,1859005,1862855,
陕西,联通,1302283,1310966,1320186,1453689,1552916,1561926,1666916,1672882,1712786,,1762906,1859006,1862856,
陕西,联通,1302284,1310967,1320187,1453690,1552917,1561927,1666917,1672883,1712787,,1762907,1859007,1862857,
陕西,联通,1302285,1310968,1320188,1453691,1552918,1561928,1666918,1672884,1712788,,1762908,1859008,1862858,
陕西,联通,1302286,1310969,1320189,1453692,1552919,1561929,1666919,1672885,1712789,,1762909,1859009,1862859,
陕西,联通,1302287,1311030,1320190,1453693,1552920,1561930,1669100,1672886,1712790,,1762910,1859070,1862860,
陕西,联通,1302288,1311031,1320191,1453694,1552921,1561931,1669101,1672887,1712791,,1762911,1859071,1862861,
陕西,联通,1302289,1311032,1320192,1453695,1552922,1561932,1669102,1672888,1712792,,1762912,1859072,1862862,
陕西,联通,1302290,1311033,1320193,1453696,1552923,1561933,1669103,1672889,1712793,,1762913,1859073,1862863,
