省份,运营商,192 号段
青海,广电,1920970
青海,广电,1920971
青海,广电,1920972
青海,广电,1920973
青海,广电,1920974
青海,广电,1920975
青海,广电,1920976
青海,广电,1920977
青海,广电,1920978
青海,广电,1920979
青海,广电,1922397
青海,广电,1922454
青海,广电,1923970
青海,广电,1923971
青海,广电,1923972
青海,广电,1923973
青海,广电,1923974
青海,广电,1923975
青海,广电,1923976
青海,广电,1923977
青海,广电,1923978
青海,广电,1923979
青海,广电,1924970
青海,广电,1924971
青海,广电,1924972
青海,广电,1924973
青海,广电,1924974
青海,广电,1924975
青海,广电,1924976
青海,广电,1924977
青海,广电,1924978
青海,广电,1924979
青海,广电,1924980
青海,广电,1924981
青海,广电,1924982
青海,广电,1924983
青海,广电,1924984
青海,广电,1924985
青海,广电,1924986
青海,广电,1924987
青海,广电,1924988
青海,广电,1924989
