省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
青海,移动,1344697,1351970,1361970,1370970,1380096,1390970,1470970,1500360,1510970,1520250,1570970,1580970,1590970,1650970,1720970,1780070,1820970,1830970,1840021,1870970,1880970,1950970,1970000,1980970
青海,移动,,1351971,1361971,1370971,1380097,1390971,1470971,1500361,1510971,1520251,1570971,1580971,1590971,1650971,1720971,1780071,1820971,1830971,1840025,1870971,1880971,1950971,1970001,1980971
青海,移动,,1351972,1361972,1370972,1380098,1390972,1470972,1500362,1510972,1520252,1570972,1580972,1590972,1650972,1720972,1780072,1820972,1830972,1840026,1870972,1880972,1950972,1970002,1980972
青海,移动,,1351973,1361973,1370973,1389700,1390973,1470973,1500363,1510973,1520253,1570973,1580973,1590973,1650973,1720973,1780073,1820973,1830973,1840028,1870973,1880973,1950973,1970003,1980973
青海,移动,,1351974,1361974,1370974,1389701,1390974,1470974,1500364,1510974,1520254,1570974,1580974,1590974,1650974,1720974,1780074,1820974,1830974,1840029,1870974,1880974,1950974,1970004,1980974
青海,移动,,1351975,1361975,1370975,1389702,1390975,1470975,1500365,1510975,1520255,1570975,1580975,1590975,1650975,1720975,1780075,1820975,1830975,1840970,1870975,1880975,1950975,1970005,1980975
青海,移动,,1351976,1361976,1370976,1389703,1390976,1470976,1500366,1510976,1520256,1570976,1580976,1590976,1650976,1720976,1780076,1820976,1830976,1840971,1870976,1880976,1950976,1970006,1980976
青海,移动,,1351977,1361977,1370977,1389704,1390977,1470977,1500367,1510977,1520257,1570977,1580977,1590977,1650977,1720977,1780077,1820977,1830977,1840972,1870977,1880977,1950977,1970007,1980977
青海,移动,,1351978,1361978,1370978,1389705,1390978,1470978,1500368,1510978,1520258,1570978,1580978,1590978,1650979,1720978,1780078,1820978,1830978,1840973,1870978,1880978,1950978,1970008,1980978
青海,移动,,1351979,1361979,1370979,1389706,1390979,1470979,1500369,1510979,1520259,1570979,1580979,1590979,1652368,1720979,1780079,1820979,1830979,1840974,1870979,1880979,1950979,1970009,1980979
青海,移动,,,1363970,1373460,1389707,1399700,1476493,1500970,1511090,1520970,1570980,1589700,1599700,1652428,1721352,1780649,1829700,1839700,1840975,1879700,1889700,1952806,1970970,1981423
青海,移动,,,1363971,1373461,1389708,1399701,1476494,1500971,1511091,1520971,1570981,1589701,1599701,1652608,1721353,1780970,1829701,1839701,1840976,1879701,1889701,1952979,1970971,1981424
