省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
青海,联通,1300770,1310750,1320970,1452860,1550050,1560970,1660970,1677971,1714971,1750970,1760970,1850970,1860970,1960970
青海,联通,1300771,1310751,1320971,1452861,1550051,1560971,1660971,1679971,,1750971,1760971,1850971,1860971,1960971
青海,联通,1300772,1310752,1320972,1452862,1550052,1560972,1660972,,,1750972,1760972,1850972,1860972,1960972
青海,联通,1300773,1310753,1320973,1452863,1550053,1560973,1660973,,,1750973,1760973,1850973,1860973,1960973
青海,联通,1300774,1310754,1320974,1452864,1550054,1560974,1660974,,,1750974,1760974,1850974,1860974,1960974
青海,联通,1300775,1310755,1320975,1452865,1550055,1560975,1660975,,,1750975,1760975,1850975,1860975,1960975
青海,联通,1300776,1310756,1320976,1452866,1550056,1560976,1660976,,,1750976,1760976,1850976,1860976,1960976
青海,联通,1300777,1310757,1320977,1452867,1550057,1560977,1660977,,,1750977,1760977,1850977,1860977,1960977
青海,联通,1300778,1310758,1320978,1452868,1550058,1560978,1660978,,,1750978,1760978,1850978,1860978,1960978
青海,联通,1300779,1310759,1320979,1452869,1550059,1560979,1660979,,,1750979,1760979,1850979,1860979,1960979
青海,联通,1308620,1310970,1329970,1454600,1550060,1565090,1669700,,,1759700,1769700,1859700,1869710,
青海,联通,1308621,1310971,1329971,1454601,1550061,1565091,1669701,,,1759701,1769701,1859701,1869711,
青海,联通,1308622,1310972,1329972,1454602,1550062,1565092,1669702,,,1759702,1769702,1859702,1869712,
青海,联通,1308623,1310973,1329973,1454603,1550063,1565093,1669703,,,1759703,1769703,1859703,1869713,
青海,联通,1308624,1310974,1329974,1454604,1550064,1565094,1669704,,,1759704,1769704,1859704,1869714,
青海,联通,1308625,1310975,1329975,1454605,1550065,1565095,1669705,,,1759705,1769705,1859705,1869715,
青海,联通,1308626,1310976,1329976,1454606,1550066,1565096,1669706,,,1759706,1769706,1859706,1869716,
青海,联通,1308627,1310977,1329977,1454607,1550067,1565097,1669707,,,1759707,1769707,1859707,1869717,
青海,联通,1308628,1310978,1329978,1454608,1550068,1565098,1669708,,,1759708,1769708,1859708,1869718,
青海,联通,1308629,1310979,1329979,1454609,1550069,1565099,1669709,,,1759709,1769709,1859709,1869719,
青海,联通,1309970,1311970,1329980,1459540,1550070,1569530,1669710,,,1759710,1769710,1859710,1869720,
青海,联通,1309971,1311971,1329981,1459541,1550071,1569531,1669711,,,1759711,1769711,1859711,1869721,
青海,联通,1309972,1311972,1329982,1459542,1550072,1569532,1669712,,,1759712,1769712,1859712,1869722,
青海,联通,1309973,1311973,1329983,1459543,1550073,1569533,1669713,,,1759713,1769713,1859713,1869723,
青海,联通,1309974,1311974,1329984,1459544,1550074,1569534,1669714,,,1759714,1769714,1859714,1869724,
青海,联通,1309975,1311975,1329985,1459545,1550075,1569535,1669715,,,1759715,1769715,1859715,1869725,
青海,联通,1309976,1311976,1329986,1459546,1550076,1569536,1669716,,,1759716,1769716,1859716,1869726,
青海,联通,1309977,1311977,1329987,1459547,1550077,1569537,1669717,,,1759717,1769717,1859717,1869727,
青海,联通,1309978,1311978,1329988,1459548,1550078,1569538,1669718,,,1759718,1769718,1859718,1869728,
青海,联通,1309979,1311979,1329989,1459549,1550079,1569539,1669719,,,1759719,1769719,1859719,1869729,
青海,联通,,1313900,,1459550,1550970,,1669720,,,1759720,1769720,1859720,1869780,
青海,联通,,1313901,,1459551,1550971,,1669721,,,1759721,1769721,1859721,1869781,
青海,联通,,1313902,,1459552,1550972,,1669722,,,1759722,1769722,1859722,1869782,
青海,联通,,1313903,,1459553,1550973,,1669723,,,1759723,1769723,1859723,1869783,
青海,联通,,1313904,,1459554,1550974,,1669724,,,1759724,1769724,1859724,1869784,
青海,联通,,1313905,,1459555,1550975,,1669725,,,1759725,1769725,1859725,1869785,
青海,联通,,1313906,,1459556,1550976,,1669726,,,1759726,1769726,1859726,1869786,
青海,联通,,1313907,,1459557,1550977,,1669727,,,1759727,1769727,1859727,1869787,
青海,联通,,1313908,,1459558,1550978,,1669728,,,1759728,1769728,1859728,1869788,
青海,联通,,1313909,,1459559,1550979,,1669729,,,1759729,1769729,1859729,1869789,
青海,联通,,1313910,,1459650,1559700,,1669730,,,,1769730,,,
青海,联通,,1313911,,1459651,1559701,,1669731,,,,1769731,,,
青海,联通,,1313912,,1459652,1559702,,1669732,,,,1769732,,,
青海,联通,,1313913,,1459653,1559703,,1669733,,,,1769733,,,
青海,联通,,1313914,,1459654,1559704,,1669734,,,,1769734,,,
青海,联通,,1313915,,1459655,1559705,,1669735,,,,1769735,,,
青海,联通,,1313916,,1459656,1559706,,1669736,,,,1769736,,,
青海,联通,,1313917,,1459657,1559707,,1669737,,,,1769737,,,
