省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
黑龙江,移动,1344069,1350360,1360360,1370360,1380045,1390036,1470080,1482131,1500450,1510450,1520450,1570450,1580450,1590450,1650011,1700450,1720450,1780050,1820450,1830450,1840002,1870450,1880040,1950450,1970451,1980450
黑龙江,移动,1344070,1350361,1360361,1370361,1380046,1390048,1470081,,1500451,1510451,1520451,1570451,1580451,1590451,1650080,1700451,1720451,1780051,1820451,1830451,1840360,1870451,1880041,1950451,1970452,1980451
黑龙江,移动,1344170,1350362,1360362,1370362,1380360,1390360,1470082,,1500452,1510452,1520452,1570452,1580452,1590452,1650081,1700452,1720452,1780052,1820452,1830452,1840361,1870452,1880042,1950452,1970453,1980452
黑龙江,移动,1344269,1350363,1360363,1370363,1380361,1390361,1470083,,1500453,1510453,1520453,1570453,1580453,1590453,1650082,1700453,1720453,1780053,1820453,1830453,1840362,1870453,1880043,1950453,1970454,1980453
黑龙江,移动,1344270,1350364,1360364,1370364,1380362,1390362,1470084,,1500454,1510454,1520454,1570454,1580454,1590454,1650083,1700454,1720454,1780054,1820454,1830454,1840363,1870454,1880044,1950454,1970455,1980454
黑龙江,移动,,1350365,1360365,1370365,1380363,1390363,1470085,,1500455,1510455,1520455,1570455,1580455,1590455,1650085,1700455,1720455,1780055,1820455,1830455,1840364,1870455,1880045,1950455,1970456,1980455
黑龙江,移动,,1350366,1360366,1370366,1380364,1390364,1470086,,1500456,1510456,1520456,1570456,1580456,1590456,1650086,1700456,1720456,1780056,1820456,1830456,1840365,1870456,1880046,1950456,1970457,1980456
黑龙江,移动,,1350367,1360367,1370367,1380365,1390365,1470087,,1500457,1510457,1520457,1570457,1580457,1590457,1650087,1700457,1720457,1780057,1820457,1830457,1840366,1870457,1880047,1950457,1970458,1980457
黑龙江,移动,,1350368,1360368,1370368,1380366,1390366,1470088,,1500458,1510458,1520458,1570458,1580458,1590458,1650088,1700458,1720458,1780058,1820458,1830458,1840367,1870458,1880048,1950458,1970459,1980458
黑龙江,移动,,1350369,1360369,1370369,1380367,1390367,1470089,,1500459,1510459,1520459,1570459,1580459,1590459,1650089,1700459,1720459,1780059,1820459,1830459,1840368,1870459,1880049,1950459,1970464,1980459
黑龙江,移动,,1350450,1360450,1370450,1380368,1390368,1470090,,1500460,1510460,1520460,1570460,1580460,1590460,1650123,1700460,1720460,1780450,1820460,1830460,1840369,1870460,1880450,1950460,1970467,1980460
黑龙江,移动,,1350451,1360451,1370451,1380369,1390369,1470091,,1500461,1510461,1520461,1570461,1580461,1590461,1650149,1701099,1720461,1780451,1820461,1830461,1840380,1870461,1880451,1950461,1970468,1980461
黑龙江,移动,,1350452,1360452,1370452,1380450,1390450,1470092,,1500462,1510462,1520462,1570462,1580462,1590462,1650160,1701241,1720462,1780452,1820462,1830462,1840381,1870462,1880452,1950462,1970469,1980462
黑龙江,移动,,1350453,1360453,1370453,1380451,1390451,1470093,,1500463,1510463,1520463,1570463,1580463,1590463,1650161,1701242,1720463,1780453,1820463,1830463,1840382,1870463,1880453,1950463,1972279,1980463
黑龙江,移动,,1350454,1360454,1370454,1380452,1390452,1470094,,1500464,1510464,1520464,1570464,1580464,1590464,1650162,1701243,1720464,1780454,1820464,1830464,1840383,1870464,1880454,1950464,1972280,1980464
黑龙江,移动,,1350455,1360455,1370455,1380453,1390453,1470095,,1500465,1510465,1520465,1570465,1580465,1590465,1650163,1701244,1720465,1780455,1820465,1830465,1840384,1870465,1880455,1950465,1972281,1980465
黑龙江,移动,,1350456,1360456,1370456,1380454,1390454,1470096,,1500466,1510466,1520466,1570466,1580466,1590466,1650190,1701245,1720466,1780456,1820466,1830466,1840385,1870466,1880456,1950466,1972282,1980466
黑龙江,移动,,1350457,1360457,1370457,1380455,1390455,1470097,,1500467,1510467,1520467,1570467,1580467,1590467,1650191,1701246,1720467,1780457,1820467,1830467,1840386,1870467,1880457,1950467,1972283,1980467
黑龙江,移动,,1350458,1360458,1370458,1380456,1390456,1470098,,1500468,1510468,1520468,1570468,1580468,1590468,1650192,1701247,1720468,1780458,1820468,1830468,1840387,1870468,1880458,1950468,1972284,1980468
黑龙江,移动,,1350459,1360459,1370459,1380457,1390457,1470099,,1500469,1510469,1520469,1570469,1580469,1590469,1650193,1701248,1720469,1780459,1820469,1830469,1840388,1870469,1880459,1950469,1972285,1980469
黑龙江,移动,,1350460,1360460,1370460,1380458,1390458,1470450,,1504500,1511450,1521440,1571450,1584500,1594500,1650194,1701450,1722580,1780460,1824500,1832450,1840389,1871430,1880460,1952321,1972695,1981550
黑龙江,移动,,1350461,1360461,1370461,1380459,1390459,1470451,,1504501,1511451,1521441,1571451,1584501,1594501,1650195,1701451,1722581,1780461,1824501,1832451,1840400,1871431,1880461,1952322,1972696,1981551
黑龙江,移动,,1350462,1360462,1370462,1380460,1390460,1470452,,1504502,1511452,1521442,1571452,1584502,1594502,1650204,1701452,1722582,1780462,1824502,1832452,1840401,1871432,1880462,1952323,1972697,1981552
黑龙江,移动,,1350463,1360463,1370463,1380461,1390461,1470453,,1504503,1511453,1521443,1571453,1584503,1594503,1650274,1701453,1722583,1780463,1824503,1832453,1840402,1871433,1880463,1952324,1972699,1981553
黑龙江,移动,,1350464,1360464,1370464,1380462,1390462,1470454,,1504504,1511454,1521444,1571454,1584504,1594504,1650275,1701454,1722584,1780464,1824504,1832454,1840403,1871434,1880464,1952325,1972700,1981554
黑龙江,移动,,1350465,1360465,1370465,1380463,1390463,1470455,,1504505,1511455,1521445,1571455,1584505,1594505,1650276,1701455,1726250,1780465,1824505,1832455,1840404,1871435,1880465,1952326,1972702,1981555
黑龙江,移动,,1350466,1360466,1370466,1380464,1390464,1470456,,1504506,1511456,1521446,1571456,1584506,1594506,1650293,1701456,1726251,1780466,1824506,1832456,1840405,1871436,1880466,1952327,1972703,1981556
黑龙江,移动,,1350467,1360467,1370467,1380465,1390465,1470457,,1504507,1511457,1521447,1571457,1584507,1594507,1650302,1701457,1726252,1780467,1824507,1832457,1840406,1871437,1880467,1952328,1972705,1981557
黑龙江,移动,,1350468,1360468,1370468,1380466,1390466,1470458,,1504508,1511458,1521448,1571458,1584508,1594508,1650332,1701458,1726253,1780468,1824508,1832458,1840407,1871438,1880468,1952451,1972706,1981558
黑龙江,移动,,1350469,1360469,1370469,1380467,1390467,1470459,,1504509,1511459,1521449,1571459,1584509,1594509,1650338,1701459,1726254,1780469,1824509,1832459,1840408,1871439,1880469,1952633,1972707,1981559
黑龙江,移动,,1350480,1360480,1370480,1380468,1390468,1470460,,1504510,1511460,1521450,1571460,1584510,1594510,1650344,1701460,1726255,1784500,1824510,1832460,1840409,1871440,1881450,1952642,1972709,1981560
黑龙江,移动,,1350481,1360481,1370481,1380469,1390469,1470461,,1504511,1511461,1521451,1571461,1584511,1594511,1650360,1701461,1726256,1784501,1824511,1832461,1840440,1871441,1881451,1952643,1972732,1981561
黑龙江,移动,,1350482,1360482,1370482,1380480,1390480,1470462,,1504512,1511462,1521452,1571462,1584512,1594512,1650361,1701462,1726257,1784502,1824512,1832462,1840441,1871442,1881452,1952644,1972761,1981562
黑龙江,移动,,1350483,1360483,1370483,1380481,1390481,1470463,,1504513,1511463,1521453,1571463,1584513,1594513,1650363,1701463,1726258,1784503,1824513,1832463,1840442,1871443,1881453,1952645,1972767,1984500
黑龙江,移动,,1350484,1360484,1370484,1380482,1390482,1470464,,1504514,1511464,1521454,1571464,1584514,1594514,1650365,1701464,1726259,1784504,1824514,1832464,1840443,1871444,1881454,1952646,1972780,1984501
黑龙江,移动,,1350485,1360485,1370485,1380483,1390483,1470465,,1504515,1511465,1521455,1571465,1584515,1594515,1650366,1701465,1726260,1784505,1824515,1832465,1840444,1871445,1881455,1952655,1972781,1984502
黑龙江,移动,,1350486,1360486,1370486,1380484,1390484,1470466,,1504516,1511466,1521456,1571466,1584516,1594516,1650386,1701466,1726261,1784506,1824516,1832466,1840445,1871446,1881456,1952677,1972782,1984503
