省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
黑龙江,联通,1300097,1310080,1320450,1450540,1550450,1560360,1660360,1670269,1710690,1750360,1760360,1850360,1860360,1960450
黑龙江,联通,1300098,1310081,1320451,1450541,1550451,1560361,1660361,1670422,1710691,1750361,1760361,1850361,1860361,1960451
黑龙江,联通,1300970,1310082,1320452,1450542,1550452,1560362,1660362,1670450,1710692,1750362,1760362,1850362,1860362,1960452
黑龙江,联通,1300971,1310083,1320453,1450543,1550453,1560363,1660363,1670451,1710693,1750363,1760363,1850363,1860363,1960453
黑龙江,联通,1300972,1310084,1320454,1450544,1550454,1560364,1660364,1670452,1710694,1750364,1760364,1850364,1860364,1960454
黑龙江,联通,1300973,1310085,1320455,1450545,1550455,1560365,1660365,1670453,1710695,1750365,1760365,1850365,1860365,1960455
黑龙江,联通,1300974,1310086,1320456,1450546,1550456,1560366,1660366,1670454,1710696,1750366,1760366,1850366,1860366,1960456
黑龙江,联通,1300975,1310087,1320457,1450547,1550457,1560367,1660367,1670455,1710697,1750367,1760367,1850367,1860367,1960457
黑龙江,联通,1300976,1310088,1320458,1450548,1550458,1560368,1660368,1670456,1710698,1750368,1760368,1850368,1860368,1960458
黑龙江,联通,1300977,1310089,1320459,1450549,1550459,1560369,1660369,1670457,1710699,1750369,1760369,1850369,1860369,1960459
黑龙江,联通,1300978,1310090,1320460,1450550,1550460,1560450,1660450,1670458,1710700,1750450,1760450,1850450,1860450,1960460
黑龙江,联通,1300979,1310091,1320461,1450551,1550461,1560451,1660451,1670459,1710701,1750451,1760451,1850451,1860451,1960461
黑龙江,联通,1300980,1310092,1320462,1450552,1550462,1560452,1660452,1670464,1710702,1750452,1760452,1850452,1860452,1960462
黑龙江,联通,1300981,1310093,1320463,1450553,1550463,1560453,1660453,1670467,1710703,1750453,1760453,1850453,1860453,1960463
黑龙江,联通,1300982,1310094,1320464,1450554,1550464,1560454,1660454,1670468,1710704,1750454,1760454,1850454,1860454,1960464
黑龙江,联通,1300983,1310095,1320465,1450555,1550465,1560455,1660455,1670469,1710705,1750455,1760455,1850455,1860455,1960465
黑龙江,联通,1300984,1310096,1320466,1450556,1550466,1560456,1660456,1670498,1710706,1750456,1760456,1850456,1860456,1960466
黑龙江,联通,1300985,1310097,1320467,1450557,1550467,1560457,1660457,1671450,1710707,1750457,1760457,1850457,1860457,1960467
黑龙江,联通,1300986,1310098,1320468,1450558,1550468,1560458,1660458,1671451,1710708,1750458,1760458,1850458,1860458,1960468
黑龙江,联通,1300987,1310099,1320469,1450559,1550469,1560459,1660459,1671452,1710709,1750459,1760459,1850459,1860459,1960469
